first_release_date,id,name,platforms,summary,genres,storyline,rating
1301875200,275237,Mafia II DLC: Renegade Pack,[6],Show off your inner renegade in this new DLC pack Start with 2 new cars one with the slick styling and tight handling of a small sports coupe and the other with the revved up engine of a 50s hot rod Outfit Vito in 2 new suits including leather and lettermens jackets to fit his renegade persona,Missing,Missing,Missing
1302739200,275235,Mafia II DLC: War Hero Pack,[6],The 40s wouldnt be complete without a war hero Vito plays the role well in the War Hero DLC pack Drive 2 military style vehicles and notice the superior handling in all weather conditions Vito looks sharp in 2 new military inspired suits including a full uniform and fatigues,[5],Missing,Missing
1301961600,270666,It Lives,[6],It Lives is a singleplayer map made for Duke Nukem 3d more specifically for its Eduke32 port Be sure to set your video setups in software mode before playing,[5],Missing,Missing
1303430400,268775,Heretic Amplified,[6],This is a new episode for Heretic based on the idea that the DSperil that was killed was not the real DSperil so you now have to find your way through his realm and slay him once and for all with new Weapons Enemies and Items,[5],Missing,Missing
1303603200,268766,Call of the Apostate,[6],An Episode 3 replacement for Heretic The episode is laid out so that levels 13 are inspired by E1 levels 4 9 and 5 by E2 and levels 68 by E3 Expect a boss fight every 3rd level,[5],Missing,Missing
1302739200,256482,Team Fortress 2: The Hatless Update,[6],The Hatless Update was a major content update for Team Fortress 2 and the update included changes originally tested in the Team Fortress 2 Beta such as the coaching and voting systems Training Modes for the Demoman Engineer and Spy Badlands King of the Hill mode and several item tweaks  Other additions were the introduction of styles dynamic model loading and the association between servers and Steam IDs Bots had their AI improved and duels were given the option of being classspecific The painting and voice chat systems were also improved A Sort by Rarity option was added to the Backpack for sorting items,[5],Missing,Missing
1303430400,255620,Tsubasa no Oka no Hime: A Red and Blue Moon Finite Loop,[6],An otome game by Snapdragon  The story is set at the 19th century at the United Kingdom in a rural town called Wingfield,[34],The story is set at the 19th century at the United Kingdom in a rural town called Wingfield  An apprentice butler Christopher Luckenbooth had been sent from London by the Principle of the School of Butlers here His duty is to serve the local feudal lord Lady Vivian NMN Wingfield As he steps forth into the world where spirits and fairies reside many others who served the lady of the mansion awaits A stern looking butler to act as his guide A wolf who could speak the language of a human A maid chief whose appearance was of a childs An overbearing old butler who never does his job And a cook who looked like he was from the East  As the Ladys 19th birthday approaches so is the festival that the town prepared specially for her and so is the day that all the mystery that is surrounding her comes to light,Missing
1302739200,242812,"Tux, of Math Command","[3, 6, 14]",Tux of Math Command lets kids hone their arithmetic skills while they defend penguins from incoming comets or offers them a chance to explore the asteroid belt with only their factoring abilities to bring them through safely,Missing,Missing,Missing
1303862400,242060,Pangya: United,[6],Animestyle golfing MMO,"[14, 31]",Missing,Missing
1304121600,237506,Void,[6],Explore the crumbling ruins of an ancient manor by manipulating portals into the past in this firstperson puzzle game with a unique timetraveling mechanic,[9],Missing,Missing
1303689600,232655,BuildCraft,"[3, 6, 14]",BuildCraft is a mod that uses machines to mine resources craft items and sort resources It also has machines that can automatically build structures based on blueprints The mod also includes pipes to transport items liquids and power,"[13, 31]",Missing,Missing
1301788800,228656,Luna Game,[6],Luna Game is a horror My Little Pony fan game created by an anonymous creator,[8],Missing,Missing
1301702400,228297,Bullet Heaven,"[6, 82]",Bullet Heaven full title Epic Battle Fantasy 33 Bullet Heaven is a scrolling topdown shooter game created by Matt Roszak in 2011 It is a spinoff of the Epic Battle Fantasy series to which it owes many elements of its design including the medals shops and characters Most of the foes designs originated from Epic Battle Fantasy 3 while some of them were previews of new foes to be introduced in Epic Battle Fantasy 4,"[5, 32]",Missing,Missing
