first_release_date,genres,id,name,platforms,summary,storyline
1581811200,[5],275193,Galine,[6],Jdagenets first map in boom format,Missing
1582329600,[5],271792,Murder at the Disco,[6],Mediumsized nightclub level with several dancefloors bars and VIP areas Comes with an optional start map a few external textures as well as a custom skybox and some music tracks The map source is included This map requires the Malice TC,Missing
1582070400,[5],271492,The Lima Project,[6],Mediumsized industrial facility using cr8 and Doom 3 textures It comes with a custom skybox and a music track,Missing
1580860800,[5],269132,Mayhem 2019: Blood for the Doom God!,[6],MAYhem 2019 Blood for the Doom God is a 19level megawad for MBFcompatible source ports created in May 2019 by members of the Doomworld forums It is the eighth installment of the MAYhem series and was led by James Caldwell Obsidian The megawad includes textures from Blood and Clive Barkers Undying and as such most maps carry a darker horroresque atmosphere Additionally the WAD features very extensive DeHackEd work adding custom weapons items and a wide range of custom monsters as well as new sprites for some of the original monsters,Missing
1581724800,"[5, 33]",268876,Astral Dodge,[6],A simple arcade space shooter with some upgrades abilities and a leader board,Missing
1580688000,[31],268063,Atrophy: XCIX,[6],Atrophy XCIX is a first person action horror adventure that takes place in an abandoned hospital in the north of England You will play as a high ranking officer supervising a patrol on the outskirts of a small town,Missing
1582416000,[9],268041,1001 Jigsaw. Ice Age,[6],Winter puzzles in 500 high quality images,Missing
1581552000,"[13, 31, 32]",266713,Last Warrior,[6],In this game you will be able not only to plunge into the middle ages to feel as a brave warrior but also to have a good time,Missing
1581379200,"[2, 32, 33]",264381,Abst Clicker Farm,[6],Compete with other players in the leaderboard in terms of both total clicks and clicks per second,Missing
1581724800,[5],263361,Serpent's Wake,[6],Choose your path in the Serpents Wake an allnew Heretic adventure with three variations of each map Featuring the quest system each skill level represents a different way of playing each map Monsters items progression geometry and more change from quest to quest,Missing
1582070400,[5],262548,Oops! All Greyboxes!,[6],Oops All Greyboxes is a fun and quirky community project where we made maps using only prototyping textures This was meant to help us focus on gameplay and combat encounters using limited resources while still making maps that looked cool,Missing
1580601600,[5],262287,Cubic Worlds,[6],Each map is independent and should be done from pistol start Contains a bunch of new monsters and one new weapon all taken from various sources nothing original yet,Missing
1581552000,[5],262162,Team Rocket 2: Looks Like We're Blasting Off Again!,[6],Team Rocket comprises AD_79 Dragonfly Jimmy and MTrop four experienced Doom mappers who together will be working round the clock to reach the goal of 32 full levels for Doom 2 averaging 8 maps each Through their combined efforts and the encouragement of you the viewer they hope to run for around 24 hours but most likely a bit less,Missing
1581811200,[31],260775,The Amazing Shrinking Giraffe,[6],Explore space in your spaceship drive around on planets and get energy from alien creatures and plants  Ride on the back of giant sand worms or shrink down and ride on the back of beetles  Grow to the size of a planet and jump between asteroids  This is a short experimental type game with an added sandbox component,Missing
1581724800,[5],259791,Skinship,[6],Skinship is a large map for GZDoom with four new custom monsters replacements for the cacodemon imp hellknight and baron of hell They were all taken from realm667 and modified by me for balances sake Freelook is recommended Dynamic lights should be turned on Otherwise important switches could be missed,Missing
1581552000,"[12, 31]",259742,Witch's Heart: Shirarezaru Kako Majo Dorothy no Himitsu - Kanketsu-hen,[6],After Witchs Heart Bonus Stage it is the third entry of the series by IZ BLUE STAR Entertainment This time it focuses on one of the main protagonists and his conclusion Sirius Gibson It is an adventure game with horror themes made in RPG Maker 2000 storyfocused and contains simple action scenes  Although published as a separate game it is part of the main game,After another failed loop you forgot everybody elses memories and chose Sirius Gibson for your final story This time hes the protagonist  At last the story reaches an ending
