first_release_date,genres,id,name,platforms,summary,storyline
1597017600,[5],275211,GottaGoFast,[6],The goal with this project was to create a set of maps that one could UV MAX in a reasonable amount of time hence the name Scythe was the main source of influence One day youre at home watching TV when you suddenly need to take a shit You go to the bathroom to discover that youre out of toilet paper so you decide to go to the store to get some When you get to the store you find out that its crawling with demons Looks like Hell has invaded Again You grab your pistol and go on yet another ridiculous adventure,Missing
1596758400,[5],275191,A Stygian Anguish,[6],The hellspawn spilled out of the UACs hidden plateau base in a deluge of blood and fire but that was only the beginning Its clear now that the perpetuating evil took advantage of the Directors malleable intent otherwise the assumption is that the UAC actually had the hubris to meddle with those otherworldly forces when the inevitable outcome has been laid bare time and again As you step into the cargo lift and descend into the depths of the caverns beneath the plateau you wonder what was worth burying under all this rock and stone If the malice you faced to get here was just scratching the surface what lies in wait in the darkness below You steel yourself for what is to come for anything given this much effort to conceal can result in nothing less than A Stygian Anguish,Missing
1596412800,[5],275189,Grungy Grotto,[6],A quake themed map,Missing
1598659200,[2],275151,Freddy's Job : Old Pizzeria,[6],Missing,Missing
1598572800,[5],273064,2048 Units of /vr/,[6],This project contains 32 maps in the main wad plus an additional 6 that didnt make the cut contained in the extra wad Inspired by projects like MAYhem 2048 and Congestion 1024 we sought to make a project with similar restrictions make a boomcompatible map where the playable areas are within a 2048x2048 unit space and optionally use textures from gothictx,Missing
1597536000,[5],271747,The Machinery,[6],Large dark industrial map using IKbase textures Comes with a custom music track by the author The map source is included,Missing
1598745600,[5],271353,Blood Colored Rust,[6],Mediumsized dark orange industrialmilitary base map using modified idbase textures Comes with a custom skybox The map source is included,Missing
1597968000,[5],271337,Dead But Dreaming,[6],Large Knavetextured level,Missing
1598486400,[5],270654,Shaky Grounds: Epicenter,[6],This continues right where the last part left off You finally know why Froyd Eenakee is after you and the human race and you know theres a very big ticking clock looming above your head Luckily in his arrogance he was stupid enough to let you go You made your way out of the alien hive back on the streets so theres no time to loose Try to reach The Kompleks descent into the epicenter of the quake and find the doomsday device before it strikes again,Missing
1598832000,[5],270316,Trojan,[6],A true classic Trojan was the first total conversion for Marathon Trojan features 25 levels with all new artwork weapons enemies and music,Missing
1597708800,[5],269133,Mayhem 2020: Something Something Hindsight,[6],MAYhem 2020 Something Something Hindsight is a 48level Doom II megawad for Boomcompatible source ports created by members of the Doomworld forums It is the ninth installment in the MAYhem series and was led by James Caldwell Obsidian This time the levels are limited to a maximum of 20 sectors,Missing
1598572800,[5],268883,Descent Into the Abyss,[6],HeXen Descent into the Abyss is the recent entry in my HereticHeXen mappack series Descent Into the Abyss serves as a prequel to explain some events in Tower of Chaos Special Edition that would otherwise remain unanswered until the next sequel to the story that picks up where my third mappack A New World ended This may sound like you need to play my previous works before tackling this but dont worry because the story told here is still self contained enough that you will understand it,Missing
1598054400,[32],266226,One Night at Flumpty's 2,"[6, 34, 39]",Another FNAF parody with an egg in it,Missing
1598054400,[32],266224,One Night at Flumpty's,"[6, 34, 39]",A FNAF parody with an egg in it,Missing
1598659200,[5],263024,Interception II,[6],Destroy demons in 31 actionpacked levels Interception II is here This is a Doom II community megawad spanning three episodes with a secret level included,Missing
1597968000,[5],262998,Doomkid's Mega!,[6],A set of 8 classic style Doom II levels Theres some minor DeHackEd use and a few custom sprites but nothing too crazy,Missing
1598400000,Missing,262220,RobloxTale: Noob Fight,[6],RobloxTale Noob Fight is an Undertale fangame that puts the player in a custom boss battle against the Roblox noob,Missing
1597968000,[5],262010,Glaive 2,[6],This is a set of 7 levels for Doom 2 inspired by the gameplay style of Scythe  short straightforward and fast paced with plenty of action and challenge While the first Glaive was techbase themed this set is hell themed and aims to be much harder,Missing
1598227200,"[31, 34]",257902,Elshe no Shounen,"[6, 14, 82]",Missing,Missing
1597795200,[5],257420,180 Minutes Pour Vivre,[6],180 Minutes Pour Vivre is a collection of 32 new Doom II maps put together by the French Doom Community  friends Loosely following the recipe of the 3 Heures dAgonie speedmapping series this mapset makes use of a few extra assets to introduce a fresh unusual and definitely eerie setting,Missing
