first_release_date,id,name,platforms,genres,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1006387200,269407,Dream Audition: Super Hit Disc 2,[8],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1006387200,269406,Dream Audition Super Hit Disc 1,[8],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1006992000,246059,Toro to Kyuujistu,[8],"[13, 31]",The player travels through a Japanese town with Toro,Toro on Holiday is a Video Game developed by Bomber Express and published by Sony Computer Entertainment Inc  It was released on November 29 2001 on the PlayStation 2 It is an exploration based game where the player travels through a Japanese town with Toro It is most notable by its use of live footage for its environments,Missing,nan,nan,nan,nan,nan,nan
1005264000,220785,Kirikou,"[6, 7]",[8],Missing,Kirikou is a 2001 platform video game based upon the 1998 French film Kirikou and the Sorceress,Missing,1.79,2.0,0.0,57.0,7.0,4.0
1006992000,203132,Simple Characters 2000 Series Vol. 04: Jarinko Chie - The Hanafuda,[7],[35],Missing,Jarinko Chie  The Hanafuda is a hanafuda game based on the anime Jarinko Chie featuring a complete tutorial and a story and free modes,Missing,nan,nan,nan,nan,nan,nan
1005782400,200656,Kids Station: Kuma no Pooh-san - Mori no Nakama to 123,[7],[31],Missing,Kids Station Kuma no Poohsan  Mori no Nakamato 123 is a collection of minigames hosted by WinniethePooh,Missing,nan,nan,nan,nan,nan,nan
1006992000,178328,Toro to Kyuujitsu,[8],[31],Missing,Enjoy your day off exploring and talking with Inoue Toro,Missing,nan,nan,nan,nan,nan,nan
1006992000,168268,Kids Station: Bishoujo Senshi Sailor Moon World Chibiusa to Tanoshii Mainichi,[7],Missing,Missing,Kids Station Sailor Moon is an educational starring characters form the anime,Missing,nan,nan,nan,nan,nan,nan
1005782400,165610,Marl de Jigsaw,[8],Missing,Missing,Marl de Jigsaw is an action jigsaw puzzle spinoff of the Marl Kingdom series,Missing,nan,nan,nan,nan,nan,nan
1006387200,145467,Dragon Quest IV,[7],"[12, 31]",Missing,Dragon Quest IV was remade for the Sony PlayStation in Japan It was developed by Heartbeat and published by Enix The remake was developed using Dragon Quest VII Fragments of the Forgotten Past s 3D graphics engine With this remake came new features among them were a new chapter a new character a boom town reminiscent of VIIs an interparty talk command similar to Dragon Quest VII and the ability to turn off the artificial intelligence for party members The Enix of America Corporation originally planned to bring the remake to North America in 2002 but it was later cancelled due to Heartbeat closing its video game development operations,Missing,nan,nan,nan,nan,nan,nan
1005782400,137320,Seigi no Mikata,[8],Missing,Missing,Seigi no Mikata 正義の味方 is a Action video game published by SCEI released on November 15 2001 for the Sony PlayStation 2,Missing,nan,nan,nan,nan,nan,nan
1005177600,124080,Simple 2000 Series Vol. 2: The Party Game,[8],[33],Missing,Forty 4 Party features 39 mini games but for one player there are only 26 mini games avaliables the other 13 are multiplayer mini games,Missing,nan,nan,nan,nan,nan,nan
1005177600,98871,Slotter Mania: Core Tokonatsu no Netsusa! Oasis,[8],[33],Missing,Slotter Mania Core Tokonatsu no Atsusa Oasis is a pachislot game,Missing,nan,nan,nan,nan,nan,nan
1006992000,91774,Kids Station: Doraemon - Himitsu no Yojigen Pocket,[7],[31],Missing,A Kids Station game based on the Doraemon franchise,Missing,nan,nan,nan,nan,nan,nan
1006387200,86009,Bravo Music: Christmas Edition,[8],Missing,Missing,Bravo Music Christmas Edition is a special holidaythemed edition of the musical adventure game starring a brave conductor of an orchestra fighting off the towns worries with his music,Missing,nan,nan,nan,nan,nan,nan
1006819200,76977,Dragon Rage,[8],"[5, 31]",Missing,In a world of myth and magic only one being stands between the powers of darkness and the extinction of an entire race Orcs plague his kind and destroy their land Only Cael Cyndar dares to challenge their power swooping and soaring high above the land  Fight for the freedom of all magical creatures and save your race the dragons from extinction Play as Cael Cyndar and with him control the elements of fire water wind and earth This game was originally to be called Dragon Wars of Might and Magic,Missing,4.01,0.0,0.0,57.0,3.0,4.0
1006992000,71103,Guilty Gear X Plus,[8],[4],Missing,Guilty Gear X Plus is the fifth entry in the Guilty Gear series It is a Japanexclusive enhanced port of Guilty Gear X for the PlayStation 2 containing two extra characters several new features and a Wonderswan Color link with Guilty Gear Petit 2,Missing,0.0,0.4,0.0,80.0,2.0,1.0
1005523200,68262,NCAA Final Four 2002,[8],[14],Missing,The followup to Final Four 2001 features the obligatory roster updates with over 300 real NCAA teams and 31 conferences with authentic fight songs and 70 new player models to give the game a feel of realism The standard modes apply such as Exhibition that supports both oneplayer or twoplayer and a Dynasty mode that lets the player compete in a fullseason in order to secure a place in the 64team tournament known as March Madness It also features the voice talents of Eddie Doucette and Billy Packer who provide playbyplay commentary,Missing,nan,nan,nan,nan,nan,nan
1006992000,64885,Abarenbou Princess,[8],[12],Missing,Follow the adventures of the rowdy princess of the Silver Bell Kingdom Rouge in this PS2 RPG,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1006992000,63163,SuperLite 3in1 series: Sudoku Shuu,[7],[9],Missing,Compilation of all three Sudoku games released on the PS1 by Success Corp,Missing,nan,nan,nan,nan,nan,nan
1005782400,56727,Pachi-Slot Aruze Oukoku 5,[7],[13],Missing,The fifth entry in the PachiSlot Aruze Oukoku series,Missing,nan,nan,nan,nan,nan,nan
1006992000,56243,Kids Station: Crayon Shin-Chan Ora to Omoide Tsukuru Zo!,[7],[33],Missing,ShinChan themed entry in the Kids Station series,Missing,nan,nan,nan,nan,nan,nan
1006992000,56241,Kids Station: Ultraman Cosmos,[7],Missing,Missing,Kids Station Ultraman Cosmos is based on the sixteenth television show in the Ultraman series,Missing,nan,nan,nan,nan,nan,nan
1005177600,49897,Cubix: Robots For Everyone - Race 'N Robots,"[6, 7, 22]",[10],Missing,Robots in everyday life Believe it folks Thats the reality of the cool cartoon series CUBIX Robots for Everyone The story follows the adventures of Connor a human boy and his robot Cubix through Bubble Town Attempting to repair damaged robots and ward off evil beings the pair encounters a whole cast of wacky characters every week The game puts its emphasis on the racing aspects of the series sending you to Bubble Towns racing championship series Your archnemesis Dr K has a converted racer named Kolossal in the competition and your goal is to earn the right to defeat it Choose to race as any of your favorite series characters including Hop2ix Brutix DonDon Diagnostix and Cubix Youll be able to customize your racers to fit your liking using elements like Gravgrip Zero G and other seriesbased powerups to defy gravity and reach top speeds Full of cool options game modes and colorful graphics Race N Robots is not to be missed,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1006992000,46083,Zanac X Zanac,[7],"[5, 33]",Missing,Zanac X Zanac is a shootem up game released by Compile to commemorate the 15th anniversairy of the original game This title includes two games  a reimagination of the original game called Zanac Neo and 3 different versions of the NES port of Zanac,Missing,1.3,0.0,0.0,77.0,3.0,2.0
1005091200,45308,Zoboomafoo: Leapin' Lemurs,[7],Missing,Missing,Zoboomafoo will have to collect at least twentyfive of the fifty snacks in each level before he can move on to the next but with the help of his friends and his own jumping leaping and climbing abilities hes ready for the challenge Aside from the interactive action this game offers it also focuses on helping players learn about the animals they encounter When you meet a new animal the game will give you Animal Fun Facts that tell you something about the way that animal lives So get ready to take on the role of Zoboomafoo where youll scamper scurry and more importantly learn,Missing,0.83,0.0,0.0,50.0,1.0,1.0
1005523200,45058,Hot Wheels: Extreme Racing,[7],[10],Missing,Hot Wheels Extreme Racing is a racing game for the PlayStation released in 2001 It features vehicles based on the Hot Wheels series of toys,Missing,0.0,0.0,0.0,70.0,4.0,0.0
