,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,[13],256319,That's QT,[7],When the game begins the player wakes up and washes their face in their bathroom Each time their face is washed they can change their characters profile from six different expressions eight in the DS version During the following interview the player can give their character a name and gender If they answer the following quiz questions correctly they will get a small prize  Though there are short story segments separating the stages throughout the game the majority of the gameplay is separated into three stages,Thats QT is a fashion designer simulation game Players design their own clothing brand while running a successful business in the city,Missing,,,,,,
1,[13],244002,Koneko Mo Issho,[7],An expansion of the previous game aimed at a younger audience it features Toro Inoue as a kitten and serves as a prequel of Doko Demo Issyo,Koneko Mo Issho is a Video Game developed by Bomber Express and published by Sony Computer Entertainment Inc It was released on January 27 2000 for the PlayStation and is the second game in the Doko Demo Issyo Series  An expansion of the previous game aimed at a younger audience it features Toro Inoue as a kitten and serves as a prequel of Doko Demo Issyo It is an addon disc meaning save data for Doko Demo Issyo is required on the PlayStation in order to play it,Missing,,,,,,
2,[9],216566,SuperLite 1500 Series: Oekaki Puzzle 2,[7],Missing,Puzzle Game Collection Complete the picture will fill the number of vertical and horizontal mass based poker first whenever visiting second puzzle All 200 questions were prepared and recorded four different sizes small and large problems and enjoy plenty of beginner to expert Once you stop and start features a simple rule profound they are also equipped with safety rules for beginners mode of explanation,Missing,,,,,,
3,[9],214864,SuperLite 1500 Series: Nankuro 2,[7],Missing,A crossword is a word puzzle that normally takes the form of a square or rectangular grid of white and shaded squares The goal is to fill the white squares with letters forming words or phrases by solving clues which lead to the answers In languages that are written lefttoright the answer words and phrases are placed in the grid from left to right and from top to bottom The shaded squares are used to separate the words or phrases  Squares in which answers begin are usually numbered The clues are then referred to by these numbers and a direction for example 4Across or 20Down At the end of the clue the total number of letters is sometimes given depending on the style of puzzle and country of publication Some crosswords will also indicate the number of words in a given answer should there be more than one,Missing,,,,,,
4,[31],166560,Shisha no Yobu Yakata,[7],Missing,Pandora Max Series Vol 2 Shisha no Yobu Yakata is an Adventure Horror game developed and published by Pandora Box which was released in Japan in 2000,Missing,,,,,,
5,[26],146276,Cho-Nazo-Oh,[7],The player takes the role of a young boy that lives in the future where a computer governs the land from a tower the people of the land tried a lot of times to send people there to defeat the computer but noone that had entered the tower had exit alive So the commander of the forces that are trying to destroy the computer got now only one assassin left that is the players character,ChoNazoOh is another quiz game and is the sequel to NazoOh this time the player takes the role of a young boy that lives in the future where a computer governs the land from a tower the people of the land tried a lot of times to send people there to defeat the computer but noone that had entered the tower had exit alive So the commander of the forces that are trying to destroy the computer got now only one assassin left that is the players character  So now is the players turn to enter inside and try to defeat all the dangers that will come across to reach the evil enemy and try to defeat it All the trials are different quiz games in which the player has to answer well some questions to advance to the next level This is the main game mode sort of a story mode that the game call terrorist mode The difficulty of the game again is high since to pass some of the trials the player will have to answer in a right way a lot of questions  During the game the player in the story mode goes around a maze and to defeat the enemies he got to answer questions he will got the help of different cards to make the enemies defeat easier since using a green card for example will make him answer less questions,Missing,,,,,,
6,"[31, 34]",138960,Gensou no Artemis: Actress School Mystery Adventure,"[7, 9, 38]",The game takes place in Ikoma Aku Torres Actress School where different girls go to grow their perfomance abilities One night when a performing is taking place the owner of the school jump off a roof to the death The police thinks that is just a suicide but the motive is still a mystery so the people on charge of the school decide to hire a private detective to investigate,A first person perspective adventure game in which the player takes the role of a detective that has to investigate a murder in an actress school,Missing,,,,,,
7,Missing,98807,Beat Planet Music,[7],Missing,Missing,Missing,,,,,,
8,[8],78719,Umihara Kawase: Shun - Second Edition,[7],Missing,The second edition of Umihara Kawase Shun was launched almost three years after original release at a lower price as part of the Maruan series This release contains five additional fields taking the total to fifty five The games cutscenes have been replaced with scrollable static art of the protagonist however due to the removal of all Mitchell branding,Missing,,,,,,
9,[13],72000,Densha de Go! Nagoya Railroad,"[6, 7]",Missing,A release not seen in arcades this Densha de Go entry focuses on Meitetsus railroad lines in Nagoya including the series only monorail  You play as a train engineer which serve the Meitetsu Nagoya line in Japan There are many kinds of trains that you can drive from express trains to monorails Some trains are locked until you finish a mission for example you can only drive monorails until youve finished the commuter and express train missions All of the game parts except the menu and station names are in Japanese  In addition or the Meitetsu Nagoya Line coverage includes Meitetsu Inuyama Line Meitetsu Minomachi Line and Meitetsu Monkey Park Monorail Line This was the first version to feature a monorail and also featured a Meitetsu hybrid light rail route which ran both on regular train lines and as a sort of urban tram on special lanes in city streets Part of the gameplay of this required the user to stop for regular traffic signals and avoid car traffic This was the Densha de Go players first opportunity to drive a vehicle much lighter and thus shorter stopping distance than standard trains  In this version the driver must sound the horn before beginning to accelerate out of a station This is unique to this title The gameplay physics and strictness of this version were all somewhat relaxed compared to previous versions  The game was published by Taito for the Sony PlayStation in Japan on January 27 2000 It was later ported to the PC by Unbalance on December 1 2000 The PS1 version later received a rerelease as part of D3Publishers Simple 1500 series of budget games as Simple 1500 Series Vol 102 The Densha Utenshi  Densha de Go Nagoyatetsudouhen on August 29 2002,Missing,,,,,,
