,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,[31],246140,Kurumi Miracle,[7],Kurumi Miracle is a AdventureSimulation video game published by Banpresto released on September 25th 1997 for the Sony PlayStation,Missing,Missing,,,,,,
1,[31],230517,B Senjou no Alice: Alice on Borderlines,[7],A first person adventure game,The gameplay is the usual in first person adventures the player controls a females character that have to explore a 3D world in search on objects and use them to advance in the adventure the game uses a pointer to make all the actions The game starts when Alice is invited to the professors house one night and when she arrives there hes not there and there is no trace of what could had happened to him Alice starts there her adventure that will leave her into the most strange journey of her life since she even will travel to other dimensions,Missing,,,,,,
2,[33],147505,Block Buster,[7],Is a game from 97 inspired by Arkanoid,Missing,Missing,0.0,0.0,0.0,40.0,1.0,0.0
3,Missing,78297,Test Drive 4,"[6, 7]",Test Drive 4 is a racing game featuring ten different cars  five modern supercars such as the Jaguar XJ220 and TVR Cerbera and five vintage muscle cars including three Chevrolet models Each car has its own realistic physics with challenging handling  There are five full circuits plus a drag strip You can contest a full world championship plus single races and ghostcar time trials The ability to find shortcuts which is featured in the third game in the series is not included here you must stick to the predefined track layout,Missing,Missing,4.92,0.0,0.0,63.0,6.0,2.0
4,[15],72768,Super Robot Wars F,"[7, 32]",Super Robot Wars F is Part 1 of a twogame saga that retells the climax of SRWs Classic Timeline,Missing,Missing,,,,,,
5,"[10, 13, 14]",72073,Need for Speed: V-Rally,[7],VRally is a rally racing game initially developed by Eden Studios for the PlayStation published in North America by Electronic Arts under the title of Need for Speed VRally Later ported to PC N64 Game Boy and Game Boy Color,Missing,Missing,4.76,5.0,19.17,68.0,16.0,7.0
6,[13],71359,Kaze no Notam,"[7, 9, 38, 46]",Kaze no NOTAM  NOTAM of Wind is a hot air balloon simulator in a fantasy setting As a hot air balloon operator youll be left mostly to the mercy of the winds having no control over your balloons movements on the X or Y axis Only the Z is open to you by letting off your burner and ascending or releasing hot air and lowering yourself to earth The wind changes at different altitudes youll be aware of the way its blowing at every height thanks to a wind compass on the right side of the screen so youll have to make shrewd use of it to get where youre going,Missing,Missing,0.0,6.33,0.0,90.0,1.0,1.0
7,"[12, 31]",65761,Linda Cube Again,"[7, 9]",Linda 3 Again is a remake of a PCEngine CD RPG which was titled Linda³ from 1995 The remake features several gameplay improvements as well as a completely redone presentation with new animated cutscenes and updated character designs by Tatsuyuki Tanaka The game is based around the adventures of a man and woman who attempt to capture creatures while an asteroid hurdles towards the planet Neo Kenya,An asteroid is nearing the planet Neo Kenya Scientists warn that the planet might be completely annihilated by it In a most unexpected turn of events a deity known as Anubis spoke to people and asked them to save the planets animals before the asteroids hit it Anubis sent the humans a huge ship  a magnified version of Noahs Ark  and demanded that one man and one woman should dedicate their time to saving the animals A whole special team has been assigned to the project Ken is one of the youngest members of the team and he is sent on the grand mission to save the animals together with his childhood sweetheart the lovely Linda,Missing,,,,,,
8,Missing,65406,The Vision of Escaflowne,[7],A game based on the popular anime series from Sunrise It features an alternate storyline and additional characters not featured in the TV series,Missing,Missing,,,,,,
9,[31],62982,Karyuu Jyou,[7],An adventure game based off a Chinese romance novel,Missing,Missing,,,,,,
