first_release_date,id,name,platforms,genres,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1176940800,269512,Tobidase! Trouble Hanafuda Douchuuki,[38],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1176940800,247547,Persona 3: The Journey,"[8, 9]",[12],The Journey also known as Episode Yourself in the Japanese version is an enhanced version of Persona 3 It includes the entire original game but with several changes including but not limited to   New Personas in the game have been added  The arcana type stats and skillsets of some Personas were tweaked  Some Treasure chest drops were expanded on  Secret videos of the protagonists dorm mates were added  Koromaru can now be taken on walks  Several Social Links were slightly modified such as President Tanaka being available at a different time  A Social Link for Aigis was added  Monad Depths no longer unlocks automatically upon reaching the top of Tartarus  Several new Quests have been added  New costumes can be worn in battle  A new event involving Chidori Yoshino was added  Naganaki Shrine was completely overhauled  A hard mode was added  Save data from Persona 3 can be transferred into the game which includes the Persona Compendium Social Stats Academics Courage and Charm and items received from completing Social Links,Missing,Missing,nan,nan,nan,nan,nan,nan
1176940800,247246,Persona 3: The Answer,"[8, 9]","[12, 31]",The Answer also known as Episode Aegis in the Japanese version is an epilogue of Persona 3 As The Answer is a continuation of the story of Persona 3 it is recommended to play The Journey first Furthermore the content of this extra scenario is mainly combat oriented and does not involve any daily life or Social Link mechanics  The chapter is only available in one difficulty setting which is supposed to be on par with Persona 3s Hard mode The gameplay is approximately 30 hours long and has Aigis be the playable character in place of the protagonist The story follows SEES on a new adventure involving a new dungeon Abyss of Time which has locked SEES in an infinite time loop within the dormitory It also introduces a new party member named Metis a robotic AI similar to Aigis,The story follows SEES on a new adventure involving a new dungeon Abyss of Time which has locked SEES in an infinite time loop within the dormitory It also introduces a new party member named Metis a robotic AI similar to Aigis,Missing,nan,nan,nan,nan,nan,nan
1175731200,243130,Prince of Persia: Rival Swords,[38],"[25, 31]",Prince of Persia Rival Swords is the PSP port of Prince of Persia The Two Thrones The European version has less content the North American version,Missing,Missing,9.5,9.76,12.07,74.0,16.0,5.0
1175558400,243129,Prince of Persia: Rival Swords,[38],"[25, 31]",The US version of the PSP version featured a lot of bonus content including bonus levels chariot races and a multiplayer mode where two people can race to finish a level the fastest The rest of the levels and gameplay is pretty identical to Prince of Persia The Two Thrones with minor to no differences,The game follows the same storyline as Prince of Persia The Two Thrones However we get some extra insight into the story during the bonus levels Unlike in the main version prince is indeed able to use the sand gates for teleportation across the city Each sand gate takes to a bonus levels making for a total of 9 bonus levels 3 out of those 9 levels go to the exact same place which is similar to the Life Upgrade sections seen in Prince of Persia Sands of Time each time they are visited the prince is given a new sand power Out of the remaining bonus levels 3 bonus levels are directly connected to the story It is revealed that the vizier has uncovered the secrets of the lost temples of Zurvan In each of these levels there is a statue of Zurvan which is destroyed piece by piece as the prince completes each bonus level The damage done in previous bonus levels is mirrored in the statue of present in the current level and gets destroyed when the prince completes the final bonus level The damage of the statue symbolically indicates the downfall of ZurvanVizier and exactly shows how the final boss fight is going to be,Missing,9.5,9.76,12.07,74.0,16.0,5.0
1175731200,229583,Jikkyou Pawafuru Puroyakyu Portable 2,[38],[14],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1176336000,203337,Simple 2000 Series Vol.116: The Neko-mura no Hitobito - Pagu Daikan no Akugyou San-mai,[8],Missing,The Nekomura no Hitobito Pagu Daikan no Akugyou Sanmai is an Action game developed by Vingtetun Systems and published by D3Publisher which was released in Japan in 2007,Missing,Missing,nan,nan,nan,nan,nan,nan
1177545600,194932,Bincho-tan: Shiawase-goyomi,[8],[31],See the life of Binchotan the popular TV anime character in its miniature garden Meet the friendly animals of the garden and speak with Binchotans friends,Missing,Missing,nan,nan,nan,nan,nan,nan
1177891200,81499,Cube,[38],[9],Set within in a 3D cubic world The Cube is the newest puzzle addiction to hit the PSP  market Youll explore your way through suspended 3D platforms and mazes with themed sets of variables suited to that level The Cube will provide the funfactor that puzzle gamers have come to expect while adding action elements to broaden the PSP gamers experience,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1176940800,81475,Ouran High School Host Club,[8],[34],A visual novel based on the mangaanime series of the same name,The game progresses through five individual storylines or episodes that span Haruhis first two months at Ouran Academy In one the hosts visit a water park in another they go to the commoner department store and in two others Haruhi is reunited with an old friend named Sayuri and Tamaki is reunited with an old friend named JeanPierre CG images are unlocked after special events,Missing,nan,nan,nan,nan,nan,nan
