,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,[31],248563,Disney G-Force,"[5, 8]",GForce is a licensed game based on the movie of the same name The player takes the control of Darwin who is member of a secret government organization consisting of guinea pigs His mission defending the evil industrial magnate Saber who manipulates home appliances and uses them as weapons,Missing,Missing,8.52,9.38,10.59,66.0,29.0,32.0
1,[31],248562,Disney G-Force,[38],GForce is a Disneymovie licenced 3D action game where you play as Agent Darwin the hightech guinea pig and as Agent Mooch the highly equipped house fly to solve many different missions Your main target and priority mission is to stop the evil billionaire Leonard Saber who wants to use his socalled Saberling household appliances as weapons to gain world domination,Missing,Missing,8.52,9.38,10.59,66.0,29.0,32.0
2,"[31, 34]",238666,To Heart 2 Portable,[38],To Heart 2 Portable is a port of the 2004 visual novel for the PlayStation Portable,Missing,Missing,,,,,,
3,"[9, 34]",229816,Higurashi no Naku Koro ni Jan,"[38, 52]",Higurashi no Naku Koro ni Jan is a spinoff on the Higurashi no Naku Koro ni franchise with the characters competing with each other in a popular Japanese board game mahjong The game features traditional Riichi Mahjong rules which are customizable however unlike normal Mahjong this mahjong game is a oneonone battle as opposed to the usual 4 players  The story is told through NVL segments interspersed with Mahjong minigames,Missing,Missing,,,,,,
4,[34],219132,L2 Love x Loop,[8],An otome game set in the future,Far in the future humans were at war with robots and the machines won The humans hid themselves away from the robots and built villages hidden in the ruins of society In this future a normal human girl named Nanami has been living a poor but content life with her older sister and her childhood friends  However on her birthday a tragedy happens While Nanami is away her village is attacked by robots and her sister is captured She blames herself If only I wasnt away from the village  Then as if being led by fate she meets a robot called Kagome He has the power to grant Nanamis wish The power to grant her wish of if only and return her to the past  Nanami and Kagome go on a journey in order to change the future of despair into hope,Missing,,,,,,
5,[34],166663,Clannad Key Trilogy Premium Box,[8],A collection of visual novels developed by Key for the Playstation 2,Air Kunisaki Yukitos deceased mother left him with the doll and her last wish that Yukito look for the girl in the skies because it is his destiny to save her Only halfunderstanding what his mother meant Yukito has been traveling across Japan vainly searching for this mythlike girl his mother told him about His latest destination is a small sleepy town where summer has just arrived and his encounter with a young girl named Misuzu there sets the wheels of destiny turning  CLANNAD Tomoya Okazaki is a third year high school student at Hikarizaka Private High School leading a life full of resentment His mother passed away in a car accident when he was young leading his father Naoyuki to resort to alcohol and gambling to cope This resulted in constant fights between the two until Naoyuki dislocated Tomoyas shoulder Unable to play on his basketball team Tomoya began to distance himself from other people Ever since he has had a distant relationship with his father naturally becoming a delinquent over time  While on a walk to school Tomoya meets a strange girl named Nagisa Furukawa questioning if she likes the school at all He finds himself helping her and as time goes by Tomoya finds his life heading towards a new direction  Kanon Yuuichi Aizawa a high school student returns to a town that he last visited 7 years previously to live with his aunt and cousin For a reason hes not quite sure of he can hardly remember anything about his last visit but initially this doesnt seem to worry him too much  The day after he arrives he goes into town where he literally bumps into a girl named Ayu Tsukimiya and Yuuichis memories slowly begin to return,Missing,,,,,,
6,[14],92233,Pro Yakyuu Spirits 6,"[8, 9]",Pro Yakyuu Spirits 2004 is a baseball game that allows players to compete in Japans professional baseball league with licensed team and player names  The new major mode in the game for this season is the World Baseball Classic Mode,Missing,Missing,,,,,,
7,[10],81537,Truck Racer,"[5, 6, 8]",Truck Racer is racing game about muscle power versus smaller more nimble utilitarian vehicles,Missing,Missing,5.65,6.64,8.05,40.0,14.0,17.0
8,"[31, 34]",68398,Rosario + Vampire Capu 2: The Rhapsody of Love and Dreams,[8],A visual novel based on the second season of the Rosario to Vampire anime series,Missing,Missing,,,,,,
9,"[13, 14]",68004,Pro Cycling 2009,[38],Pro Cycling is back for the new 2009 season on Sonys handheld PSP,Missing,Missing,,,,,,
