first_release_date,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1519257600,"[13, 34]",221599,Tokimeki Restaurant: Project TriStars,[46],The story of the game is that you are a girl who just got a job at a cafe which happens to be next to an idol dormitory In Japan idols are young attractive celebrities that do one or a combination of singingactingmodeling In Tokimeki Restaurant tokires for short there are two boy musical groups called 3 Majesty and XIP Both have three members and you meet them all in the intro story,Tokimeki Restaurant Project TRISTARS is one of the Tokimeki Restaurant projects that commemorates the social games fifth anniversary It was first announced to the public at the virtual reality event 3 MajestyXIP LIVE SPLASH SUMMER FES 2017,Missing,nan,nan,nan,nan,nan,nan
1518480000,"[9, 25, 31]",168786,LEGO Marvel Super Heroes 2: Marvel's Black Panther Movie Character and Level Pack,"[6, 48, 49, 130]",Missing,Set within the Kingdom of Wakanda players will take the legendary Wakandan Super Hero and his sister Shuri on a dangerous mission within the darkest depths of their homeland battling mutated creatures and archnemesis Erik Killmongers vicious army,Missing,nan,nan,nan,nan,nan,nan
1518480000,"[5, 24]",167162,Tom Clancy's Rainbow Six Siege: Year 3 Advanced Edition,[48],Missing,Year 3 will have four Seasons and eight new operators There will become changes to the content of the seasons compared to what was released in the previous years of postlaunch support for Rainbow Six Year 3 of the popular firstperson shooters postlaunch content will begin with two new operators and the Outbreak event grouped under the name Operation Chimera,Missing,nan,nan,nan,nan,nan,nan
1518652800,"[4, 25]",154719,For Honor: Season 5 - Age of Wolves,"[6, 48, 49]",Missing,Age of Wolves celebrates the one year anniversary since the launch of For Honor This season will focus on gameplay and stability with major hero updates global fight changes new training features and the long awaited arrival of dedicated servers,Missing,nan,nan,nan,nan,nan,nan
1518652800,"[5, 25]",144179,Cyber Troopers: Virtual On x Toaru Majutsu no Index - Toaru Majutsu no Dennou Senki,"[46, 48]",Missing,Get in the Virtualoid cockpit take your weapon and prepare for an ultraviolentpostmodern battle because YES VirtualOn has returned InToaru Majutsu no VirtualOn a new generation of 50foot mechas are ready to battle hard but this time theyll be equipped with magical powers Were not joking indeed this new chapter is a crossover game with the light novel series Toaru Majutsu no Index published by Dengeki Bunko  Use the combat systems strategically to reduce your challengers into a molten mass of twisted metal more youll win and more money youll earn to develop and improve your machines parts and abilities to pilot the deadliest war machine into the heart of intense battles,Missing,nan,nan,nan,nan,nan,nan
1519257600,Missing,142563,Project Tristars,[46],This games scenarios continues from the live dramas in 3 MajestyXIP LIVE SPLASH SUMMER FES 2017 Its presentation is meant to be a live documentary as each member recalls their group origins to a faceless and mute camera man working with the director Unlike previous instances Project TRISTARS provides indepth personal insights and illustrated content for about five months of the groups formations,The previous activities for the 5th anniversary of the debut of the idol group 3 Majesty XIP is recorded You can enjoy their documentary from a new aspect by choosing valuable scenes of the idols Video of the performance of 3 Majesty  XIP LIVE  SPLASH SUMMER FES 2017 held at DMM VR THEATER in August 2017 and footage of the popular Victory Live at the app version Tokimeki Restaurant Total 15 or more recorded All the visuals displayed in important scenes of documentaries are photographed by Makoto Maekazaki You can see not only the idols that you always expected but also the new aspect of them such as how to strive behind the scenes,Missing,nan,nan,nan,nan,nan,nan
1517529600,"[11, 13, 15]",138057,Dungeons 3: Once Upon A Time,"[3, 6, 14, 48, 49]",Missing,The Absolute Evil travels to Fairyland home to the Good Fairy This disgustingly good creature provides heroes with invigorating potions and is generally the detestable source of good deeds With the help of some ensorcelled heroes and more than a few exploding sheep the Absolute Evil brings this story to a nasty end,Missing,nan,nan,nan,nan,nan,nan
1518652800,Missing,136760,Idolish7 Twelve Fantasia!,[46],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1519257600,"[12, 34]",136526,Harukanaru Toki no Naka de Ultimate,"[34, 39, 46]",On the first day of a new school term high school student Akane Motomiya her classmate Tenma Morimura and their underclass friend Shimon Nagareyama are sucked into a mysterious old well When they awake they are in Kyō another world that resembles Kyoto during the Heian Period According to the young scion of the Star Clan Fujihime Akane is the Ryūjin no Miko who has come to save Kyō from the ambitions of the Oni Clan In this task the Akane has the help of eight men known as the Hachiyō and her friends Tenma and Shimon number among them Initially Akane is bewildered by her new circumstances but she gradually comes to face up to her own destiny and understand the world of Kyō,A remake with fully voiced and redrawn stills,Missing,0.0,42.0,0.0,80.0,1.0,1.0
1519257600,[25],136293,Senran Kagura Burst Re:Newal - Tailor-Made Edition,"[6, 48]",Missing,Experience the original Senran Kagura Burst the beginning of the worlds bestloved buxom battle series like never before Tackle the classic ninja brawler from a whole new perspective in gorgeous fluid HD with new features and mechanics throughout  This limited edition bundle contains the full Senran Kagura Burst ReNewal game and fivepiece Special Edition DLC set including   SENRAN KAGURA Burst ReNewal Original Soundtrack  Playable character Yumi and a special story mission  Two exclusive outfits ReNewal Old Hanzo Uniform  Burst Girls Uniform  LoveyDovey Couple Diorama Pose Set,Missing,nan,nan,nan,nan,nan,nan
1519084800,"[12, 31]",135506,Discovery Tour: Ancient Egypt,"[6, 48, 49]",The Discovery Tour allows you to roam freely in the beautiful world of Ptolemaic Egypt Learn more about its life habits and customs by yourself or let historians and Egyptologists guide you on one of the 75 available historical tours they have curated,Discovery Tour Ancient Egypt is an educational mode of the game Assassins Creed Origins in which you can discover and explore the world free of conflict or gameplay constraints  The Discovery Tour allows you to roam freely in the beautiful world of Ptolemaic Egypt Learn more about its life habits and customs by yourself or let historians and Egyptologists guide you on one of the 75 available historical tours they have curated  It is available as a standalone or as part of Assassins Creed Origins,Missing,4.92,6.02,6.91,77.0,9.0,16.0
1518652800,"[12, 31, 32]",124858,Tempest: Jade Sea,"[6, 14, 48, 49, 130, 169]",Missing,Captain  Its time to go on board the real Chinese junk boat immerse yourself in the legend and explore mysterious islands On your way you will meet unexpected allies pick a fight with a sea dragon and visit familiar places that will play out in new colors Do not forget to get a new gun from your cabin  Expand your fleet You have 2 reliable junks at your disposal  Redecorate your ship Put on the new sails decorate the bowsprit with the golden dragon figurehead  let the other captains envy  Embark on an exotic adventure You will find the details about the forgotten island in the sail book  Explore the world Now you can stroll through the cities At your service are two new pirate settlements with a tavern drinks and shops,Missing,nan,nan,nan,nan,nan,nan
1519689600,"[12, 13, 31]",120981,The Sims 4: Jungle Adventure,"[6, 14, 48, 49, 167, 169]",Are your Sims up for some serious adventure Get ready to explore a wilderness full of exciting discoveries priceless relics and natural dangers  Check a few things off your Sims bucket lists with this incredible pack Hang out in a new tropical destination or gear up and take on the excitement and danger of the jungle  Theres so much to do in this colorful locale from trying out traditional dishes to dressing in the local fashions  Your Sims will discover incredible natural beauties ancient ruins and of course hidden dangers as they trek into the heart of the jungle  Stumble upon mysterious temples full of priceless relics and deadly traps  Excavate then examine your artifacts at the archeology table to discover which are fakes and which are priceless treasures,Explore a unique wilderness landscape in The Sims 4 Jungle Adventure a game pack for The Sims 4 revealing a temple jungle obstacles cursed relics and treasures Experience the culture and customs of Selvadorada from devouring local eats to learning spicy new dance moves,Missing,0.0,0.0,100.0,0.0,0.0,1.0
1518652800,"[5, 8, 33]",118854,Bleed Complete Bundle,"[3, 6, 14, 48, 49, 130]",Missing,This bundle contains Bleed and Bleed 2  A doubledose of the indie smash hit actionplatformer series in one super stylish bulletdodging bundle Help pinkhaired heroine Wryn defeat a relentless barrage of baddies and bosses and be the Greatest Hero of All Time Both games feature Arcade mode try and beat the game with just one life and couchfriendly 2player local coop,Missing,nan,nan,nan,nan,nan,nan
1519257600,"[5, 13, 14]",112413,Girls und Panzer: Dream Tank Match DX,"[48, 130]",Missing,Maneuver tanks with the realism and exhilaration of GIRLS und PANZER with the addition of online multiplayer matches for up to 10 players Single player mode is rich with original story modes relive the movie storyline from different characters perspectives in Story Battle mode or play as the Rival School team in Domination Battle mode and more Users will experience true Panzerfahren that is characteristic of the game,Missing,nan,nan,nan,nan,nan,nan
1518048000,"[12, 31]",99465,Heroine Anthem Zero: Episode 1,"[48, 130]",Missing,With an emotionally resonating soundtrack and beautiful visual art style Heroine Anthem Zero is the FIRST EPISODE in an epic fantasy adventure game from WindThunder Studio,Missing,nan,nan,nan,nan,nan,nan
