first_release_date,id,name,platforms,summary,genres,storyline,rating
943056000,222699,A Nightmare on Elm Street: Son of a Hundred Maniacs Demake,[18],Play as Freddy and terrorize teenagers in their sleep,Missing,Missing,Missing
941760000,97867,Pro Mahjong Tsuwamono 64 Jansou Battle ni Chousen,[4],Pro Mahjong Tsuwamono 64 Jansou Battle ni Chousen is a Mahjong game developed by Culture Brain released for the Nintendo 64 only in Japan in 1999,"[13, 35]",Missing,Missing
941760000,97860,Pro Shinan Mahjong Tsuwamono 64: Jansou Battle ni Chousen,[4],Missing,[35],Missing,Missing
943920000,55058,SNK vs. Capcom: The Match of the Millennium,"[6, 120, 130]",With 18 starting characters 26 total after unlocking numerous battle modes and varied minigames this may be the largest fighting game for the Neo Geo Pocket Color Choose the fighting style that suits you from the available Single Tag and Team modes The SC Olympic mode grants access to minigames from a music game featuring Felicia to a whackamole style game with Jubei The Olympic mode also allows players to compete for gold silver and bronze medals in various fighting challenges Link features include NGPCtoNGPC battles and NGPCtoDreamcast data exchange with other SNK titles,[4],Missing,Missing
941760000,47682,64 Hanafuda: Tenshi no Yakusoku,[4],64 Hanafuda Tenshi no Yakusoku is a hanafuda card game released exclusively for the Nintendo 64 in Japan,"[9, 16, 35]",Missing,Missing
943920000,43718,NBA In the Zone 2000,"[4, 7]",Get set for some serious net time with KONAMI and the NBA Were back In The Zone for PlayStation Nintendo 64 and GameBoy Color with our best season yet Lead the break from the tip off with features like threepoint contest pinpoint passing and the slam dunk contest All 29 NBA teams are here with 300 actual players suiting up So are you ready to try to sink the 3 with 2 seconds left Work on your D Venture into the paint Or are you just going to sit there with that goofy look on your face Huh Huh Huh,"[13, 14]",Missing,Missing
943056000,43559,Hype: The Time Quest,"[4, 6, 8]",Hype The Time Quest is an adventure video game developed by Ubi Soft Montreal and published by Ubi Soft Entertainment The game released in the year 1999 along with Alex Builds His Farm 1999 is based on the medieval castle toy series from Playmobil The US version of the Game Boy Color version was supposed to be released in June 2000 but was delayed for over a year for some reason The game revolves around Hype a 22yearold knight in the service of King Taskan IV following a quest through time to return to his own era in order to save the kingdom from the evil black knight Barnak The game was directed by Alain Tascan and featured thirtytwo different voice actors as well as original music by Robbi Finkel,"[8, 31]",The story begins during King Taskan IVs reign following the end of a civil war Hype the champion of the kingdom is being rewarded for his loyalty and valor by being presented with the powerful Sword of Peace However during the ceremony a mysterious and powerful black knight riding a dragon unexpectedly appears The knight steps to the King and demands the throne At that moment Hype steps before the knight and attempts to confront him but the black knight is too strong and with the use of powerful magic transforms Hype into a statue of stone and casts him deep into the past Two hundred years earlier Hypes statue appears in the courtyard of an apprentice magician Gogoud  After many failed attempts to revive Hype the young magician Gogoud manages to restore Hype to life As Hype recovers his memory he quickly explains his ordeal with the black knight  known as Barnak  and how he must return to his own time in order to protect his king take revenge on Barnak and marry his betrothed Vibe Sorrowfully Gogoud explains that he as a magician is not very experienced and is as currently only an apprentice Still the young man agrees to help Hype and guide him on his quest through time Gogoud comes to learn that in order for Hype to return to the future he must collect a number of jewels Both are dismayed to learn that each Jewel only allows Hype to advance one leap through time meaning that he will have to collect and charge jewels hidden in the reigns of Taskan I II and III before returning to the era of Taskan IV Throughout his journey Hype meets a number of faithful friends including Zatila the dragon Karon leader of the brigands her daughter Nohlin and many others On the other hand Hype also encounters a great number of foes including King Taskan I and his followers Rajoth the magician  founder of the Laboratories Enost  King Taskan IIIs wizard who defects to the Barnaks side numerous different soldiers including Barnaks armies of Black Guards and other servants Barnaks black dragon Vhoid and finally the evil Barnak himself Hype also confronts many nonhuman enemies including wolves spectres bats and a threeheaded dragon Hypes adventures take place in the same kingdom throughout different periods of its history Rivalries and wars erupt between the fortress the monastery the brigands and the magicians in the laboratories Upon returning to his own time Hype is reunited with Vibe and together they form an army in order to begin an uprising against Barnak who has taken control of the kingdom His large army enforce his diabolical regime forcing the kingdoms people to worship their master as a God as well as a King The entire kingdom is guarded by Barnaks evil minions with the main areas of the Town of Torras the Forest Gogouds Manor the Brigand Village and the Fortress being closely watched while unnecessary areas such as the Monastery Laboratories and the Field of Courage are closed off at Barnaks command Most disturbing however it is due to Barnaks conquest the land has become desolate and a fiery sky above foreshadows Barnaks triumph  causing great sadness over the kingdoms people The land however is finally restored to its former beauty when the Black Knight is defeated  his dark magic that plagued the kingdom broken The spirit of Gougoud tells tales of a new world as the story ends with peace returning to the land,Missing
942624000,10611,Sesame Street: Elmo's Letter Adventure,"[4, 7]",Preschoolers are in for a wonderful alphabetpacked good time Join Elmo and his Sesame Street pals in wonderful 3D action adventures as he swims drives and blasts off into a vibrantly colored world of video game fun   Helps children ages 36 with letter recognition and basic spelling skills  3 skill levels easily adjustable by parent or child  Features voices from the beloved TV show,[26],Missing,Missing
943142400,1513,Pokémon Silver Version,"[22, 37]",Pokémon Silver along with Pokémon Gold are the sequels to Pokémon Red and Blue They offer 100 new Pokémon to capture and train 8 more Gyms to take on and a new Pokémon League challenge Featuring an expanded postgame Pokémon Gold and Silver additionally offer extra content from the previous entries in the series,"[12, 16, 31]",Missing,88.16427967233209
943142400,1558,Pokémon Gold Version,"[22, 37]",Pokémon Gold along with Pokémon Silver are the sequels to Pokémon Red and Blue They offer 100 new Pokémon to capture and train 8 more Gyms to take on and a new Pokémon League challenge Featuring an expanded postgame Pokémon Gold and Silver additionally offer extra content from the previous entries in the series,"[12, 16, 31]",Missing,86.30284299030293
