first_release_date,id,name,platforms,summary,genres,rating,storyline
1193097600,227984,Sega Superstars Tennis and Xbox Live Arcade Compilation Disc,[12],Sega Superstars Tennis and Xbox Live Arcade Compilation Disc double pack,Missing,Missing,Missing
1193616000,210147,Stranglehold: Collectors Edition,"[9, 12]",Stranglehold Collectors Edition includes   John Woo presents Stranglehold  Poetry in Slow Motion behindthescenes documentary  Extended cinematic sequences  Video showing the progression from concept art to the final game  Insiders look at the games sound design  John Woos film Hard Boiled fully remastered in highdefinition PS3 only,"[5, 25]",Missing,Missing
1193097600,203273,Pac-Motos,"[5, 6, 48, 49, 130]",The player controls PacMan and must knock all of the enemies off of the stage in order to complete the level much like the original Motos The player must traverse through five different worlds each comprised of seven stages The seventh stage features a boss piloted by either member of the Ghost Gang and must be defeated in order to proceed to the next world,[33],Missing,Missing
1193097600,203270,Pac 'n Roll Remix,"[5, 6, 48, 49, 130]",In PacN Roll Remix the inhabitants of PacWorld have been turned into spheres by the evil monster Golvis Ghost Light PacMan must roll his way through GhostLand collecting pellets and confronting Ghosts to save his family and restore peace to PacLand Introducing an innovative new control scheme PacN Roll lets players control PacMan with the Nintendo DS stylus Players can roll and dash around the environment as well as execute maneuvers such as hairpin turns immediate stops and precision rolling with effortless strokes of the stylus In his quest to save PacLand PacMan will venture through stages such as Castle Pac GyroJungle and the Ghost House while facing perilous hazards like moving floors dash panels jump zones and wind zones Along the way PacMan will find powerups like the Winged Chocolate allowing him to fly through the worlds and jump over Ghosts or the Knight Chocolate providing him with armor which grants him the power to crash through walls and withstand more damage,[8],Missing,Missing
1192579200,147273,Speedball 2: Brutal Deluxe,[12],Speedball 2 Brutal Deluxe is a remake of Speedball 2 Brutal Deluxe by The Bitmap Brothers for Amiga The remake was developed by Empire Interactive for Xbox 360 via Xbox Live Arcade The game was released on October 17 2007  The game features a conversion of the original 1991 game as well as an option to play it in an enhanced HD 3D mode It has Xbox Live Arcade features such as Leaderboards and Achievements The game features larger leagues with more teams and local and Xbox Live multiplayer modes  Developer Empire Interactive was shut down in May 2009 and Speedball 2 Brutal Deluxe was delisted from Xbox Live Arcade shortly thereafter,[5],Missing,Missing
1192406400,120642,The Elder Scrolls IV: Oblivion - Fighter's Stronghold,"[6, 12]",Fighters Stronghold is the final official addon for The Elder Scrolls IV Oblivion It adds a new quest where you have to rid Battlehorn Castle of marauders After doing this the castle becomes the players property and has to be upgraded to finish the quest The addon also adds various new items and NPCs The PC version was available for free during a limited time after release,[12],Missing,Missing
1191628800,95422,JellyCar,"[6, 12]",JellyCar originally titled JelloCar is a drivingplatforming game for both Windows and Xbox360 The game is about driving a squishy car through squishy worlds trying to reach the exit The game features soft body physics for all of the objects in the world Also your car can transform for a limited time to aid progression through the level,"[8, 10, 32]",Missing,Missing
1193184000,80427,Battlestar Galactica,[12],Missing,Missing,Missing,Missing
1193788800,21914,Mutant Storm Empire,[12],Battle through line after line of the emperors minion horde destroying absolutely everything you can Blast through bunches of robots crush colonies of aquatic monsters smash swarms of UFOs and demolish devastating bosses Its a continuous adventure through four immense strikingly vibrant worlds and you can fight alone or join forces with a friend in twoplayer cooperative mode,"[5, 33]",Missing,Missing
1191974400,21883,Yaris,[12],A free game released on Xbox Live Arcade with the intention of promoting the car line of the same name It was delisted a year later following poor reception,Missing,Missing,Missing
1192579200,21835,Every Extend Extra Extreme,[12],The chain reactionbased 360 shooter Every Extend Extra Extreme that is an expanded version of the PSP game Every Extend Extra which in turn was expanded from a free PC game called Every Extend,"[5, 7]",Missing,Missing
