,id,name,platforms,summary,genres,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,269670,Bouken-Ou Beet: Vandel vs. Busters,[20],Missing,Missing,Missing,Missing,,,,,,
1,269645,Arashi no Yoru ni,[20],Missing,Missing,Missing,Missing,,,,,,
2,269556,Pluk van de Petteflet,"[6, 14, 20]",An edutainment game for the Nintendo DS,Missing,Missing,Missing,,,,,,
3,268108,Panic in the Mushroom Kingdom,[19],Missing,[8],Missing,Missing,,,,,,
4,267617,Super Mario World: VIP and Wall Mix,[19],Missing,[8],Missing,Missing,,,,,,
5,243196,Pac-Man World 3,[20],Missing,[8],Missing,Missing,8.36,8.43,14.0,62.0,18.0,10.0
6,239902,Super Mario Bros. 3: The Lost Levels,[18],Super Mario Bros 3 The Lost Levels is a rom hack that implements all of the unused levels in Super Mario Bros 3 into the game,[8],Missing,Missing,,,,,,
7,229545,Jikkyou Pawafuru Puroyakyu 12: Kettei-ban,"[8, 21]",Jikkyou Pawafuru Puroyakyu or Jikkyou Powerful Pro Yakyu lit Live Powerful Pro Baseball also known simply as Power Pro or Pawapuro to nonJapanese speakers is a traditionally Japanonly baseball series created by Konami,[14],Missing,Missing,,,,,,
8,212730,Hitting Mices,[18],Hitting Mices is an unlicensed NES game thats frequently featured on plug and play systems,[33],Missing,Missing,,,,,,
9,197941,James Pond: Codename Robocod,[20],In his second adventure James Pond must retrieve the toys Dr Maybe has stolen Pond has been armed with an Inspector Gadgetstyle stretch device which he can use to view higher areas or claw onto ceilings so as to slide across them  The gameplay takes place across worlds themed around particular types of toys such as sporting goods candy and aircraft The levels scroll sideways although a small amount of vertical movement is included On each level Pond must collect 2 penguins and reach the exit although there are usually multiple exits and lots of secret areas to explore After completing each pair of two worlds each of which has three sublevels a boss must be faced,[33],Missing,Missing,,,,,,
10,193353,Rayman 10th Anniversary,"[8, 21]",Compilation with Rayman M Rayman 3 and Rayman The Animated Series This version of the bundle was only released in France,[8],Missing,Missing,,,,,,
11,163214,Feng Yin Dao,"[18, 99]",Feng Yin Dao is a backport of The Legend of Zelda Links Awakening made for the Famicom that was developed by Nice Code and published by Shenzhen Nanjing Technology Co Ltd,"[12, 31]",Missing,Missing,,,,,,
12,124427,Oekaki Puzzle Battle Vol. 1: Yuusha-Oh GaoGaiGar Version,[20],Missing,[9],Missing,Missing,,,,,,
13,97812,Onegai My Melody: Yume no Kuni no Daibouken,[20],Onegai My Melody Yume no Kuni no Daibouken is a Nintendo DS game published by TDK Core Its based on the Onegai My Melody anime,"[9, 31]",Missing,Missing,,,,,,
14,84855,Shanghai DS,[20],A Shanghai game by Sunsoft only released in Japan,Missing,Missing,Missing,,,,,,
15,72549,Kouchuu Ouja Mushi King: Greatest Champion he no Michi DS,[20],Kouchuu Ouja Mushi King Greatest Champion e no Michi DS is an action game for the DS It is based on the Japanese card game Mushi King where players do battle using beetlelike monsters,"[4, 13, 16, 35]",Missing,Missing,,,,,,
16,70521,Wizardry Asterisk: Hiiro no Fuuin,[20],A DS remake of the first Wizardry,[31],Missing,Missing,,,,,,
17,47891,Dragon Booster,[20],Based on the popular animated series airing on ABC Family and Toon Disney Dragon Booster is a fast paced 3rd person racingaction game set in a fantastical world where humans and dragons coexist When their peaceful way of life is disrupted Beau a legendary dragon chooses Artha Penn an ordinary 16year old to become a mythical hero known as the Dragon Booster In this classic tale of good versus evil Artha must use his newfound abilities to defeat his foes and unite humans and dragons once and for all,[10],Missing,Missing,,,,,,
18,47864,Monster Trucks DS,[20],Nintendo DS racing game from Skyworks Technologies and Majesco Jump behind the wheel of your favorite monster truck and race on 25 different allterrain tracks in five different environments Master eight different monster rides each with different starting attributes As you complete challenges you can upgrade your monster trucks in the performance shops between races with the cash you earn by winning the races Tearup the tracks and put it all on the line with your friends via a fourperson multiplayer mode,[10],Missing,Missing,,,,,,
19,47728,Disney's Kim Possible: Kimmunicator,[20],Rescue Wade and save the world No big Help Kim go undercover using your Kimmunicator Collect and master cool gadgets and awesome new moves Dodge enemies and traps using Kims acrobatic skills to defeat enemies,Missing,Missing,Missing,,,,,,
20,47725,SBK: Snowboard Kids,[20],SBK Snowboard Kids released in Japan as Snowboard Kids Party スノボキッズパーティー sunobo kizzu pātī is a snowboarding video game for the Nintendo DS released on November 22 2005 in North America and two days later in Japan It was also released in Europe on April 28 2006 It is the fourth in the Snowboard Kids series following three previous games released on the Nintendo 64 and the PlayStation Up to four people can play wirelessly with one game card Though the name is the same as the other games the characters are teenagers in this installment,[14],Missing,Missing,3.0,0.0,6.11,70.0,4.0,4.0
