first_release_date,genres,id,name,platforms,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1117152000,[8],269896,Tower RE,[18],Missing,Missing,nan,nan,nan,nan,nan,nan
1115596800,[7],256806,Donkey Konga 2,[21],The American port of Donkey Konga which has a track listing different from the Japanese version,Missing,7.1,20.33,0.0,72.0,22.0,8.0
1116892800,Missing,248477,Madagascar,[20],Missing,Missing,5.36,8.62,14.1,63.0,101.0,68.0
1115683200,[10],242997,Need for Speed: Underground 2,[20],Missing,Missing,20.08,22.74,28.46,82.0,487.0,297.0
1115251200,[25],166484,Star Wars: Episode III - Revenge of the Sith,"[20, 24]",The Clone Wars continue to rage between the Republic and the Separatists Supreme Chancellor Palpatine has been taken hostage and ObiWan together with Anakin must rescue him The Star Wars Episode III Revenge of the Sith games for the Game Boy Advance and Nintendo DS systems allow players to experience the stunning Jedi action of the movie Developed by Ubisofts Montreal studio each version leverages the strengths of its handheld platform to produce the ultimate Jedi action experience The control of multiple heroes devastating Force powers and neverbeforeseen locations are just a few of the elements in store,Missing,nan,nan,nan,nan,nan,nan
1116892800,[16],132161,Dino Master,[20],Dino Master is a game for the Nintendo DS system similar to a fusion of Pokémon and the arcade game Qix The player takes the role of Dave the Digger who excavates fossils from various sites while avoiding enemies The fossils can then be revived into living dinosaurs and pitted against each other in Battle Mode,Missing,2.5,3.0,0.0,57.0,3.0,2.0
1115683200,[33],94906,PokéPark: Fishing Rally DS,[20],PokéPark Fishing Rally DS was a fishing game that was only available as a DS Download Play demo,Missing,nan,nan,nan,nan,nan,nan
1115251200,Missing,79297,Naruto: Ninja Council 2 - European Version,[20],Naruto Ninja Council 2 European Version is the third instalment in the Ninja Council series and the first for the Nintendo DS It was released in Japan as Naruto Saikyō Ninja Daikesshu 3 for DS and in Europe as Naruto Ninja Council 2 European Version,Missing,nan,nan,nan,nan,nan,nan
1116460800,[33],22287,Bomberman,[20],The Bomberman series returns with Bomberman for Nintendo DS boasting the first eightplayer wireless LAN action for the Nintendo DS system and supporting the DS microphone Bombermans addictive blend of strategy and action will keep puzzle fans and players of all ages and skill levels drawn to the 100 stages of gameplay,79.9987841114963,2.48,2.92,3.26,61.0,61.0,47.0
1116633600,[13],47944,Nintendogs: Labrador & Friends,"[20, 159]",Nintendogs is a realtime pet simulation video game developed and published by Nintendo for the Nintendo DS handheld video game console It was first released in Japan and was later released in North America Australia Europe and other regions It was originally released in three different versions Dachshund  Friends Lab  Friends Shiba  Friends in Japan and Chihuahua  Friends It has been rereleased twice since then first as a bundled release with a special edition Nintendo DS with a new version called Nintendogs Best Friends and then later as Nintendogs Dalmatian  Friends  Nintendogs uses the DSs touchscreen and builtin microphone The touch screen allows the player to pet a dog as well as to use various items that can be found or purchased These range from balls and frisbees to toys to grooming supplies to keep the dogs happy The microphone is used to call to the players dog by speaking the name given to the dog in the beginning of the game as well as to teach the dog tricks such as sit or roll over Players can bring their dogs on walks and to the park if they so choose They may interact with other players in multiplayer by using the DSs wireless linkup It also uses the DSs internal clock and calendar to allow the dog to grow hungrier or dirtier based on the elapsed time  Nintendogs received critical acclaim It has an aggregate score of 85 at Game Rankings3 and has won many awards including the 2006 Innovation Award from PC World and Best Handheld Game from the Associated Press As of March 31 2015 all versions of Nintendogs combined have sold 2396 million copies worldwide making it second on the Nintendo DS bestsellers list behind only New Super Mario Bros4 Because of Nintendogs success Nintendo has made several related products including Nintendogs toys5 and a series of Nintendogs trading cards6 At E3 2010 it was announced a sequel titled Nintendogs  Cats would be released for the Nintendo 3DS,79.36348662640836,nan,nan,nan,nan,nan,nan
1117065600,"[15, 16, 24]",66589,SD Gundam G Generation DS,[20],G Generation makes its way to the Nintendo DS This game is based on the Wonderswan game Monoeye Gundams,76.0,0.0,0.0,0.0,0.0,0.0,0.0
1116892800,"[8, 31]",3764,Madagascar,"[6, 8, 11, 21]",Be a part of Dreamworks animated adventure by guiding Marty the Zebra Alex the lion Melman the giraffe Gloria the hippo and those stealthy Penguins as they escape the Central Park Zoo into the streets of New York and then into the wild jungleerr San Diego zoo  The storyline is exactly the same as the movie itself and each chapter will bring you further in the story Every chapter will have various goals set Only one specific goal per chapter is required to complete the chapter so you can always replay the chapter later to try to complete all the goals  Every stage will also require you to play as a different character and some will involve all characters  Each character have their own unique abilities Marty can kick with his hind legs sneak around his enemies slide and perform longjumps Alex the lion can throw fruits use his claws and roar at his enemies Gloria can tumble butt bounce and hip check her enemies And when she eats some chili peppers she will be able to charge into her enemies Melman can spin into throw items at and head bash his enemies He can also perform the Helicopter move which enables him to glide long distances Finally the Penguin can slide fish and attack with a Finishing move something like a karate chop to defeat their enemies  Throughout the game there will be various items to collect including Life Tikis to replenish your Health Meter and Monkey Money that will enable you to buy special things at the Zoovenir Shop like mini games and special outfits for the Madagascar cast,72.40001614707141,5.36,8.62,14.1,63.0,101.0,68.0
1116460800,"[13, 14]",17046,My Riding Stables: Life with Horses,"[6, 48, 130]",The Riding Stables at Mill Creek are mere ruins but you are about to change that stables riding hall and guesthouse are being renovated and guests will happily pay for their stay Your earnings will help you to build a new breeding stable and soon cute little foals frolic on the pasture with their moms Later you will train them and sell them to trustworthy customers Other horse owners bring their horses to be massaged by your knowing hands  You also have your own horse of course which if the two of you trained enough you take to various cross country races Lets win the Cup and make your dream come true,60.0,0.0,0.0,0.0,0.0,0.0,0.0
1116460800,"[9, 26]",2712,Brain Age: Train Your Brain in Minutes a Day!,[20],Brain Age keeps the brain active through a series of mathematical questions Stroop tests and Sudoku,58.53027191916795,1.65,6.78,14.04,64.0,99.0,38.0
