first_release_date,id,name,platforms,genres,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1101945600,269623,Cool 104 Joker & Setline,[20],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1104451200,268357,Super Lueshi World,[19],[8],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1103846400,248504,Puyo Pop Fever,[20],[9],The games story mode is divided into three courses that follow the adventure about Amitie a spunky girl who attends a magic school where she is taught by Accord how to cast magical spells using Puyo In the main story of the game Accord has lost her Flying Cane the equivalent of a magic wand and claims to have a reward for the student who can find it The player plays the role of Amitie as she ventures across the Puyo Puyo Fever world to find the cane while meeting many wacky characters along the way and battling them In a harder version of the story mode one plays as Amities rival Raffina Which story mode one is playing determines what characters one will meet and which ultimately finds the wand When playing as Raffina near to the end of the game it is revealed that Accord never actually lost her flying cane She then plans on revealing Accords and Popois secret but fails in her ending as she is knocked unconscious by Accord losing all memories of the flying cane incident She regains consciousness near her school where Amitie and her friends congratulate her,A port of Puyo Puyo Fever for DS,Missing,1.15,1.74,3.1,66.0,19.0,15.0
1102982400,248494,Tiger Woods PGA Tour 2005,[20],[14],Missing,Missing,Missing,0.0,49.59,0.0,77.0,9.0,3.0
1104451200,219117,Hard Relay Mario,[18],"[8, 9]",Missing,An extremely difficult Super Mario Bros romhack requiring puzzle solving and the use of numerous glitches to complete,Missing,nan,nan,nan,nan,nan,nan
1103846400,214714,Ketsui: Kizuna Jigoku Tachi DX,"[55, 130]",[33],Missing,The second phone adaptation of the arcade game Ketsui Kizuna Jigoku Tachi Released for DoJa mobile devices then rereleased for Nintendo Switch  Unlike the earlier phone adaptation for J2ME devices this version features all of the original games five stages and enhanced graphics,Missing,nan,nan,nan,nan,nan,nan
1103155200,145048,Pure Evil: 2-pack,[21],Missing,Missing,Pure Evil is a GameCube multigame pack released in 2004 It contains copies of the Resident Evil remake Resident Evil 0 and a trial version for the thenupcoming Resident Evil 4 The later released PS4  Xbox One  Nintendo Switch  Windows compilation called Resident Evil Origins Collection with enhanced versions of the games does not include the trial version It comes with support for 3D gameplay controls opposed to the original tank controls and a Very Easy mode for novice players,Missing,nan,nan,nan,nan,nan,nan
1101945600,92634,Kenshuui Tendou Dokuta,[20],[13],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1101945600,80797,Mahjong Taikai,"[20, 38]",Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1104451200,72268,Crazy Chicken: Wanted,"[6, 48, 130, 167]","[5, 9, 33]",Missing,Another Moorhuhn shooter,Missing,0.18,0.0,0.0,60.0,1.0,1.0
