,id,name,platforms,summary,genres,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,269830,Enpitsu de Oku no Hosomichi DS,[20],Enpitsu de Oku no Hosomichi DS is an edutainment game developed by Beyond Interactive and published by Success which was released in Japan in 2007,Missing,Missing,Missing,,,,,,
1,269635,Illu-Logi VOW,[20],Missing,Missing,Missing,Missing,,,,,,
2,252200,Spider-Man 3,[20],The Nintendo DS version of SpiderMan 3 a videogame based on the 2007 movie of the same name  The Nintendo DS version is completely 25D and uses the Touch Screen to execute most attacks Players can put on the black suit at will but it will be disabled if SpiderMans health is too low This version supports wireless multiplayer,[8],Missing,Missing,8.08,12.56,17.56,63.0,177.0,83.0
3,248518,Surf's Up,"[5, 8, 21]",Missing,Missing,Missing,Missing,1.43,3.95,9.02,61.0,30.0,26.0
4,229262,Hana Saku DS Gardening Life,[20],Missing,Missing,Missing,Missing,,,,,,
5,203406,Simple DS Series Vol. 14: The Jidousha Kyoushuujo DS,[20],The Jidousha Kyoushuujo is a Miscellaneous game developed by Vingtetun Systems and published by D3Publisher which was released in Japan in 2007,Missing,Missing,Missing,,,,,,
6,201926,Pirates of the Caribbean: At World's End,[20],Players will have to face off again Davy Jones his Flying Dutchman crew and the villainous kraken in addition to the Chinese pirate Sao Feng cannibals other pirates and the East India Trading Company  Players must battle their way through the events of Dead Mans Chest and At Worlds End using a variety of sword and item attacks in addition to a system called Black Pearls which only allows players to block for so long until the Black Pearls are drained and no longer able to block until it recharges Each character has their own special attack and other weapons such as pistols and daggers can be found for use in combat,[31],Missing,Missing,5.97,11.6,22.13,60.0,62.0,37.0
7,201349,Surf's Up,"[6, 20, 24]",When the Surfs Up Cody Maverick comes running to hit the tubes with his board Based on the 2007 film Surfs Up follows the story of a young penguin surfer from Shiverpool Antarctica who enters the Big Z Memorial Surf Off on the island of Pen Gu Single gamers may select from ten playable characters and then work their way through several environments including Shiverpool Pen Gu and the volcanic area With friends players may compete in a variety of competitions with such characters as Tank Big Z and Cody,[14],Missing,Missing,1.43,3.95,9.02,61.0,30.0,26.0
8,200881,Shrek the Third,"[20, 24, 55]",An action video game based from the third installment of the Shrek movie series  The Frog King has died and Shrek has inherited the throne Since Shreks not a big fan of this idea he and his friends journey to the Worcestershire academy to recruit Fionas cousin Artie for the job Unfortunately while hes away the dastardly Prince Charming has big plans to take over the kingdom,"[8, 25, 31]",Missing,Missing,3.86,6.0,9.19,57.0,45.0,22.0
9,191867,Iraroji VOW,[20],Nanpure VOW is a picross puzzle game containing 300 BW PicaPix and Color PicaPix puzzles in all difficulty levels The game also has multiplayer games for up to 4 participants,"[9, 15, 35]",Missing,Missing,,,,,,
10,130426,Simple DS Series Vol. 15: The Kanshikikan 2 - Aratanaru 8-tsu no Jiken wo Touch seyo,[20],Simple DS Series Vol 15 The Kanshikikan 2  Aratanaru 8tsu no Jiken wo Touch seyo is an Adventure game developed by Tomcat System and published by D3Publisher which was released in Japan in 2007,Missing,Missing,Missing,,,,,,
11,72619,Shin Lucky Star Moe Drill: Tabidachi,[20],The sequel to Lucky Star Moe Drill this followup to the first game features new quizzes and minigames to test players on their skills and knowledge,"[9, 26]",Missing,Missing,,,,,,
12,59337,Kurikin: Nano Island Story,[20],A Media Kite developed role playing game released exclusively on Nintendo DS by Nintendo in Japan,Missing,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
