,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,"[5, 8]",199217,Rockman Exhaust,[18],Rockman Exhaust is a ROM Hack of Rockman 2 by DHI As with most hacks it features new music graphics and level designs,Missing,Missing,,,,,,
1,"[9, 14]",94165,Guru Guru,[20],Guru Guru is an action game featuring apprentices and their familiars which must be thrown across hazardous courses to reach a goal at the end Players must strategize and alchemize the perfect familiars to overcome each obstacle course The gameplay could be described as sidescrolling golf,Missing,Missing,,,,,,
2,[34],67148,Surviving High School,"[34, 39, 159]",Experience high school drama at Centerscore High in this textbased game,Missing,Missing,4.73,0.0,0.0,0.0,0.0,1.0
3,"[4, 12]",50588,Boboboubo Boubobo Dassutsu! Hajike Royale,[21],Boboboubo Boubobo Dassutsu Hajike Royale is an Action game published by Hudson which was released in Japan in 2005,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
4,[31],47890,Classic Action: Devilish,[20],By combining a fast paced brickandpaddle system along with great level design we are bringing the fun and excitement in the vein of Breakout to a whole another level This retro title has been enhanced with the better graphics gameplay and the ability to use both screens If youre a fan of action pinball this title is for you Utilize the features of the DS to add a new element of fun and control to the game as you bounce your magical orb through the labyrinth both horizontally and vertically Use the shoulder buttons to rotate your paddles to shoot your orb in any direction Find and utilize various powerups throughout your journey to aid you in your fight against evil There is a total of 5 levels with several sublevels within each with new and unique challenges and varying environments Each level has a unique end boss that must be defeated to continue The game automatically saves your progress so you can come back and play replay a level at anytime,Missing,Missing,,,,,,
5,"[12, 15, 16, 24]",1441,Fire Emblem: Path of Radiance,[21],Fire Emblem Path of Radiance is a tactical roleplaying video game developed by Intelligent Systems and Nintendo SPD and published by Nintendo for the GameCube home console in 2005 It is the ninth main installment in the Fire Emblem seriesc and the third to be released in the west As with previous installments gameplay revolves around positioning characters on a battlefield to defeat an opposing force If characters are defeated in battle they are removed from the rest of the game,83.81623453855673,War has engulfed the land of Tellius where human beorc and halfhuman laguz view each other with mistrust When a surprise invasion triggers a worldwide conflict a sinister force emerges from the shadows and pits the two against one another Only a young mercenary named Ike and his small band of soldiersforhire stand between Tellius and madness,32.75,37.86,43.76,86.0,361.0,339.0
6,"[8, 9, 31]",1339,Psychonauts,"[3, 6, 8, 9, 11, 12, 14, 21, 48, 49]",A Psychic Odyssey Through the Minds of Misfits Monsters and Madmen This classic actionadventure platformer from acclaimed developers Double Fine Productions follows the story of a young psychic named Razputin,83.77745449947547,Missing,11.97,15.28,21.07,82.0,1146.0,1665.0
7,"[8, 31]",2681,LEGO Star Wars: The Video Game,"[6, 8, 11, 14, 21]",LEGO Star Wars blends the unique world of LEGO with the adventure of Star Wars for unforgettable action and fun Live the most popular moments from The Phantom Menace Attack of the Clones and Revenge of the Sith Episodes I to III come to life  and you can become a part of the story Will you succumb to the dark side of the force or will you become a strong Jedi knight Find your destiny,76.14857492800392,Missing,6.47,11.67,17.91,73.0,334.0,183.0
8,"[7, 13]",18340,Electroplankton,[20],Electroplankton is an interactive music video game for the Nintendo DS handheld video game console It allows the player to interact with animated plankton and create music through one of ten different plankton themed interfaces The firstrun edition of Electroplankton in Japan came bundled with a set of blue colored ear bud headphones The game offers two game modes Performance and Audience The Performance mode allows the user to interact with the plankton through use of the stylus touchscreen and microphone Audience mode simply allows the user to put down the system and enjoy a continuous musical show put on by all of the plankton although the user can interact with the plankton just like in Performance mode Audience mode is like a demo mode in some other games,60.0530782813215,Missing,0.65,0.0,1.04,58.0,20.0,18.0
9,[12],3948,Homeland,[21],Homeland is a Japaneseexclusive game for the Nintendo GameCube Its main claim to fame is that it is the only nonPhantasy Star Online title in the systems library to officially support online multiplayer although the implementation of it is different compared to most other games,23.0,Missing,0.0,0.0,0.0,0.0,0.0,0.0
