,genres,id,name,platforms,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,[8],247330,A Bug's Life,"[19, 29]",A Bugs Life is a bootleg Mega Drive port of the game with the same name for the Game Boy Color published by Unite Lucky Technology in 2000 It was also then ported to the SNES in the same year and was published by DVS Electronic Co,Missing,5.9,11.1,12.47,64.0,81.0,47.0
1,"[4, 8]",146342,Disney's Donald Duck: Goin' Quackers,"[8, 21]",Goin Quackers begins with Donald Duck Gladstone Gander and Gyro Gearloose watching television reporter Daisy Duck discovering the mysterious temple of the evil magician Merlock As she tells the story Merlock discovers Daisy and kidnaps her His arch rival Gladstone sets out to find her before Donald who decides to use Gyros new invention the Tubal Teleport System to track down Merlock and Daisy However a piece of Gyros device is missing and to get the machine working again Donald must go on a journey to recover it Along the way he must compete with Gladstone reverse the spells that Merlock put on Huey Dewey and Louies toys and defeat several bosses including the Beagle Boys and Magica De Spell,Missing,2.36,3.03,3.65,67.0,103.0,106.0
2,"[2, 9, 10, 31]",54663,Pinchcliffe Grand Prix,"[6, 20]",Pinchcliffe Grand Prix  The PC Game is the biggest game success in Norway of all time It features activities and animations for hours and hours of entertainment for all the family    Gamers get to repair bicycles do jigsaws feed birds ride Sonnys trike paint catch butterflies and sort socks Along the way they find or win car parts enabling them to build Il Tempo Gigante no less  and take part in the car race itself    The game has won the EMMA Award in the Entertainment Category,Missing,,,,,,
3,[8],45692,Pocket Monster,"[19, 29]",Pocket Monster not to be confused with the Famicom pirate of the same name is a pirate game based off the Pokémon series for the Mega Drive and SNES the SNES version being credited to DVS Electronic Co The game appears to have been released in 2000 as hinted by details on the box art,Missing,,,,,,
4,[10],4088,Gadget Racers,"[8, 21]",Gadget Racers is the first game in the HGHigh Grade series of games developed exclusively for the PlayStation 2 by Barnhouse Effect In this game the objective is to gain 100 by completing various events in the games Grand Prix,Missing,0.0,5.25,10.35,77.0,3.0,4.0
5,[14],3584,Razor Freestyle Scooter,"[4, 7, 23]",Razor Freestyle Scooter is an extremesports style action game modeled around small nimble scooters In contrast to most games of this type there is a story A crazed giant robot has kidnapped your skating buddies By completing skating challenges at the robots sky fortress you must rescue your friends You skate around 3 large areas and attempt to perform wild tricks collect scooter wheels and earn bonus time By completing an objective on all 3 areas you unlock a sky fortress level in which you can rescue a new skater to control,Missing,,,,,,
6,"[12, 31]",1514,Pokémon Crystal Version,"[22, 37]",Pokémon Crystal is a special edition of Pokémon Gold and Silver It added the option to play as a female character expanded upon the storyline and made slight aesthetic changes to the stillintact core experience of becoming a Pokémon Master,89.12573284239397,,,,,,
7,[5],156,Star Wars: Episode I - Battle for Naboo,"[4, 6]",Attention defenders of Naboo The Trade Federation must be stopped Storm through more than 15 missions over land sea and space as your freedom fighters rally against the droid armies Take control of 7 vehicles the Naboo starfighter Gian speeder and new craft like the heavy STAP Trade Federation gunboat and more  More than 15 missions escape from Theed search  destroy sabotage reconnaissance convoy Battle against Trade Federation droid starfighters AATs destroyer droids battle droids Change vehicles midmission through specially designated hangars,77.37695440888922,,,,,,
8,"[13, 15, 16]",2290,Pokémon Stadium 2,"[4, 130]",While Pokémon Stadium 2 does have a storyline progress in the game can be made by winning Cups in the Stadium and completing the Gym Leader Castle When all Cups have been won and the Gym Leader Castle completed the players Rival will appear Defeating the Rival will unlock Round 2 in which the player must rechallenge the Stadium Gym Leader Castle and the Rival in order to complete the game But they have different Pokémon and the difficulty is much higher  Stadium The player begins by choosing 6 different Pokémon There are 250 different Pokémon to choose from including some legendary Pokémon Pokémon tournaments take place in the Stadium There are four Cups to participate in Each round consists of eight battles and every Cup except the Little and Prime Cup consists of four rounds named after Poké Balls that must be cleared to win that Cup,76.0264926540944,19.25,24.75,39.83,73.0,167.0,54.0
9,"[26, 35]",2329,Mario Party 3,[4],Mario Party 3 is the third and final Mario Party title for the Nintendo 64 A total of eight characters are available to choose from Mario Luigi Princess Peach Yoshi Wario Donkey Kong and newcomers Waluigi and Princess Daisy Mario Party 3 features duel maps in which two players try to lower each others stamina to zero using nonplayable characters such as Chain Chomps It is the first Mario Party game to feature Luigis main voice and also it is last Mario game where Princess Daisy appears in a yellow and white dress and with long hair as well as the last Mario game until New Super Mario Bros Wii in which Yoshis recordscratching voice is used It is also the first Mario Party game to have multiple save slots,75.58482640432705,8.59,15.41,18.3,78.0,116.0,40.0
10,[25],3927,Gauntlet Dark Legacy,"[8, 11, 21, 52]",Gauntlet Dark Legacy is the followup to Gauntlet Legends and another installment in the longrunning Gauntlet series of hackandslash action games As with all the Gauntlet games you play a medieval fantasy character who along with allies if you have them fights his or her way through hordes of evil creatures on the never ending quest for more gold and perhaps even an eventual goal  This version contains the characters and levels from Gauntlet Legends plus the new characters and levels from the Dark Legacy arcade game with a few extra levels thrown in  There are eight characters to initially choose from the mighty Warrior the deadly Valkyrie the quickfooted Archer the powerful Wizard the spellcasting Sorceress the stalwart Knight the valiant Dwarf and the chaotic Jester Although there are similarities between characters from the two games each character looks and plays differently In addition there are eight alternativemodes for these characters to unlock plus dozens of secret characters to obtain With a multitap up to four players can play with rules governing how much they can hurt each other Unlike the original Gauntlets the levels youll face take place in various terrain from forests to mountains to volcanic plains Many of the monsters are familiar to old fans of the series but there are some new blood among the ranks of evil including some rather large foes,67.07800077141032,14.01,18.01,20.03,74.0,38.0,33.0
