,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,[12],265053,Megami Tensei Gaiden: Last Bible II,"[22, 37]",Missing,Missing,Missing,10.0,12.0,16.58,62.0,6.0,3.0
1,"[4, 25]",47683,Fighting Force 64,[4],Fighting Force players control one of four characters They move through urban and science fiction environments battling waves of oncoming enemies with weapons ranging from fists and bottles to knives chairs and guns The player can make some choices as to which territory to travel through  The four characters have various reasons for taking on Dr Zeng a criminal mastermind with an army at his command The action starts with a police cordon around Zengs office skyscraper moving to such locales as a shopping mall subway and Coast Guard base before finally ending at the top of Zengs island headquarters,Missing,Missing,,,,,,
2,[15],44048,Onegai Monsters,[4],The game is a 3D RPG in which the player character is a child who starts a journey to become a monster breeder on his tenth birthday After receiving and hatching an egg the player walks around the world completing requests from people and raising monsters Requests are basic RPG questssuch as collecting an item for a nonplayable characterand the monsters fight in Pokémonstyle turnbased battles Unlike Pokémon every monster in the game comes from the one baby that the player receives as their first monster Depending on the food it is fed the monster gains element points which determine how it evolves Monsters level up both through defeating other monsters and when walking around the town Monsters hatch from eggs that can be bought at the local monster shop,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
3,[10],3642,World Driver Championship,[4],One of the last racing simulations to be released for Nintendo 64 this graphically intensive title used custom microcode optimization and high polygon count modelling The development team was able to optimize the usage of the various processors within the N64 to allow far draw distance reducing the need for fog or popup high detail texturing and models Doppler effect audio and advanced lighting and fog effects for realistic weather conditions Impressively the game has a high resolution 640x480 mode that does not require the addon N64 RAM Expansion Pak Additionally unlike many other games of its type on the platform the game runs high resolution at a sufficiently playable pace undoubtedly due to the use of a reduced screen area letterbox mode that lessens the number of pixels needing to be displayed,Missing,Missing,35.0,39.25,44.0,75.0,4.0,5.0
4,[8],3534,Last Legion UX,[4],Last Legion UX is a platform game for the Nintendo 64 It was released only in Japan in 1999,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
5,[14],3531,Ken Griffey Jr.'s Slugfest,[4],Bursting with stunning realism and highexcitement baseball action Ken Griffey Jrs Slugfest drives home the winning run Improved player animations and color commentary by Dave Niehaus  The Voice of the Mariners  make you feel like youre really at the game while easytouse controls updated rosters and statistics and an optional fantasy draft make it even more fun than being there,Missing,Missing,0.0,0.0,0.0,40.0,1.0,0.0
6,[10],154,Star Wars: Episode I - Racer,"[4, 6, 14, 23, 48, 49, 130]",Star Wars Episode 1  Racer lets you participate in the famous pod race sequence that was the critical highlight of the film Star Wars Episode I The Phantom Menace back in 1999  Take the controls as Jeditobe Anakin Skywalker or any one of over 20 pod racers These lightningquick vehicles are capable of reaching simulated speeds of up to 600 miles per hour while skimming a mere 4 feet above the ground Feel the fullforce blast while avoiding hazards such as methane lakes meteor showers and the notorious Tusken Raiders You can race alone or against a friend in splitscreen mode on more than 21 courses that span over 8 different worlds This level of customization adds excellent replay value,73.99201986961354,Missing,,,,,,
7,[8],49877,Super Mario Bros. Deluxe,"[22, 37]",Bowser has once again taken over the Mushroom Kingdom and its up to Mario to put an end to his sinister reign Battle Bowsers vile henchmen through 32 different levels  all taken directly from the 1985 classic Then move on to collect special Red Coins and Yoshi Eggs in the Challenge Mode Or face off against a friend and race through 8 competition courses in the allnew VS Mode This time theres a lot more to do than just save a Princess so get ready for a bricksmashin pipewarpin turtlestompin good time,65.10375330919034,Once upon a time the peaceful Mushroom Kingdom was invaded by the Koopa a tribe of turtles famous for their dark magic These terrible terrapins transformed the peace loving Mushroom People into stones bricks and ironically mushrooms then set their own evil king on the throne In the wake of the ghastly coup detat the beautiful Mushroom Kingdom fell into ruin and despair  It is said that only the daughter of the Mushroom King Princess Toadstool can break the evil spell and return the inhabitants of Mushroom kingdom to their normal selves  But the King of the Koopas knowing of this prophecy kidnapped the lovely Princess and hid her away in one of his castles  Word of the terrible plight of the Mushroom People quickly spread throughout the land eventually reaching the ears of a humble plumber The simple yet valiant Mario vowed to rescue the Princess and free her subjects from King Koopas tyrannous reign But can Mario really overcome the many obstacles facing him and become a true hero,2.96,6.03,12.31,76.0,127.0,98.0
8,"[9, 31]",3600,Shadowgate 64: Trials of the Four Towers,[4],Ages have past since the vile Warlock Lord was banished to another dimension by the brave Lord Jair The famous deed is now only spoken of as legend and myth However recent incidents have transpired in an attempt to resurrect the Ultimate Evil One Caught up in a chain of events beyond his understanding or control the Halfling Del must explore the ruins of the dilapidated Castle Shadowgate in order to unravel the mysteries set before him and thwart the dark plans now in motion,63.48913270050163,Missing,6.45,8.11,8.8,58.0,6.0,9.0
9,"[5, 31]",3005,Superman: The New Superman Adventures,[4],Superman The New Adventures often referred to as Superman 64 is a 1999 adventure video game developed and published by Titus Software for the Nintendo 64 video game console The game is based on the television series Superman The Animated Series Superman was first released in North America on May 31 1999 and in Europe on July 23 1999,18.96021905179874,Missing,,,,,,
