,genres,id,name,platforms,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,"[5, 8, 9, 31]",131706,Lucky Luke,"[6, 19]",Based on the famous comics series about good cowboy Lucky Luke,Missing,2.09,3.0,0.0,59.0,17.0,7.0
1,[13],47677,AeroFighters Assault,[4],The Aero Fighters Assault team needs your help to save the Earth from the evil Phutta Morgana organization and their machines of doom Join the battle and choose your fighter from 6 different aircrafts with unique missiles and special weapons to wipe out your enemies in 3Denvironment,Missing,,,,,,
2,[14],3558,NFL Quarterback Club 98,[4],Do you have the courage to be an NFL quarterback The same folks that brought you TUROK have turned their attentions to the gridiron and have brought great graphics realistic action and lots of options to the sport With full licenses from the NFL and its athletes the game has all of the teams and players plus perfect replications of logos and stadiums Just to assure that the artificial intelligence was high and the gameplay realistic the developers coaxed Brett Favre into designing some of the plays,Missing,0.0,0.0,0.0,30.0,2.0,0.0
3,"[13, 14]",3536,Madden Football 64,[4],Madden Football 64 is a football video game It was the first game of the Madden NFL series to be released for the Nintendo 64 The game has commentary by Pat Summerall and John Madden This edition does not use real NFL team names or logos Instead the teams use banners that consist of two bars with the team colors and the team name on top of them in white accompanied by players in their uniforms The Pro Bowl is referred to as the Madden Bowl and the Super Bowl as the EAS Championship,Missing,8.08,0.0,0.0,65.0,2.0,1.0
4,[14],3520,J.League Eleven Beat 1997,[4],Released in 1997 for the Nintendo 64,Missing,0.0,0.0,0.0,0.0,0.0,0.0
5,"[2, 31]",5204,"Spy Fox in ""Dry Cereal""","[5, 6, 14, 48, 130]",The supersuave agent SPY Fox must find Mr Udderly rescue all the cows and stop William the Kid from depleting the worlds supply of milk Using ingenious SPY gadgets keen wits and daring moves SPY Fox jumps out on an udderly exhilarating adventure,79.95215749609932,,,,,,
6,"[14, 15]",818,NHL 98,"[6, 7, 19, 29, 32]",NHL 98 features much faster and refined gameplay now using four action keys instead of two removing the need to doubletap to perform some actions along other new features such as inthefly tactics developed by Marc Crawford then manager of the Colorado Avalanche and new commentary lines from Jim Hughson and Darryl Reaugh and a reworked interface Graphics are improved from the previous version with the players being less angular and thanks to 3Dfx support with less pixels showing in the textures The ingame presentation follows a TVstyle script zooming in players while displaying stats during clock stoppages  As far as game modes go in the year of the first Olympic Tournament with professional players NHL 98 introduced the first real international competition with 18 International teams to choose from Other game modes include Season option to pick between 25 or 82 games and Playoff best of 1 3 5 or 7 matches and a Penalty Shootout mode,79.04925930958386,22.5,0.0,0.0,70.0,6.0,2.0
7,[5],10680,Duke Nukem 64,[4],Duke Nukems coming to get some Prepare yourself to become the biggest baddest alien basher in the known universe  Duke Nukem as you blast your way through the streets of LA out to an orbiting station and onto the moon itself Bag some aliens with over a dozen hitech weapons 32 levels of nonstop carnage Run jump crawl swim and jetpack your way through danger Big weapons and bigger bosses for a funfilled fragfest Fourplayer splitscreen Dukematch action,69.92156760845911,7.61,0.0,12.0,66.0,20.0,10.0
8,"[13, 14]",26013,NBA Live 98,"[6, 7, 19, 29, 32]",NBA Live 98 is a basketball video game based on the NBA and the fourth installment of the NBA Live series The cover features Tim Hardaway of the Miami Heat The game was developed by EA Sports and released on November 30 1997 for the PlayStation October 31 1997 for the PC and December 31 1997 for the Sega Saturn It was the final version of NBA Live released for the Super NES Genesis and Sega Saturn,55.33126314916011,10.0,0.0,80.0,67.0,6.0,2.0
9,[4],44043,ClayFighter 63 1/3,[4],Get ready to crumble Once again the clay fighters prove that when you play a stateoftheart fighter you might lose lives you might lose limbs but theres no reason to lose your sense of humor Fight in and out of 3D backgrounds Get tossed out of a window and resume fighting outside Choose form 12 eccentric fighters including brand new combatants and old favorites like Bad Mister Frosty and Bonker the Clown Includes bonus secret characters who are so famous that a legal gag order prohibits us from revealing their identity Move freely in over 12 highly detailed 3D environments,54.30918955360084,0.56,0.0,0.0,53.0,20.0,8.0
