first_release_date,id,name,platforms,summary,genres,storyline,rating
835920000,270240,Race Drivin' a Go! Go!,"[7, 32]",Race Drivin a Go Go is an updated remake of the 1990 coinop racing game of the same title It features the original Hard Drivin course the courses added in the original Race Drivin and three brand new courses only found in this new version The number of available vehicles has also increased from 3 to 8 The game includes both a singleplayer championship mode and an arcade time attack mode,Missing,Missing,Missing
835920000,259990,Mushi no Idokoro,[7],Mushi no Idokoro is a puzzle game about insects in a fantasy world,[9],The game features 3 game modes 1  Ranking Mode Compete against time 2  Story Mode Advance through a story mode clearing the different puzzles 3  Battle Mode Play against another human player to clear the cube first The game features also a Movie Mode in which the player can watch the movies that he unlocked in the story mode,Missing
835920000,246575,Ide Yosuke Meijin no Shin Jissen Mahjong,"[7, 32, 50]",Missing,[35],Missing,Missing
835920000,159231,SD Gundam Over Galaxian,[7],3D remake of Galaxian using characters from the Gundam series,"[5, 33]",Missing,Missing
834969600,137021,Derby Stallion,[7],A horse racing simulation game which seems to be a popular genre in Japan,"[13, 14]",Missing,Missing
835315200,125421,Meru Purana,[7],Meru Purana is a mix between an strategy game and a RPG where the player controls a group of characters The player will have to decide the components of each battle group and the possible actions and choices of commands in battle,"[12, 15]",Missing,Missing
835747200,108838,Sotsugyou Crossworld,"[6, 7, 32]",A visual novel game for the Sega Saturn PS1 and PC,[34],Player takes the role of a young pilot who returns home after traveling around the world and who meets different girls around the town,Missing
835315200,93021,Complete Onside Soccer,"[7, 13]",Missing,Missing,Missing,Missing
834537600,44990,Top Gun: Fire at Will!,[7],The PlayStation version differs greatly from the PC versions emphasizing action over simulation in particular takeoffs and landings were cut and the player begins each mission with enemies near at hand rather than having to hunt them down  Players will be manning the F14 fighter plane Not only does this baby come with all the necessary tools and equipment needed for survival radar warning lights altitude meters it comes with a variety of missiles there are standard airtoair missiles the airtoground AGMs U238s made from depleted uranium a disastrous Nuke and the multiple target MIRV It also comes with some defensive tools such as chaffs and flares that trick enemy radar  Dont worry youre not going in the air alone Merlin will act as your Radar Intercept Officer loosely translated hes the guy that sits behind you and watches out for enemy target locks Additionally the sweetly calm Raven and your arch rival Stinger will assist Maverick as his wingmen When you get in a sticky situation count on these guys to help you out,"[5, 13]",Missing,Missing
836092800,44759,Soukyuu Guren-tai,"[7, 32, 52]",Soukyuu Gurentai is a vertically scrolling shooter game released by Raizing in 1996 for Arcades with a Saturn port released in 1997 The game is unusual in that rather than using a 34 aspect ratio to better suit the verticallyoriented gameplay it uses a horizontal monitor 43 in the style of Neo Geo vertical shooters as well as the later Radiant Silvergun and Giga Wing There is an English version of the game titled Terra Diver but it was never officially released,[33],Missing,Missing
835660800,20613,Namco Museum Vol. 3,[7],The third PlayStation volume contains Galaxian 1979 Ms PacMan 1981 Dig Dug 1982 Phozon 1983 Pole Position II 1983 The Tower of Druaga 1984  The majority of the included games were wellknown worldwide but Phozon and The Tower of Druaga were relatively unknown Two unique versions of The Tower of Druaga were also hidden in this volume one called Another Tower and the other called Darkness Tower Both are harder than the original and require different methods to beat the game,[33],Missing,Missing
834796800,20406,International Track & Field,"[7, 9, 34]",No true sportsman can resist a challenge Assembled here are 11 muscle cramping events guaranteed to bring out the athlete and the sweat in you International Track  Field offers all the thrills of the original arcade smash coupled with the latest 32 bit sound and graphics Nothing else comes close,[14],Missing,Missing
835315200,9500,King's Field III,"[7, 9]",Kings Field III is a medievalthemed firstperson role playing video game produced by From Software for the PlayStation in 1996 It is the third entry in the Kings Field series and the last one for the original PlayStation The English language version was renumbered and retitled Kings Field II due to the fact that the original Kings Field was only released in Japan,[12],Missing,63.760000000000005
835488000,7728,Sonic the Fighters,"[8, 9, 12, 21, 49, 52]",Sonic The Fighters is an arcade fighting game in the Sonic the Hedgehog series The game was ported to Sonic Gems Collection for the Nintendo GameCube and PlayStation 2 under its original title in all versions A digital highdefinition port of Sonic the Fighters was also released for the Xbox 360 and PlayStation 3 on November 2012 As of April 2016 the Xbox 360 version of Sonic the Fighters is compatible with Xbox One,[4],Missing,45.98122690388489
