first_release_date,genres,id,name,platforms,summary,storyline,rating
1032393600,[10],242427,NASCAR Thunder 2003,[7],Missing,Missing,Missing
1032393600,[14],220997,J.League Winning Eleven 6,[8],JLeague Winning Eleven is a Japanexclusive soccer simulation video game,Missing,Missing
1031184000,Missing,209960,Pinobee,[7],Missing,Missing,Missing
1031184000,[14],203126,Simple 1500 Series Vol. 98: The Futsal,[7],The Futsal is a futsal game in which the player can select between 8 different teams to compete and try to beat them The game features also a 2 players vs mode,Missing,Missing
1031184000,"[5, 33]",200996,Ikaruga,"[6, 12, 21, 23, 34, 48, 52, 130]",In this vertical scrolling spaceship shooter you control a ship that can change its polarity at will As bluewhite the ship can easily destroy redblack enemies and visa versa Bullets of your polarity can be collected to fuel your missile gauge but those opposite will kill you Destroying an enemy ship will make them drop points for you to pick up but they are polarized too Different difficulties exist to change exactly how you interact with polarized points or how they appear  Ikaruga is a ballshard shmup with lots of difficulty even at the easiest level and lots of replay value for those willing to face the challenge,Missing,Missing
1032998400,Missing,167121,Tenshi Na Konamaiki,[7],Missing,Missing,Missing
1031616000,[10],142566,Speed Machines,[7],Speed Machines is another compilation released by Midas Interactive in the year 2002 that features the engines of 3 games GP Challenge Kart Challenge  Sports Superbikes released also by Midas    The 3 games bikes kart  GP features 3 different difficulty levels Novice Amateur  Professional and 4 different lap numbers 3 5 10  100 km    The Bikes game got 4 different circuits Milan Turin Melbourne  Lancaster  The Kart game got 4 different circuits Camberton Oslo Nevada  Ripon  The GP game got 4 different circuits Moscow Douglas Pomos  Pano Platres,Missing,Missing
1032825600,[24],139343,The Document of Metal Gear Solid 2,[8],The Document of Metal Gear Solid 2 gives a behindthescenes look at Metal Gear Solid 2 Sons of Liberty Youll receive a thorough education on all aspects of Sons of Liberty including original concept plans rare video footage and trailers and even programming secrets Also included are playable VR training missions from Metal Gear Solid 2 Substance With indepth footage and insider information The Document of Metal Gear Solid 2 is a complete resource guide for Metal Gear Solid fans,Missing,Missing
1031788800,[33],97181,Ultimate Mind Games,[8],Ultimate Mind Games is a collection of mini games that can either be played in story mode or individually,Missing,Missing
1033084800,Missing,94024,Beatmania IIDX 8th style,"[8, 52]",Missing,Missing,Missing
1031788800,[14],92667,Tennis Court Smash,[8],Tennis Court Smash is a simulation game that puts the player in the role of tennis player who competes in Tour Exhibition or Training modes,Missing,Missing
1032998400,[34],84324,Kimi ga Nozomu Eien,"[8, 23]",Missing,Missing,Missing
