first_release_date,genres,id,name,platforms,storyline,summary,rating
813542400,[35],257855,The Oni Taiji: Mezase! Nidaime Momotarou,[7],Based on the traditional tale of Momotaro,The Oni Taiji Mezase Nidaime Momotarou is a PS1 game developed by Prism Inc and published by Nippon Ichi Software which was released in Japan in 1995,Missing
814752000,"[12, 15]",242847,Sengoku Cyber: Fujimaru Jigoku-hen,[7],The story is about the ninja Fujimaru that got a group of ninjas and have to complete different missions to gain money for their clan with that money they can buy new weapons and items or different thing to improve their habilities Between missions the player can train his ninjas doing different kind of trainings like farming weapons climbing magic etc,Sengoku Cyber  Fujimaru Jigokuhen is a tactical strategy roleplaying game that follows the ninja Fujimaru and his ninja clan,Missing
813542400,"[13, 34]",50129,Tokimeki Memorial: Forever With You,"[6, 7, 9, 32, 38]",Missing,Tokimeki Memorial is a dating sim by Konami and the first game in the Tokimeki Memorial series The first game in the series is particularly notable for its bomb feature where neglected infrequentlydated girls would eventually become angry and gossip to their friends severely reducing love meters across the board In the middle of the game when the number of known girls was high these bombs became the primary concern of the player forcing careful planning and strategies like roundrobin dating,Missing
814924800,[8],44800,Hermie Hopperhead: Scrap Panic,[7],Missing,Hermie Hopperhead Scrap Panic is an Action game developed by Yukes and published by SCEI which was released in Japan in 1995,Missing
814147200,[4],39573,Power Instinct 2: A Slightly Stronger Legend,[7],Oume Goketsuji Leader of the Goketsuji clan for the last 60 years finally was defeated by her younger sister Otane the day where she surpassed her older sister finally had arrived  One night Oshima Goketsuji unexpectedly appeared in front of Oume and offered her help to take revenge of Otane  According to the rules of the clan if the leader dies or quits one new tournament should be held immediately to find a successor  That same night Oshima and Oume sent their servants to dispose of Otane so while Otane slept she was kidnapped and thrown to the ocean  Next day Kuroko found a letter supposedly written by Otane where she declined to her right to be the leader of the clan  One week later all the competitors from the previous tournament and other family members were convoked to be informed about Otanes decision and the beginning of a new tournament,The PlayStation port of the game released exclusively in Japan This version of the game was used as a connection to Gogetsuji Legends an Arcade game released months earlier in Japan It added the Tag Battle mode from Legends along with new unlockable characters and transformations only available in the VS and Tag Battle modes Unfortunately this version suffers from major slowdownsfreezes when characters transform,Missing
813888000,"[9, 15]",22600,Endorfun,"[6, 7, 14, 58]",Missing,Players control a cube that collects colored tiles that correspond to the color of the top face of the cube,Missing
815011200,"[13, 14]",20642,VR Soccer,"[3, 6, 7, 13, 14, 32]",Missing,VR Soccer sometimes referred to as VR Soccor 96 and known as Actua Soccer in Japan and Europe is a sports video game developed and published by Gremlin Interactive for MSDOS PlayStation Sega Saturn  This was the first sports video game to include a full 3D graphics engine For the animations of the players 3 players of the club Sheffield Wednesday served as motion capture models  Actua Soccer contains only 44 national teams each containing 22 players However in 1996 a new version containing clubs was released Actua Soccer Club Edition It contained 20 Premier League teams from the 19961997 season It became a best seller in Europe mainly in the United Kingdom,Missing
814579200,[5],20301,The Raiden Project,[7],Missing,The Raiden Project features two vertically scrolling arcade shooters on one disc Raiden and Raiden II Raiden takes place in 2090 a time when Earth is under attack by hordes of alien exobiological beings a race of technologically advanced creatures from a distant galaxy To combat this threat the worlds top scientists engineers and otherwise brilliant people have replicated a super highaltitude fighterbomber from the remains of a downed alien vessel This new ship is called Raiden aka Lightning Thunderbolt and you are its pilot,Missing
814147200,"[9, 13, 15]",13475,Chain Reaction,"[5, 7, 9, 32, 38, 52, 58, 306]",There are 24 characters all but the Black Pierrot being named after a tarot card although the Strength card has been represented by two characters throughout the series Different characters have different attack patterns The columns of the opponents stack will descend at different rates relative to each other depending on the character chosen This causes a disjunction of colors that may make it more difficult for the other player to clear their stack For example with the character Devil all the columns will descend at the same rate whereas with Sun the middle columns will descend faster than the others,The arcade game Magical Drop received an updated version named Magical Drop Plus 1 that features aesthetic improvements and also introduces a Solo Play mode Magical Drop Plus 1 was released in North America and Europe as Chain Reaction in this version the puzzle pieces are changed from spherical Drops to various items such as food or celestial bodies and the characterunique voice acting is replaced by a single male narrator  All versions of the original arcade game were developed for Data Easts MLC arcade hardware  The game includes two game modes the oneplayer scorebased Solo Play where additional lines of tiles regularly drop from the top of the screen and twoplayer competitive Battle Mode where the second player can be human or CPU opponents Similar to Tetris Attack players can make chain reactions by quickly creating nearsimultaneous matches to either boost their score in Solo Play or fill up more of their opponents playfield in Battle Mode  Magical Drop was ported to the Super Famicom which includes a puzzle mode that challenges players to solve preset puzzles given a limited number of possible moves The game was reimagined for the Sony PlayStation and Sega Saturn with different prerendered characters The Sega Saturn port was going to be released in America by Koei and appeared at E3 1997 however the American release was cancelled Finally a port of the game is part of Magical Drop III  Wonderful this includes the PAL version of III  Wonderful which retains the Magical Drop Plus 1 name as opposed to using Chain Reaction,Missing
812678400,[14],4285,PGA Tour 96,"[6, 7, 13, 19, 29, 50]",Missing,This game takes place during the 1995 PGA Tour season The game features many professional golfing stars and various modes from stroke play to match play and even tournament mode Golf clubs are assigned automatically by the caddy as the computer deems suitable for every lie and every situation,Missing
