,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,[34],275312,Yami no Koe,[6],A group of six peopletwo teachers two male and two female studentsrents a yacht only to find a stowaway a girl named Tachikawa Nanami Shortly after violent seas wreck their ship and force them ashore an island What are the intentions of the beautiful woman named Sayoko and her maid K who offer them shelter in her mansion until the ferry arrives in 30 days What are Nanamis intentions Time is running out,Missing,Missing,,,,,,
1,[5],271498,Perception,[6],Medium sized Egyptstyle temple in a canyon,Missing,Missing,3.56,5.02,7.49,68.0,25.0,42.0
2,[34],271418,Railway: Koko ni Aru Yume,[6],A small port town with mountains on the back and the sea in the front Main character returns to this town for the first time in 8 years after leaving it because of parents divorce Now grandmother invites him to help with the coffee shop Railway that got its name due to being set up at an abandoned train locomotive on the outskirts of the town Meeting old friends recovering old memories its a place where dreams come true,Missing,Missing,,,,,,
3,[5],268636,Candy choppers,[6],The first released Heretic level for Paul Corfiatis replaces E2M1 and is very small,Missing,Missing,,,,,,
4,"[5, 33]",266189,3D Game Pack,[6],3D Games Pack contains this three games from Megaware   3D Blockout  Target Earth  Gunpad,Missing,Missing,,,,,,
5,"[12, 25, 31]",237623,Little Shaker: Summer Adventures,[6],A young boy named Cliff spends his dull vacation at home in Ritztown a village on the outskirts of Clank City One day though the family receives a mailorder package that would change his life Using this new magical shaker and recipe book to synthesize items with various powers Cliff concocts a medicine that turns the lonely village elders pet pig into the speaking bipedal Piggy This gives Cliff the courage to continue helping his neighbors and exploring the wider world It was the most exciting vacation hed ever have  Little Shaker is a 2001 Windows actionRPG where you play as Cliff adventuring around Ritztown Clank City and various locales as his summer goes from boring to bombastic You collect ingredients and key items to create new ones using the titular tool then use them to solve puzzles and complete quests The game has you exploring a world of Americana from grassy overworlds to many dungeons like the Ritztown cemetery Talking to NPCs not only advances your connections with them but will increase your total health as you earn friendship points,A young boy named Cliff spends his dull vacation at home in Ritztown a village on the outskirts of Clank City One day though the family receives a mailorder package that would change his life Using this new magical shaker and recipe book to synthesize items with various powers Cliff concocts a medicine that turns the lonely village elders pet pig into the speaking bipedal Piggy This gives Cliff the courage to continue helping his neighbors and exploring the wider world It was the most exciting vacation hed ever have,Missing,,,,,,
6,Missing,221908,Half-Life: Timeline II - Iced Earth,"[6, 14]",Missing,Missing,Missing,,,,,,
7,Missing,210298,Sonic Collector's Edition,[6],Sonic Collectors Edition by Matrix Interactive is a 2001 Chinese compilation of all Sonic the Hedgehog PC games at the time except for Sonics Schoolhouse  This compilation was released as a celebration of Sonic The Hedgehogs 10th anniversary on June 23rd 2001,Missing,Missing,,,,,,
8,"[12, 34]",204398,Ouji-sama Lv1,"[6, 7]",Oujisama Lv1 is an RPG game made by Alice Blue a subsidiary of Alice Soft This was their second released project This game is one of the few Alice Soft non18 related games though the addition disc adds yaoi to the game,The protagonist is Canaan the second prince of Luukius kingdom a small country He didnt have a special training so he has the strength of any average boy One day an adventurers guild is formed They want to break the seal of a labyrinth that was closed a long time ago Then Canaan and his servant Celest join the adventure,Missing,,,,,,
9,[5],154226,Soldier of Fortune: Platinum Edition,[6],Now updated with a wealth of new multiplayer features Soldier of Fortune Platinum Edition combines all the explosive firstperson shooter action of the original and Gold Editions then adds five new multiplayer modes the BradyGames strategy guide disc and a preview of the muchanticipated Soldier of Fortune II Double Helix,Missing,Missing,,,,,,
10,"[12, 25]",145569,Yulhyul Kangho,[6],Yulhyul Kangho is based on a Korean wuxia manhwa by Jeon Geukjin and Yang Jaehyeon In the game the young hero Han Bigwang is attacked by assassins in his home and embarks on a journey to find who is responsible for the attack On his way he meets the young female martial artists Dam Hwarin who accompanies him The game is a series of battles with 3D characters on prerendered backgrounds which are fought beatemup style in real time with long comic book style conversations in between With subsequent victories the protagonist grows stronger and learns new fighting moves from his opponents,Missing,Missing,,,,,,
11,"[31, 34]",142294,Flower,[6],Missing,Missing,Missing,1.99,2.58,5.12,74.0,643.0,638.0
12,[5],140318,Poke646,[6],Thirteen months after the Black Mesa incident the research facility has been shut down The nation never got to know anything about the experiments there and the governement created a organisation specificly to handle Alien Related Topics The name of that organisation is Poke646  Unfortunately aliens are invading Nation City with portals and Damien Reeves is the only Poke646 member who didnt evacuate due to an accident Guided by a man named Dr Sebastian Fuller through Poke646s radio transmitter he must turn on 4 generators in the city to stop the portals from coming,Its 13 months after the incidents at Black Mesa The Black Mesa Research Facility has been shut down The nation never got to know anything about the experiments there The less you know the less you worry The government founded a new organisation to handle alien related topics They hired the best scientists technicians and military forces worldwide its name is Poke646  Some days ago the Poke646 scientists spotted alarming signals from the Xen homeworld It looks as if the aliens plan to invade Nation City by opening a massive amount of portals But the Poke646 Tech Labs are already prepared some months ago the technicians developed a huge generator which is able to close hundreds of portals at once with a bundled energy beam Four generators are about to be installed at the edges of Nation City With all four activated they will form a giant beam and hopefully destroy the alien portal technology forever  You play the role of Damien Reeves the technical assistant of Dr Fuller and you dont know all these details All youre currently worrying about is where the hell you lost your car keys when suddenly something hits your head and you slowly fade into unconciousness When you wake up hours later you quickly realize that some very strange things are going on,Missing,2.73,0.0,3.98,70.0,1.0,5.0
13,[33],138007,Pearl Harbor: Strike at Dawn,[6],Pearl Harbor Strike at Dawn is a arcade flying game Fly one of nine American aircraft in various theaters of war in the Pacific including Pearl Harbor,Missing,Missing,,,,,,
14,"[9, 31]",129149,JumpStart Explorers,"[6, 14]",JumpStart Explorers is a personal 3D computer game released by Knowledge Adventure in 2001 It focuses on history concepts for ages 58,Missing,Missing,,,,,,
15,[34],127795,Chain: The Lost Footprints,[6],Takeshi Shinonome is a private detective One day he meets a girl named Ayumu out in the rain Ayumus sister Marie and Takeshi went to the same high school She asks him to investigate rumors concerning her husband Takeshi finds evidence that her husband is having an affair with Ako Sonomura Later Ayumus father asks Takeshi to investigate her private life He is a well known politician and is afraid of having a scandal during the upcoming general election  Soon after Takeshi starts investigating Ayumu is confronted with an extremely dangerous situation Is her fathers enemy behind this As Takeshi tries to find out who is putting Ayumu in danger he discovers a new drug is behind the entire problem Murders become rampant The new drug is constantly tied to the murders but there is not enough evidence to prove it Will the beautiful girls he becomes involved with help him solve the mystery,Takeshi Shinonome is a private detective One day he meets a girl named Ayumu out in the rain Ayumus sister Marie and Takeshi went to the same high school She asks him to investigate rumors concerning her husband Takeshi finds evidence that her husband is having an affair with Ako Sonomura Later Ayumus father asks Takeshi to investigate her private life He is a well known politician and is afraid of having a scandal during the upcoming general election  Soon after Takeshi starts investigating Ayumu is confronted with an extremely dangerous situation Is her fathers enemy behind this As Takeshi tries to find out who is putting Ayumu in danger he discovers a new drug is behind the entire problem Murders become rampant The new drug is constantly tied to the murders but there is not enough evidence to prove it Will the beautiful girls he becomes involved with help him solve the mystery,Missing,,,,,,
16,"[12, 31]",124501,Ys I Complete,[6],Ys I Complete contain an updated version of Ys Eternal Most of the content remains identical There is a new animated intro and an additional Nightmare difficulty level,Missing,Missing,6.55,7.51,11.54,69.0,228.0,356.0
17,[12],120615,Heath: The Unchosen Path,[6],Heath The Unchosen Path is a turnbased RPG The main character is Heath who received powers from the gods and the game is set in GoldenLand with about 35 different locations During the adventure he discovers his true destiny and his actions determine how the story will end,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
18,[33],94496,Torrente,[6],A game based on the spanish feature film Torrente El Brazo Tonto de la Ley Torrente The Dumb Arm of the Law The game follows the adventures of officer Torrente a fascist sexist racist dishonest drunk and dirty loser that gets caught between drug cartels and all sorts of homicidal maniacs,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
19,[34],92791,Private Nurse,"[6, 8]",mother is distant Even with all of this he thinks of himself as a pretty normal guy except that hes completely dependent on his childhood friend Ayano who enjoys taking care of him while his mother is away  One day Hirokis mom calls and tells him Im hiring a private nurse for you but Hiroki strongly objects He doesnt even know what a private nurse is but he knows he doesnt want one  until shes standing in his doorway dressed in a sexy nurse uniform  Hi Im Maria Im your new private nurse She promises to cure Hiroki of his disease within a month While unbelievable he tentatively accepts and the treatment begins Her methods are very hands on and Ayano watches with mixed feelings as Maria treats him As his treatment intensifies so do feelings of love and jealousy What kind of treatment will Maria use to finally cure Hiroki and will Ayano just quietly watch and do nothing,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
