first_release_date,genres,id,name,platforms,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1063843200,[31],85950,Dinosaur Hunting,[11],On the highlands of Guiana in the Amazon interior lives dinosaurs The largest rescue operation in human history is about to commence But the Guiana highlands are showing signs of volcanic activity The dinosaurs that have defied fate and survived until now are suddenly facing extinction They must be transported to a new location at all costs,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1064016000,[14],47306,AFL Live 2004,[11],AFL Live 2004 is a Sports game developed by IR Gurus and published by Acclaim which was released in Australia in 2003,Missing,64.13,0.0,0.0,50.0,2.0,1.0
1062892800,"[13, 14]",23698,Tennis Masters Series 2003,[11],Are you ready to take on the worlds best players in the Tennis Masters Series Master the individual skills and styles of one of 67 different players and then compete in multiplayer singles or doubles matches or singleplayer tournaments The game reproduces nine Masters Series tournaments from locations including Miami Rome and Paris With your four different shotspower top spin slice flat and lobyou can create up to 60 different moves to use during matches,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1064275200,[14],8997,NBA Jam,"[8, 11, 21]",3on3 arcadestyle basketball with over 50 of the NBAs all time greatest players Enter a Legends Tournament and travel back in time as you work your way up through the ranks in headtohead battle with the best from each era Each time you defeat a team their players are available for you to use in creating your ultimate dream team And for some real highflying action build up your Jam Meter and hit the lights with the over 40 unique Monster Dunks  This game feautres tons of unlockables teams courts and cheats as well as commentary by Tim Kitzrow and Bootsy Collins,Missing,12.27,16.82,18.92,79.0,61.0,27.0
1062547200,"[13, 14]",8847,ESPN NFL Football,"[8, 11]",An American football game released in August 1994 for the Atari Jaguar SNES and Genesis Part of the shortlived Tradewest Sports brand,Missing,30.0,0.0,0.0,50.0,2.0,1.0
1063065600,[14],8841,ESPN NHL Hockey,"[8, 11]",ESPN NHL Hockey is more than just the game of hockey It is true grit true skills true intensity and your ability to bring those elements to each and every matchup you face It is taking on anyone anytime anywhere It is feeling the impact of a precision hit and splitting the D with a skilled skater It is the battle for the puck and the glory of burying it in the back of the net It is achieving milestones and setting the standard for others to follow It is everything youd want in a hockey game and nothing youd expect ESPN NHL Hockey  true to the NHL,Missing,0.0,0.0,0.0,60.0,1.0,0.0
1063584000,"[4, 14]",6249,WWE Raw 2,[11],WWE Raw 2 Ruthless Aggression known as simply WWE Raw 2 is the sequel to WWF Raw It features enhanced graphics and gameplay a story mode and more than 60 WWE superstars WWE Raw 2 showcases its new features in eight arenas that come to life with 3D crowds and special effects The enhanced gameplay controls provide better grappling more balanced momentum shifts and a realistic AI Now you can play in different modes including multiplayer season mode Exhibition Season King of The Ring Royal Rumble expanded Title Match and CreateASuperstar The game also includes Hell in a Cell and TLC match types,Missing,14.53,0.0,82.0,70.0,4.0,5.0
1064275200,[8],5466,Voodoo Vince,[11],No Pain No Gain  Vince was just a voodoo doll in a French Quarter shop but when his maker was kidnapped he became a vengeful doll on a mission Using voodoo powers Vince must kick his own butt to beat his enemies If he stand under a falling safe bad guys get flattened Stick a pitch fork in him and his enemies are done,Missing,7.93,10.16,10.99,73.0,34.0,49.0
1063670400,"[5, 31]",153,Star Wars: Jedi Knight - Jedi Academy,"[6, 11, 14, 48, 130]",Star Wars Jedi Knight Jedi Academy of the highly acclaimed Jedi Knight series allows players to take on the role of a new student eager to learn the ways of the Force from Jedi Master Luke Skywalker Interact with famous Star Wars characters in many classic Star Wars locations as you face the ultimate choice fight for good and freedom on the light side or follow the path of power and evil to the dark side,83.86876244317807,nan,nan,nan,nan,nan,nan
1064188800,[14],905,Tiger Woods PGA Tour 2004,"[6, 8, 11, 21]",While professional golfer Tiger Woods has no equal on the PGA Tour you now have the chance to build a golfer thats even better Take your custom golfer through the trials and tribulations of all the courses in Tiger Woods PGA Tour 2004 earning cash to spend on new digs and advanced equipment Use the analog stick to shape any shot type such as the flop or punch Go headtohead against the computer a friend or an online player with PS2s network adapter With all the top competition on some of the most famous fairways and greens ever this is the one of the most complete golf experiences yet,79.88297557409635,25.0,27.0,30.0,86.0,8.0,3.0
1062547200,[14],3883,Disney's Extreme Skate Adventure,"[8, 11, 21]",Disney characters step out of the movies and onto skateboards in Disneys Extreme Skate Adventure You can play as your favorite Disney and Pixar characters such as Buzz Lightyear and Woody from Toy Story 2 Simba and Rafiki from The Lion King and Young Tarzan and Terk from Tarzan Now you can skate pull off tricks and solve puzzles in all the exciting places youve seen in the movies including Pride Rock the Jungle Treehouse and Pizza Planet,78.70015496221187,6.76,25.0,33.5,72.0,24.0,11.0
1064534400,"[5, 13, 24]",719,Freedom Fighters,"[6, 8, 11, 21]",Freedom Fighters is a thirdperson shooter in which the player navigates through the streets of New York while fighting the Soviet forces The game also contains squadbased elements having a charisma meter The player gains charisma by performing heroic deeds in the resistance movement against the invading forces like capturing a base or destroying vital supplies The more charisma that is gained the more squadmates the character can recruit including leaderless guerrillas and wounded Russian soldiers up to a maximum of twelve  Freedom Fighters uses a simple method of controlling recruits in battle In the game the player can command recruits by giving them simple orders such as follow attack and defend but in most situations they take care of themselves Given the terrain of New York City after the initial invasion the Resistance usually stations its soldiers in covered positions like craters and buildings,78.3486210281344,7.84,9.12,11.95,78.0,105.0,109.0
1063929600,"[10, 13, 14]",641,Colin McRae Rally 04,"[6, 8, 11]",There are 4 classes of cars 4WD 2WD Group B and Bonus The bonus class are cars that are not usually raced in rallies  This fourth incarnation of the Colin McRae Rally series unlike in the previous three games has no official WRC team license All of the cars liveries are either fictitious or taken from championships other than the WRC  Nicky Grist is replaced by Derek Ringer as the codriver voice in the game There are six championships to complete in the game,77.54781423923541,4.93,5.45,12.95,75.0,15.0,16.0
1064188800,"[13, 14]",816,NHL 2004,"[6, 8, 11, 21]",NHL 2004 developed by the EA Black Box studios is an ice hockey video game It is the successor to NHL 2003 and is widely considered to be a major turning point in the NHL series The game adds 3 European Elite Leagues Germanys Deutsche Eishockey Liga DEL Swedens Elitserien SEL and Finlands SMliiga This is not the first time that European teams are included in an EA game EA released both Elitserien 95 and Elitserien 96 for the Mega Drive in Sweden only and Elitserien and SMliiga 2001 as an expansion pack for PC in Sweden and Finland which included those teams The ratings of the teams in the Elitserien and SMliiga were comparable to the NHL rosters however future installments had the league teams inferior to the NHL,77.43292624206748,0.0,0.0,0.0,79.0,10.0,0.0
