,genres,id,name,platforms,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,[5],260019,Doom,[12],The Ultimate Doom named simply Doom on the service was released as a download for the Xbox 360 on the Xbox Live Arcade service on September 27 2006 In September 2010 the game was delisted from the service catalogue however it was subsequently put back on the marketplace,Missing,11.69,16.44,26.91,84.0,3932.0,5685.0
1,[14],257118,NBA 2K7,"[8, 9, 11]",Missing,Missing,8.06,10.0,0.0,65.0,9.0,4.0
2,"[13, 14]",248770,NBA Live 07,"[8, 11]",Missing,Missing,5.0,0.0,0.0,58.0,10.0,1.0
3,Missing,248529,LEGO Star Wars II: The Original Trilogy,"[8, 11, 21]",LEGO Star Wars II The Original Trilogy takes the fun and endless customization of LEGO and combines it with the epic story characters and action from the original Star Wars movies that revolutionized pop culture forever Episode IV A New Hope Episode V The Empire Strikes Back and Episode VI Return of the Jedi With a unique tongueincheek take on the Original Trilogy LEGO Star Wars II follows the Rebel Alliances crusade to dismantle the Galactic Empire and rebuild a galaxy in pieces,Missing,10.93,17.9,30.6,74.0,352.0,191.0
4,Missing,248525,Open Season,"[8, 11, 21]",Missing,Missing,3.39,4.25,7.44,55.0,37.0,31.0
5,[10],43384,Ford Bold Moves Street Racing,"[6, 8, 11, 38]",This entry in the Ford Racing series sees the racing move onto the streets of Los Angeles with a unique team racing experience included that puts the player in control of their own Ford Racing threecar team allowing them to race and also issue commands to team mates to gain tactical and positional advantage The game showcases 18 fully licensed Ford super cars from the 1970 Mk1 Capri RS1600 through the Ford GT to the 2007 Shelby GT 500,Missing,,,,,,
6,"[8, 9]",28961,Exit 2,"[12, 38]",Exit 2 is the sequel to the PlayStation Portable game Exit The developers promised more focus on puzzles rather than action and platforming It was released in Japan and Korea in 2006 and in Europe and Australia in 2007,Missing,0.0,0.0,0.0,60.0,1.0,0.0
7,"[14, 16, 35]",21954,World Championship Poker: Featuring Howard Lederer - All In,"[5, 6, 8, 12, 38]",World Championship Poker Featuring Howard Lederer All In features some of the most recognizable and successful poker stars in the world including Howard Lederer his sister Annie Duke Greg Raymer Amir Vahidi Paul Darden and Robert Williamson III Joining the roster for this years edition are noted international poker superstars Marcel Luske Thomas Bihl and Erin Ness who parlayed a victory at a Maxim Magazine office tournament into a seat at the 2004 World Series of Poker 18 types of poker are featured including Texas Holdem Five Card Draw Seven Card Stud Omaha and more MultiTable Online Tournaments Scenario Mode Players are presented with a series of poker puzzle challenges that gradually increase in difficulty Lucky Charms Players can improve their luck through this Career Mode skill Mixed Games Play two or more variations of poker during a single game with the game changing every time the dealer button makes it around the table,Missing,0.0,0.0,0.0,0.0,0.0,0.0
8,"[13, 14]",20561,LMA Manager 2007,"[6, 8, 12]",LMA Manager 2007 is a soccer management game in the LMA Manager series Like its predecessors the game allows players to manage a soccer team Included are teams from over 50 different countries and leagues from 8 of those countries Available are over a 1000 different officially licensed teams The game features an improved database engine and a transfer system with more depth than its predecessors  All matches can be watched in full 3D The AI plays the matches out but it is still possible to make adjustments to player positions and the like It is also possible to see the results of matches and all kinds of player and team statistics in the ingame magazine FootballOne,Missing,0.0,0.0,24.0,0.0,0.0,1.0
9,[33],7257,Xbox Live Arcade Unplugged: Volume 1,[12],Xbox Live Arcade Unplugged Vol 1 is a retail package of six Xbox Live Arcade games and three demos  The disc works by inserting it into the system just like any other game However rather than directly launching any of the titles it brings you to the game menu in the Xbox home where you see extra games that are playable,Missing,,,,,,
10,"[5, 13, 14, 31]",6932,Cabela's Alaskan Adventures,"[6, 8, 12]",Cabelas Alaskan Adventures is the ultimate hunting and fishing adventure to North Americas last frontier Experience all that Alaska has to offer as you go on 38 hunting and fishing adventures across vast tundra For the first time in one game you will be able to hunt trophy animals fish bird hunt dog sled through the Alaskan Artic and compete in various outdoorthemed contests It will take every ounce of skill and strategy to hunt or catch that recordbreaking trophy Its as truetolife as it gets Go exploring or get to your next hunting spot in a snowmobile truck or ATV All new shooting features and controls including Hunters Sense Gun Sway and Drop Dot Incredibly realistic terrain including vast tundra dense forests river deltas rocky slopes and more,Missing,0.0,0.0,0.0,40.0,1.0,0.0
