,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,[14],257114,NBA 2K6,[12],Missing,Missing,Missing,1.0,0.0,1.11,54.0,14.0,9.0
1,[14],242987,NBA Live 06,[12],Missing,Missing,Missing,26.0,80.0,0.0,61.0,16.0,6.0
2,"[10, 13, 14]",47339,Breeders' Cup World Thoroughbred Championships,"[8, 11]",Experience the most realistic horse racing simulation ever created and the only game officially licensed by the NTRA with Breeders Cup World Thoroughbred Championships With thousands of horses ability to race your own Thoroughbred play the ponies and even build your own stable Breeders Cup is the horse racing game with something for everyone,Missing,Missing,0.0,0.0,0.0,40.0,2.0,0.0
3,[5],22310,Conspiracy: Weapons of Mass Destruction,"[6, 8, 11]",Conspiracy Weapons of Mass Destruction is propelled by the powerful FireWarrior engine as in firstperson shooter action across five sprawling levels gameplay spans from secret bases in Aztec ruins to military training camps in the Arctic Circle Players assume the squarejawed role of Cole Justice an ex government secret service agent trained mercenary and allround tough guy recruited by the agency for one final assignment According to intelligence reports a rogue government agency known as Hydra has been developing weapons of mass destruction to sell to worldwide terrorist organisations The government no longer has control over this rogue agency and it has quickly become an embarrassment in need of urgent elimination,Missing,Missing,0.0,0.0,1.0,25.0,2.0,1.0
4,"[9, 10]",21810,GripShift,"[9, 12, 38]",Speed your way through insane levels in this nitrous fueled star collecting driving action game,Missing,Missing,0.0,0.0,0.0,52.0,5.0,0.0
5,"[14, 15, 31, 33]",6192,Tecmo Classic Arcade,[11],Tecmo Classic Arcade is a collection of eleven classic Tecmo games,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
6,"[5, 13]",5861,Heroes of the Pacific,"[6, 8, 11]",Heroes of the Pacific is an aerial combat simulator game set in the Pacific Theater of Operations during World War II,Missing,Missing,9.0,9.38,12.41,64.0,8.0,5.0
7,"[25, 31]",18735,Ninja Gaiden Black,[11],In Ninja Gaiden Black you can reprise the role of Ryu Hayabusa ninja extraordinaire This sequel to Ninja Gaiden supplies a new story and new missions plus two more difficulty settings and cinematic cut scenes that provide background about the protagonist Ninja Gaiden Black also incorporates the additional content from Hurricane Packs 1 and 2 and includes unlockable content such as the original arcade version of Ninja Gaiden,90.9430841775486,In Ninja Gaiden Black you can reprise the role of Ryu Hayabusa ninja extraordinaire This sequel to Ninja Gaiden supplies a new story and new missions plus two more difficulty settings and cinematic cut scenes that provide background about the protagonist Ninja Gaiden Black also incorporates the additional content from Hurricane Packs 1 and 2 and includes unlockable content such as the original arcade version of Ninja Gaiden,16.48,26.22,49.29,88.0,67.0,47.0
8,"[13, 14]",4034,NBA Live 06,"[6, 8, 11, 21]",NBA Live 06 is the first game in the franchise to reach next generation consoles,89.31621292193641,Missing,26.0,80.0,0.0,61.0,16.0,6.0
9,"[11, 15, 25]",5882,Kingdom Under Fire: Heroes,"[6, 11]",Kingdom Under Fire Heroes is an action strategy game where you can command hundreds of soldiers You also have spells golems and catapults at your disposal as you play through more than 50 campaign missions The experience and gold that you earn during each battle can be used to train and equip your troops You can also challenge other gamers online,86.27410551849606,Missing,20.0,21.0,0.0,66.0,5.0,2.0
