first_release_date,id,name,platforms,summary,storyline,genres,rating,main,extra,completionist,review_score,review_count,people_polled
1672704000,233025,Sapu,"[6, 49, 169]",Sapu is a young frog who lives in the frog village located in the frog forest On a beautiful Tuesday afternoon Sapu is awakened by other villagers informing him that his grandfather had been bitten by a poisonous carnivorous plant while catching fireflies for dinner and that he was on the brink of death Sapu despairs but soon has an idea of how to save his grandfather and goes on an adventure in the forest,Missing,"[8, 31, 32]",Missing,nan,nan,nan,nan,nan,nan
1674172800,233016,Demonic Tales Bundle,"[49, 169]",This bundle includes  Demon Hunter New Chapter  9 Clues The Secret of Serpent Creek  The Secret Order Return to the Buried Kingdom,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1674172800,233015,Talisman: Digital Edition - Deluxe Edition,[49],The officially licensed multiplayer version of the classic fantasy adventure board game Talisman On your travels you will need strength courage and some good dice rolls to survive the dangers you face and beat your opponents to the centre of the board,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1674086400,233013,Q.U.B.E. 2: Ultimate Edition,"[167, 169]",Includes ALL downloadable content for QUBE 2 Classic Gloves Lost Orbit Aftermath In QUBE 2 you play as Amelia Cross an archaeologist who has awoken among the ruins of an alien landscape With the distant help of another survivor you must manipulate the structure of this mysterious world and find a way back home As you explore and solve puzzles to progress thoughtprovoking questions about your true purpose and the origins of the structure you are navigating will need to be considered forcing you to come to terms with a devastating truth that will shake your world,Waking up wearing a strange suit with attached gloves you have no prior knowledge on how you came to be in this environment Awaiting you is a mazelike monolith a structure that you must navigate solving mindbending puzzles Use your manipulation gloves to change and adapt the architectural structure in your search to rendezvous with another survivor finding a way off the planet  As you explore and solve puzzles to progress thoughtprovoking questions about your true purpose and the origins of the structure you are navigating will need to be considered forcing you to come to terms with a devastating truth that will shake your world,"[5, 8, 9, 31]",Missing,nan,nan,nan,nan,nan,nan
1674172800,232987,Demon Hunter: New Chapter,"[48, 49, 130, 167, 169]",Twenty years of peace came to an abrupt end when Dawn Harlock the last member of the mysterious order of demon hunters has to once again face Archdemon Ragnar and save the world from evil One day she recieves a call from mysterious doctor Stuart Williams who claims to be her foster fathers long time friend He promises valuable information about Dawns biological parents that might shed some light on her eerie past shrouded in mystery,Missing,"[9, 31]",Missing,nan,nan,nan,nan,nan,nan
1674691200,232443,Hyper Shapes,"[6, 48, 49, 130, 167, 169]",Hyper Shapes is a frenetic minimalist Boss Rush where understanding the enemies attack patterns and weaknesses is key,Missing,"[32, 33]",Missing,nan,nan,nan,nan,nan,nan
1674691200,232424,"Marvel's Midnight Suns: The Good, The Bad, and The Undead","[6, 48, 49, 167, 169]",Deadpool everyones favorite merc with a mouth teams up with the Midnight Suns to tear evil a new one Add Deadpool to your roster and take on a fresh set of story missions featuring undead enemies and plenty of fourthwallshattering asides,Missing,"[12, 15, 24]",Missing,nan,nan,nan,nan,nan,nan
1674259200,231580,Demolish & Build Classic,"[49, 130]",Buy machines and discover new possibilities by modifying their equipment Use specialized hand tools for finishing work,Missing,"[13, 15, 33]",Missing,nan,nan,nan,nan,nan,nan
1673568000,231364,Train Sim World 3: Birmingham Standard Edition,"[49, 169]",Master the West Midlands with Train Sim World 3,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1673568000,231363,One Piece Odyssey: Deluxe Edition,[169],A brand new RPG set in the world of the popular anime ONE PIECE Play as members of the Straw Hat Crew in a fantastic adventure set in the ONE PIECE world  The Deluxe Edition includes the Main Game the Adventure Expansion Pack and the Deluxe Edition Bonus Sniper King Outfit Set,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1673568000,231362,Broken Universe + Brawl Chess,[49],Roco is just an everyday racoon Hes just given his sweetheart a pretty necklace which caused the ENTIRE universe to explode Shes nowhere to be found and hes the only one who can save her Are you ready to become a chess champion Choose your hero and challenge other players in the game of kings,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1673568000,231345,Ballotron Oceans,"[49, 169]",Welcome to the next part of Ballotron You also shoot balls but everything happens underwater Make the Blue Ball hit the Green Ball to achieve the goal This time the level solutions will be even more fun,Missing,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1673568000,231344,It's Kooky + Cyber Protocol,[49],Look for quirks in the new hidden object game  Its Kooky You can also try your puzzle solving skills in Cyber Protocol An arcade puzzle game set in a Cyberpunk world Why pick when you can have them both,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1673568000,231343,Reky + Cyber Protocol,[49],Feast your eyes on crystal clear visuals of reky Interact with your environment and find a way to reach the finishingsquare You can also try your puzzle solving skills in Cyber Protocol An arcade puzzle game set in a Cyberpunk world Why pick when you can have them both,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1674604800,231342,Hunt: Showdown - La Luz Mala,[49],This DLC contains one Legendary Hunter two legendary weapons and one Legendary tool Luz Mala Hunter Del Ojo Vetterli 71 Karabiner Deadeye Raíz Mala Caldwell Conversion Chain Pistol and Premio del Tonto Choke Bomb,Missing,[5],Missing,nan,nan,nan,nan,nan,nan
1673568000,231338,DKO: Divine Knockout - Starter Edition,"[49, 169]",Get started in the worlds only 3rdperson platform fighter  With the Starter Edition youll unlock The full game all maps and modes 4 Gods Amaterasu Sol Hercules and King Arthur 1200 Runes,Missing,[4],Missing,nan,nan,nan,nan,nan,nan
1673308800,231301,Multidimensions and Dreams,[49],In this bundle you will find two experimental games that require an open mind Afterglitch will take you on a journey through multidimensional travel while Rememoried focuses on the magic of dreaming Now they are finally connected,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1674086400,231247,Persona 3 Portable & Persona 4 Golden Bundle,"[6, 48, 49, 130, 169]",From the Midnight Channel to the Dark Hour two iconic Persona titles return,Missing,"[12, 13, 34]",Missing,nan,nan,nan,nan,nan,nan
1672617600,231063,Blacksmith Forger,"[49, 130]",Blacksmith Forger We are a forge We can craft Gold ingots and Iron ingots as well as Weapons and Shields Our customers order weapons and shields You have to catch up with them If they wait too long they get bored,Missing,"[9, 12, 13, 33]",Missing,nan,nan,nan,nan,nan,nan
1674172800,231053,Peachy Boy,"[49, 130, 169]",Peachy Boy This cute looking puzzle game is as hard as it looks cute Can you beat the challenging 30 levels Each level is specially designed You have to collect the key and pass the level but be careful,Missing,"[8, 9, 33]",Missing,nan,nan,nan,nan,nan,nan
1672617600,231036,Gravity Thrust,"[48, 49, 130]",Fly many solomissions or fight against other players in multiplayer and relive the good old arcade times,Missing,"[5, 10, 13, 33]",Missing,nan,nan,nan,nan,nan,nan
1673913600,231032,Mrs.Cat Between Worlds,"[48, 49, 130, 167, 169]",Two otherworldly games featuring the incredible leaping MrsCat,Missing,"[8, 31]",Missing,nan,nan,nan,nan,nan,nan
1673395200,230827,Puzzle by Nikoli W Heyawake,[49],This is a progressive puzzle which you can comfortably enjoy working out using logic Heyawake is a puzzle in which you fill in the spaces according to the rules Its called heyawake split rooms because the face of the board is divided into rooms This puzzle first appeared in 1992 but a plethora of solutions have been developed allowing for a very progressive puzzle Each time you discover a new strategic move your skills of solution will improve,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1672963200,230407,Fluffy Horde + Clumsy Rush,[49],The Fluffy Horde is coming Save your crops from the enemy and try to withstand the rabbit Tsunami Clumsy Rush is a guaranteed dose of a laugh for friends and family Why pick one when you can have them both,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1672963200,230406,Space Raiders in Space + Clumsy Rush,[49],An alien hivemind sets out to destroy humanity Protect your crew from giant bug creatures and assist them on their mission Discover the truth about the alien invasion Clumsy Rush is a guaranteed dose of a laugh for friends and family,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1672704000,230129,Shmups Pack 2x1,[49],Two spaceship games for fans of the genre,Missing,"[5, 31, 33]",Missing,nan,nan,nan,nan,nan,nan
1674691200,228192,MechWarrior 5: Mercenaries - Rise of Rasalhague,"[49, 169]",In a conflict that predates the formation of the Star League Join Colonel Månsdottir and the people of Rasalhague in a fight for freedom and independence from the Great Houses and discover the Crusader Mech in a new 12mission quest line,Missing,"[5, 13]",Missing,nan,nan,nan,nan,nan,nan
1674691200,228020,Startup Company: Console Edition,"[48, 49, 130, 167, 169]",Your companys success depends on your ability to run and manage a website You must develop and improve features while increasing hosting capacity and run marketing campaigns The city offers you offices in all sizes and shapes,Missing,"[13, 15]",Missing,nan,nan,nan,nan,nan,nan
1674777600,227675,Stranger of Paradise: Final Fantasy Origin - Different Future,"[6, 48, 49, 167, 169]",Arise Jack The Lufenians have wrought one more challenge to confront Different Future  the final expansion for Stranger of Paradise Final Fantasy Origin  launches January 27th,Guided by the spirit of a moogle Jack and company reach a city in an alternate time and space to face one last challenge,"[12, 25, 31]",Missing,4.33,8.97,16.2,69.0,7.0,7.0
1673568000,227674,Dragon Ball Z: Kakarot - Bardock: Alone Against Fate,"[6, 48, 49, 130, 167, 169]",Experience the story of Gokus father Bardock who fought alone against his fate in this New Story This is the story of one who stood alone against the scum of the universe Bardock warrior of Saiyan race spent his days invading planets with his fellow soldiers But an incident on Planet Kanassa would bring to his attention a calamity set to befall his home Planet Vegeta,Missing,"[12, 25, 31]",Missing,2.63,4.22,4.89,70.0,6.0,11.0
1674777600,227398,Dead Space: Digital Deluxe Edition,"[6, 167, 169]",The Dead Space Digital Deluxe Edition includes the base game and five exclusive cosmetics three Unique Suits and two Suit Textures Its everything you need to look your best while surviving the horrors aboard the USG Ishimura,Missing,[5],Missing,nan,nan,nan,nan,nan,nan
1674518400,226682,Risen,"[48, 49, 130]",Port of the cult RPG with full gamepad controls and reworked user interface,Faranga needs a new hero  will you heed the call Delve into the gritty and atmospheric world of Risen where every action has a consequence Master the sword learn the art of staff fighting or become a powerful mage forging your path across a land filled with mysterious earthquakes fearsome monsters and unimaginable treasures  The island of Farangas heavy tremors bode ill for its inhabitants Ancient temples have risen from the ground bringing with them bizarre creatures that terrorize the area Fear and panic are spreading throughout the population  A powerful group calling themselves The Inquisitors have made it their quest to put an end to these events They send an expedition to Faranga but a ferocious storm takes hold of the ship and destroys it at sea  Miraculously you survive the shipwreck and are stranded on the volcanic island alone You find yourself caught amidst rebellion tyranny and mystic rituals It is up to you to decide which way the pendulum of fate will swing,"[12, 31]",Missing,27.82,36.73,45.51,76.0,273.0,462.0
1674691200,225319,The Table Game: Deluxe Pack,"[49, 167]",You can play Othello Mahjong Shogi Igo Hanafuda Texas Holdem Chess Backgammon all in this single package,Missing,[15],Missing,nan,nan,nan,nan,nan,nan
1675123200,221329,SpongeBob SquarePants: The Cosmic Shake - BFF Edition,"[6, 48, 49, 130]",Missing,Missing,"[8, 31]",Missing,nan,nan,nan,nan,nan,nan
1673568000,219525,UnderDungeon,"[6, 49, 130, 167, 169]",Embody Kimuto on the first day of his new job in this humorpacked dungeon crawler with surprising secrets to discover,Missing,"[4, 12, 31, 32, 33]",Missing,4.83,5.44,8.0,65.0,4.0,9.0
1673568000,218216,One Piece: Odyssey - Collector's Edition,"[6, 48, 49, 167, 169]",A storm a shipwreck a mysterious island Expect the unexpected on your next adventure with the Straw Hats A new RPG from the hugely popular manga and anime series One Piece commemorating the 25th anniversary of the series  The Collectors Edition includes  Game One Piece Odyssey  Luffy  Lim Figurine 230 x 210 x 210 mm  Steelcase  3 Postcards  Collectors Box  Deluxe Pack  2 Petite Jewelries  Travelling Outpit Sniper King  100000,Missing,"[12, 31]",Missing,nan,nan,nan,nan,nan,nan
1674691200,217553,Story of Seasons: A Wonderful Life,"[6, 130, 167, 169]",Put down roots on your new farm in the peaceful town of Forgotten Valley and tell your own generationspanning tale in Story of Seasons A Wonderful Life Bring life to the land find love among the towns friendly folk and make lasting memories with a family of your very own in this reimagining of a beloved farm sim,Your new life begins in Forgotten Valley a tranquil community where your father and his friend Takakura once dreamed of running a farm As you befriend the valleys residents and fulfill your fathers legacy youll live a carefree life on the farm growing crops and raising animals As the seasons go by youll find your lifelong partner raise a child together and watch them grow up before your very eyes  After each days work on the farm is done you can go fishing hunt for ancient treasures at the local dig site or chat with your friends in town to build precious memories And when the years have passed your child will be old enough to choose a career for themselves Will they inherit the farm Or will they find their calling somewhere else Only time will tell,"[12, 13]",Missing,20.9,0.0,94.13,58.0,8.0,9.0
1673481600,216630,Barista Simulator,"[6, 14, 49, 169]",Barista Simulator lets you experience making a wide variety of coffees just like espresso latte cappuccino or even your special mix of coffees While managing your coffee shop you play as a Barista and make the coffees your customers want Its up to you to choose how to treat your shoppers,Missing,"[13, 32]",Missing,14.56,0.0,0.0,60.0,1.0,1.0
1674518400,215835,Warlander,"[6, 167, 169]",Warlander is an actionpacked thirdperson onlinemultiplayer game with a unique style that mashes a Medievalinspired setting Fantastical items and abilitiesandeven powerful robots  Featuring intense competitive skirmishes and epic castle siege warfare with up to 100 players you must use the almighty powers of godlike Warriors Clerics and Mages as well as siege weapons and cataclysmic spells to control the battlefield  To be victorious you must work as a team defend your Keep and tactically break into the enemys stronghold to destroy their core,You have been identified by the mystical Heralds as having a superhuman consciousness that rivals your socalled peers  This consciousness allows you to create mighty vessels from the wildest depths of your imagination  Taking the shape of godlike Warriors Clerics and Mages you can now harness epic spells and abilities such as fire lightning and ice as well as master siege weapons unleash apocalyptic spells and even pilot powerful robots  Control the battlefield with tactical squad play and dominate your opponents with the ultimate goal of breaking into the enemys stronghold destroying their core and claiming victory for you and your allies,"[5, 24, 25, 36]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
1674086400,215119,Colossal Cave,"[3, 6, 14, 48, 49, 130, 167, 169]",Roberta and Ken Williams who founded and ran Sierra OnLine for nearly 20 years have come back from a long retirement to pay homage to the game that that started it all The Colossal Cave  Developed using Unity over a twoyear period Colossal Cave is a firstperson singleplayer 3D adventure that will delight the millions of Sierra and Colossal Cave fans worldwide,Missing,"[2, 9, 15, 31]",Missing,0.0,3.53,0.0,78.0,2.0,2.0
1674086400,214399,Tortuga: A Pirate's Tale,"[6, 48, 49, 167, 169]",Its time to see if ye truly have what it takes to become the greatest pirate of the Caribbean Set sail on the vast and beautiful Caribbean Sea as players commence their journey with their sights on eternal gold and glory Choose from 18 unique ship types and customize distinct features from the flag and weaponry to the hull and figurehead Its a vast world out there but you are never truly alone and players will encounter historical pirate captains who they must decide is friend or foe Take on trading convoys and settlements in tactical turnbased battles to relieve them of the burden of wealth and then use your stolen riches to upgrade your formidable fleet With a mighty fleet and enough gold you might be able to keep your crew happy But be warned You are an elected captain after all and it is your duty to maintain your crews morale or else mutiny could be on the horizon,Missing,"[12, 13, 15, 16, 24]",Missing,nan,nan,nan,nan,nan,nan
1674000000,211893,Graze Counter GM,"[6, 48, 49, 130, 167, 169]",A refreshing and highly replayable bullet hell style shooter that WANTS you to play dangerously Ride the razors edge of life and death in this highrisk highreward danger oriented arcade style shooting game,It is the 23rd century  EDEN the massive virtual reality network witch helped humankind to flourish suddenly severed all contact with the outside worldLeaving the minds of its 100 million users trapped inside A covert special task force known as Saviours has been called in to address the situation Using special attack programs modeled after fighter jets they plan to delve into the deepest cores of EDEN and find who or what has set it haywire  Theres no telling what they may discover within the troubled space of this human created universe,"[5, 32, 33]",Missing,1.14,0.0,0.0,65.0,2.0,3.0
1675036800,204645,BackfireWall,"[6, 48, 49, 130, 167, 169]",It is a firstperson tragicomic narrative adventure game thats set inside a smartphone You are the update assistant  solve puzzles to counter the update and save the previous operating system from deletion,Hello and welcome to Backfirewall_ a firstperson tragicomic adventure set inside a smartphone You are the update assistant Solve wacky puzzles to counter the update and save the previous operating system from deletion The fate of the System is in your hands,"[9, 31, 32]",Missing,4.6,6.0,8.38,72.0,22.0,26.0
1674691200,204461,Shoulders of Giants,"[6, 49, 169]",Shoulders of Giants is an explosively colourful roguelike where players simultaneously control a mysterious mech and the gunslinging amphibian riding on its back Work alone with a friend or as one member of a fourperson online coop team cutting through waves of enemies on a quest to rescue the galaxy from the forces of Entropy,Shoulders of Giants is an explosively colourful scifi roguelike designed to put your teamwork to the test Players simultaneously control a swordwielding robot and a gunslinging space frog working alone with a friend or as one of a team of four  The forces of Entropy are spreading chaos through the stars corrupting living planets and urging on the heat death of the universe Led by the psychic Owl one scrappy team of space survivors are fighting to restore the balance A mysterious mech A sharpshooting amphibian Together they must mow down waves of enemies and restore light and life to the galaxy,[5],Missing,13.38,0.0,0.0,0.0,0.0,1.0
1673913600,200931,World Championship Boxing Manager 2,"[6, 49, 130]",The boxing world is at your fingertips in this deeply detailed and outrageously entertaining sports management simulation Enlist competitive fighters recruit topnotch staff and ride the hype train all the way to endorsement city Watch your fighter rise to the top or get KOd trying  An official sequel to 1991s highlyapplauded World Championship Boxing Manager this iteration captures the essence of the original and expands upon it Offering updated visuals deeper gameplay and new characters that extend the World Championship Boxing Manager franchise WCBM2 provides fun for grizzled veterans and lightweight fans Go toe to toe with fantasy characters or take the main stage with historical boxing legends including Rocky Marciano Sugar Ray Robinson and more,Define your boxing legacy  Build your fighters from the ground up and lead them to glory Manage their training schedules rest days strength conditioning and cardio sessions to create the best balance for your roster Recruit promising amateurs hire staff gain sponsors and hype your promotions Keep your stable of fighters in top shape and theyll take you to the top but mismanage them and youll both be eating canvas  All in a days work for the best boxing manager in the world  Its more than just the fight  Behind every fighter is a story and its their unique and individual experiences that keep them punching and help them get up one more time Put on the gloves of a scrappy newcomer or relive the unforgettable careers of heavyweight legends World Championship Boxing Manager 2 brings these tales to life with visual novellike depth of detail in Story Mode,"[4, 13, 14, 15, 32]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
1674086400,194850,Rain World: Downpour,"[6, 48, 49, 130, 167, 169]",Rain World Downpour is a DLC expansion of Rain World Take control of five new characters with new abilities in this vast redefined world Slugcats have adapted to the harsh conditions alongside evolved predators Survive new environmental conditions dangers and explore uncharted territory  Return to the unwavering wild in Downpour where you explore new harsh lands and survive new predators As time passed the slugcat has evolved With five variants of the species  take advantage of various skills that they possess and explore their own personal tales,Missing,"[8, 31, 32]",Missing,50.0,60.0,150.0,90.0,1.0,3.0
1675123200,146957,Undisputed,"[6, 48, 49, 167, 169]",Become Undisputed in the most authentic boxing game to date Featuring true to life visuals bonejarring action and more licensed boxers than ever before Undisputed gives you unprecedented control to master every inch of the ring,eSports Boxing Club is a realistic boxing game made from the groundup with the professional boxing community  In ESBC you will rise through the Amateur system going through the professional ranks to win the coveted Lonsdale Belt then going onto Continental and World titles featuring officially licensed governing bodies  Not only will you be levelling up your fighter through winning fights you will also have to hire your own staff  Trainer Cutman Nutritionist and Promotor There are also reallife boxing gyms in ESBC each with their own fight styles and traits  Choose your own path towards a World Title will you go through the ranks and not duck anyone Or choose your fights as riskfree as possible Each decision will have consequences for your career  In the ESBC Tournament  You will have the chance to be crowned the eWBC Champion of the World with the physical belt being sanctioned by the World Boxing Council,"[4, 13, 14, 32]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
1673481600,121730,Breakers Collection,"[6, 48, 49, 130, 167, 169]",Breakers Collection includes two cultclassic Japanese 2D arcade fighting games It also adds brandnew content quality of life improvements and even an online multiplayer mode to mark the triumphant launch of the franchise on modern home consoles,Missing,"[4, 33]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
1673395200,121016,Children of Silentown,"[6, 48, 49, 130, 167, 169]",Children of Silentown is a dark adventure game that tells the story of Lucy a young girl growing up in a village deep into a forest inhabited by monsters People disappearing is nothing uncommon in the village but this time Lucy is old enough to investigate on her own Or so she thinks,Missing,"[2, 9, 31, 32]",Missing,7.3,7.63,11.36,71.0,19.0,25.0
1674691200,119089,OddBallers,"[6, 48, 49, 130, 167, 169]",Fast and frantic multiplayer dodgeball that will put both skills and friendships to the test with hilarious surprises and brutally unfair tactics,Missing,"[13, 14, 31, 32]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
1675123200,110957,Inkulinati,"[6, 49, 169]",Inkulinati is an inkbased strategy straight from medieval manuscripts where a rabbits bum can be deadlier than a dogs sword Become a master of the Living Ink build your own bestiary defeat medieval superstars and collect perks to unleash hidden powers,Missing,"[15, 16, 32]",Missing,7.79,11.88,16.5,70.0,5.0,6.0
1673913600,92486,Re:Call,"[3, 6, 14, 48, 49, 130, 169]",In ReCall memories are malleable and changing them will modify the present Tackle mindbending puzzles that rely on altering your own recollections to shape the future,In RECALL your actions inside flashbacks have immediate consequences in the present moment Tackle mindbending puzzles that rely on altering your own memories to shape the future  Change your memories change the present,"[9, 31, 32, 34]",Missing,nan,nan,nan,nan,nan,nan
1675123200,74653,8-Bit Adventures 2,"[3, 6, 14, 48, 49, 130, 167, 169]",8Bit Adventures 2 is everything you love about NES SNES and PS1era JRPGs  with all of the charm heart and soul but none of the inconvenience Dynamic turnbased battles  pixels with personality,8Bit Adventures 2 is an allnew RPG experience that mixes modern design with retro style  Explore a vast and varied world brought to life by vibrant 8Bit graphics memorable NESaccurate music and people with personality Players can enjoy strategic fastpaced combat that focuses on unique character traits swapping party members managing the turn order and using a variety of unique skills including powerful Omega Bursts  no mandatory grinding required  The antagonist takes the form of a video game glitch Faced with erasure the Glitch lashes out distorting the world and threatening its people Its up to the players party of 7 distinct characters 3 returning 4 brand new to undo these distortions and defeat the Glitch But to do so theyll have to brave dozens of dungeons defeat deadly enemies and even travel to other worlds,"[12, 31, 32]",Missing,24.0,30.0,32.0,80.0,1.0,4.0
1674604800,233585,Hi-Fi Rush,"[6, 169]",As wannabe rockstar Chai youll fight back against a sinister robotics enhancement conglomerate using rhythmamplified combat where everything  from the motion in the environment to the blows of combat  is synced to the music,Missing,"[7, 8, 25, 31]",89.4981569883373,11.26,13.71,59.66,87.0,996.0,1406.0
