first_release_date,id,name,platforms,summary,genres,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
1006732800,242773,Star Wars: Starfighter - Special Edition,[11],The Special Edition of Star Wars Starfighter for Xbox features highquality air and space combat with added missions a twoplayer mode expanded racing and capturetheflag play and improved graphics Set in the Star Wars universe and inspired by The Phantom Menace players must save Naboo from the Trade Federations invasion Players choose from three pilots each with a unique ship Rhys a Naboo pilotintraining with the N1 starfighter Vana a Naboo expatriate with an ultrafast stealthy ship and Nym an alien pirate with a powerful heavily armed starship,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1005782400,47325,Tony Hawk's Pro Skater 2x,[11],Tony Hawks Pro Skater 2x was designed to take full advantage of the technical capabilities of Xbox The game features the franchises signature gameplay intuitive controls all of the levels from both Tony Hawks Pro Skater 2 and the original Tony Hawks Pro Skater in addition to more populated environments brand new levels realistic special effects and smoother lifelike animations The inclusion of system link gameplay brings the skateboarding experience to life,[14],Missing,Missing,1.58,3.88,11.5,78.0,11.0,7.0
1006473600,6369,David Beckham Soccer,"[7, 8, 11, 22, 24]",David Beckham Soccer is a football sports video game for PlayStation PlayStation 2 and Xbox Game Boy Advance and Game Boy Color All formats were developed and published by Rage Software Limited apart from the Game Boy versions which were developed by Yoyo Entertainment,"[13, 14]",Missing,Missing,2.77,0.0,3.35,43.0,4.0,3.0
1005782400,5961,NFL Fever 2002,[11],NFL Fever 2002 is an American Football video game published and developed by Microsoft Game Studios It was originally released on November 15 2001 as a launch title for the Xbox video game console The game was followed by NFL Fever 2003,[14],Missing,Missing,0.0,0.0,0.0,50.0,1.0,0.0
1005782400,5905,Mad Dash Racing,[11],Mad Dash Racing combines highspeed combat and 3D adventure action with a crew of motley characters for an insane multiplayer competition for up to four Players select from nine different characters each with their own unique personality and abilities and compete in a race for survival against the evil Hex his dirty minions and your unforgiving friends Glide across rivers of hot steaming lava slip through underwater pipes bash through mammoth boulders and slide down icy glaciers to beat the other racers and escape Hexs wicked wrath  Music by Moby Fatboy Slim Propellorheads  More,[10],Missing,Missing,1.75,0.0,3.0,80.0,1.0,3.0
1006128000,5873,Kabuki Warriors,[11],As a fight promoter for a troop of Kabuki warriors trying to travel from Edo to Kyoto your actorsamurai must possess both strength and style Along the way you will have to fight other Kabuki troops garner the crowds favor to receive tips and trade warriors with your defeated counterparts You will need a very accomplished group of samurai when you arrive in Kyoto to defeat the citys star troop,"[4, 25]",Missing,Missing,0.78,0.8,0.0,35.0,2.0,2.0
1006646400,5733,Azurik: Rise of Perathia,[11],A highprofile firstparty Xbox title that pits you in a battle to bring justice to your land Perathia Azurik Rise of Perathia will have a heavy focus on action jawdropping graphics and a unique elementbased combat system,[31],Missing,Missing,28.0,42.5,0.0,30.0,1.0,3.0
1005782400,5718,AirForce Delta Storm,"[11, 24]",Strap into your cockpit and blast through the gutwrenching world of flight combat Your adrenaline pumps as machine gun fire pelts off your tail you execute backbreaking barrel rolls and experience dogfighting action Take your pick of over 70 planes including military fighters rendered from actual aircraft With a full range of extreme missions to numb your senses AirForce Delta Storm pushes your Xbox to the sky,[13],Missing,Missing,4.0,6.0,8.0,70.0,1.0,3.0
1005696000,4209,TransWorld Surf,"[8, 11]",TransWorld Surf lets you pull off all the massive airs and blazing tailslides of professional surfers including Taj Burrow Andy Irons and Shane Dorian This is your chance to drop into more than 20 of the worlds most challenging breaks in locations such as Todos Santos Hossegor and Tavarua Conquer the waves with a friend hitch a ride with the Reef Girls watch out for the hungry sharks and remember to save your best moves for photographers who just may put you on the ingame cover of TransWorld Surf,"[13, 14]",Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1005782400,3667,Shrek,"[11, 21]",Taking place after the 3D animated movie of the same name the game allows the player to control Shrek a huge green ogre as he must rescue Princess Fiona from the evil wizard Merlin while finding his way through worlds full of crazy twists on familiar fairy tale characters In this thirdperson action platformer Shrek bashes and burps his way past various challenges fighting creatures and collecting items to complete Good Deeds and unlock new levels  Each world features six missions to complete save for Merlins castle and two of the missions in every regular level involve either collecting hidden Easter Eggs or grabbing the evil fairies who run away as you approach Other missions in a stage can involve tasks like defeating a boss or transporting characters to their destinations,"[8, 9]",Missing,Missing,3.88,0.0,0.0,48.0,12.0,6.0
