,id,name,platforms,summary,genres,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,270347,Jewelry Master Twinkle,[12],Xbox Live indie puzzle game,Missing,Missing,Missing,,,,,,
1,269413,Final Fantasy XI: Ultimate Collection,"[6, 8, 12]",This bundle includes Final Fantasy XI Online and its four first expansions  Rise of the Zilart Chains of Promathia Treasures of Aht Urhgan Wings of the Goddess  As well as three addon scenarios A Crystalline Prophecy  Ode of Life Bestowing A Moogle Kupo dEtat  Evil in Small Doses A Shantotto Ascension  The Legend Torn Her Empire Born  Everything is included on a single DVD,Missing,Missing,Missing,0.0,0.0,0.0,40.0,2.0,0.0
2,163364,Along Came A Spider,[12],Along Came A Spider is a 2D platform game In a world made of silk you control a small spider trying to find his way back home through twenty dynamic swinging swaying levels Your spider will learn amazing new abilities allowing him to catch many more flies along his way Your fearless spider must also confront his worst nightmares in four special boss levels,"[8, 31, 32]",Missing,Missing,,,,,,
3,163108,Halo 3 + Halo Wars,[12],Missing,Missing,Missing,Missing,,,,,,
4,92224,Office Disorders,[12],Missing,[13],Missing,Missing,,,,,,
5,91518,Leave Home,"[6, 12]",Missing,Missing,Missing,Missing,0.22,0.25,0.0,60.0,1.0,2.0
6,85714,Boom Chick Chick,[12],Missing,"[5, 32]",Missing,Missing,,,,,,
7,77409,Avatar Aquarium,[12],Avatar Aquarium Simulation for the Xbox 360,[13],Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
8,77112,Arkedo Series: 03 Pixel!,"[9, 12]",Pixel is a reto style 2D platformer The player plays the role of Pixel cat whose task is to go through several stages in order to collect treasures and save his own world,[8],Missing,Missing,,,,,,
9,74420,Puzzle Arcade,[12],Puzzle Arcade  the online jigsaw game with a twist Multiple ways to play loads of cool features and endless possibilities Download the full version to experience Xbox LIVE Vision Camera support multiplayer modes and access to downloadable content,[9],Missing,Missing,0.0,0.0,0.0,60.0,1.0,0.0
10,67255,QIX++,"[12, 38]",QIX is a Xbox Live Arcade remake of the game QIX that now includes high definition graphics    The object of the game is to defeat the QIX using the user controlled marker to cut off more than 75 of the playing area Once the 75 of the playing area is cut off you will advance to the next level During the game the QIX will come in the form of waves expanding triangle patterns and floating circles Also hindering you ingame will be energy pulses along the edge of the playing area that will cost you a life if you come into contact with them    However you do get some help during play If you cut off an area with a pickup in it you will get a helping boost These come in the form of point boosts and limited invincibility You have two stages to complete each with eight sections to them Multiplayer offers either local or online play where you can compete with up to 4 players or bots The aim of QIX in multiplayer is identical to the single player element only you are now racing to be the one that clears the board first,Missing,Missing,Missing,0.0,0.0,0.0,60.0,1.0,0.0
11,67074,1337 Ship Deathmatch,"[6, 12]",1337 Ship Deathmatch is a simple space shooter game which focuses on multiplayer combat The player takes control of one of the four ships and the goal is simple Destroy the others to rack up the points and win the game The ship has an energy meter for the weapon so if you shoot too much you need to recharge for a while to get the firing rate back up There are also two type of warp drives which makes the ship appear in a different location on the screen as well as a shield that absorbs some of the damage when used The player has the option of either playing against human players or up to four bots which are set to learn from the players style of play and adapt to it to increase the difficulty over time,[5],Missing,Missing,,,,,,
12,47428,NBA Unrivaled,"[9, 12]",A downloadable arcadestyle basketball game that features real teams and players from the 20092010 NBA season,[14],Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
13,47386,Konami Classics Vol. 1,[12],This is a compilation of three Xbox Live Arcade titles on one disc It includes Castlevania Symphony of the Night Frogger and Super Contra,"[5, 8, 12, 31, 33]",Missing,Missing,,,,,,
14,41593,Resident Evil 5: Collector's Edition,"[9, 12]",This Collectors Edition includes   Resident Evil 5  Tricell messenger bag  Chris Redfield figurine  BSAA patch  Kijujuinspired pendant  Custommade Steel Case holds game and bonus disc,"[5, 31]",Missing,Missing,,,,,,
