first_release_date,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1695772800,[5],272531,Call of Duty: Modern Warfare II - Season 06: The Haunting,"[6, 48, 49, 167, 169]",Prepare for frightening thrills the shambling undead squad hunts to take down grotesque monsters and those infamous jumpscares as The Haunting returns to Call of Duty The Hellmouth has opened spilling unearthly creatures from the underworld and a creeping terror is slowly swallowing all souls as it infects the entirety of Al Mazrah reaching the bloodred canals of Vondel and beyond  It appears a clandestine group known as the Dark Ritual Operators have located and opened a terrifying Hellmouth After the gates seals were ripped apart a cacophony of otherworldly gurgling resounded before a veritable panoply of the grotesque poured forth from their opened prison  All Operators should ready themselves for Operation Nightmare and prepare to battle and repel these aberrant threats  Fortunately in the ensuing chaos the Dark Ritual Operators left the gate open in time for backup to arrive in the form of Spawn the hellacious antihero who is now tasked with sending these monsters and their ilk back to the underworld  The Haunting event officially begins at midseason bringing Halloweenthemed maps modes events and more across both games Prepare for spinechilling scares and ferocious battles ahead at launch with the release of four new Multiplayer maps a Battle Pass stocked with devilishly entertaining new Operators and Weapon Blueprints and more,Missing,Missing,nan,nan,nan,nan,nan,nan
1695686400,Missing,269170,"Klabater Bundle: The Amazing American Circus, Moonshine Inc., Heliborne and Crossroads Inn","[49, 169]",Get a complete pack of games developed by Klabater The Amazing American Circus Moonshine Inc Heliborne and Crossroads Inn,Missing,Missing,nan,nan,nan,nan,nan,nan
1695859200,[4],269169,My Hero One's Justice 2: Ultimate Edition,"[49, 130]",The Ultimate Edition includes  MY HERO ONES JUSTICE 2  Season Pass  Season Pass 2  Ingame item Ribbit Ribbit Set  MY HERO ONES JUSTICE 2 the overthetop followup to the smash hit 3D arena fighter MY HERO ONES JUSTICE makes its heroic debut Make full use of characters Quirks as you clash headtohead in epic battles across huge arenas,Missing,Missing,nan,nan,nan,nan,nan,nan
1695686400,"[12, 13, 31]",269054,Harvest Moon: The Winds of Anthos Bundle,"[49, 130, 167, 169]",Explore the Amazing World of Anthos  This special bundle comes with the full game and the Season Pass which grants access to four DLC packs The four packs are as follows   Visitors From Afar Pack  Animal Avalanche Pack  Tool Upgrade  New Interior Designs Pack  New Crops Fish and Recipes Pack,Missing,Missing,nan,nan,nan,nan,nan,nan
1695686400,[13],268838,Train Sim World 4: USA Regional Edition,"[6, 48, 49, 167, 169]",Experience immense velocity and express unrivalled creativity with Train Sim World 4 USA Regional Edition  tackle the tough terrain of the Antelope Valley Line travel between Los Angeles and Lancaster in the Metrolink F125 Experience the hefty power of modern American diesel,Missing,Missing,nan,nan,nan,nan,nan,nan
1695600000,Missing,268837,Meet Your Maker: Sector 2 Bundle,"[49, 169]",Experience everything Sector 2 Shattered Peak has to offer Meet Your Makers Sector 2 Bundle lets you harness new tools inspired by the frigid Arctic wastes Shattered Peaks cuttingedge tech and the paranoiac creations that led to its downfall,Missing,Missing,nan,nan,nan,nan,nan,nan
1695686400,[13],268835,Train Sim World 4: UK Regional Edition,"[6, 48, 49, 167, 169]",Experience immense velocity and express unrivalled creativity with Train Sim World 4 UK Regional Edition  express services await on the iconic East Coast Main Line accelerate between Peterborough and Doncaster in the sleek and flashy LNER Azuma Feel the thrill of intercity travel,Missing,Missing,nan,nan,nan,nan,nan,nan
1695686400,[13],268834,Train Sim World 4: German Regional Edition,"[6, 48, 49, 167, 169]",Experience immense velocity and express unrivalled creativity with Train Sim World 4 German Regional Edition  Take on the challenges of regional SBahn and freight services on the complex Dresden network including with the Railpool BR 193 Vectron Stateoftheart traction at the helm,Missing,Missing,nan,nan,nan,nan,nan,nan
1695686400,[13],268833,Train Sim World 4: Austrian Regional Edition,"[6, 48, 49, 167, 169]",Experience immense velocity and express unrivalled creativity with Train Sim World 4 Austrian Regional Edition  uphold ÖBBs sterling service on the picturesque Vorarlberg SBahn S1 line aboard the sleek ÖBB 4024 Run between from the island life of Germany to the base of the Austrian Alps,Missing,Missing,nan,nan,nan,nan,nan,nan
1695859200,Missing,268783,Persona 3 Portable: S.E.E.S Edition,"[48, 49, 130, 169]",Persona 3 Portable SEES Edition includes   Physical Copy of Persona 3 Portable  Persona 3 Portable Slipcover  11 Evoker Replica Shadowbox  Lights Up Evoker Replica is nonremovable  All Out Attack 3D Shadow Box  Persona 3 Portable Official Soundtrack  Grimoire Book Box  Character Trading Cards  School Patch  SEES Armband  SteelBook  Certificate of Authenticity  Individually Numbered,Missing,Missing,nan,nan,nan,nan,nan,nan
1695945600,"[9, 34]",268468,Love Kuesuto,"[48, 49, 130, 167, 169]",Take on the role of an old man whose life is flashing before his eyes As you awaken the goddess Aphrodite guides you through four game boards full of romantic trauma and relationship dilemmas,Missing,Missing,nan,nan,nan,nan,nan,nan
1695340800,"[8, 13, 15]",267971,Super Snake Block DX,"[49, 169]",Endless running game very fun and addictive,Missing,Missing,nan,nan,nan,nan,nan,nan
