,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,"[9, 35]",272068,Bloody Checkers,[12],Set in a fictional medieval universe BloodyCheckers is a 3D castle RPG that incorporates a small number of roleplaying game elements,Enter the medieval world of Knotted Hand Hall and take on 20 dead NPCs who will try and stop you at all costs Enjoy 30 hours of leveling exploring and hiding as you take everything you have learned online Gorgeous graphics and 3D gameplay almost go unnoticed as the action overtakes you and you become immersed in volleys of spells arrow barrages and cannon attacks from your opponents,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1,[10],234794,Dirt 3: Mini Gymkhana Special Pack,"[6, 9, 12]",Missing,Mini Gymkhana Special Pack is a DLC for DiRT 3 featuring a Mini Cooper S customized exclusively for Gymkhana events  This DLC was later included into DiRT 3 Complete Edition,Missing,,,,,,
2,[10],234793,Dirt 3: Power and Glory Car Pack,"[6, 9, 12]",Missing,Power and Glory Car Pack is a DLC for DiRT 3 featuring 5 new vehicles each with 5 liveries BMW M3 Lancia Delta S4 Ford Focus ST Scion tC and Chevrolet Camaro SSX Concept  This DLC was later included into DiRT 3 Complete Edition,Missing,,,,,,
3,"[10, 14]",234663,Dirt 3: Monte Carlo Track Pack,"[6, 9, 12]",Missing,Monte Carlo Track Pack is a DLC for Dirt 3 featuring a new track with several routes located in the Alps  This DLC was later included into Dirt 3 Complete Edition,Missing,,,,,,
4,Missing,179598,Junk Fu,[12],Missing,Can you master Junk Fu Or will Junk Fu master you Chop kick and smash junk as it flies off a junkyard conveyor belt Turn junk into junk food by cranking up your calorie burn The more you move the more you burn The more you burn the more goodies you earn,Missing,,,,,,
5,[34],141877,Steins;Gate Double Pack,"[9, 12, 46]",Missing,An accidentally made time machine is going to start the third world war But before most people are killed the two ladies closest to Rintaro might be meeting their deaths When Rintaro and Mayuri go to a conference they stumble upon the body of Kurisu Alarmed Rintaro sent a mail back to his friend  However he has no idea that the mail reached the past and time is changed Kurisu is alive in this timeline and from her he learned of a group called SERN SERN will do anything to gain control of the time machine To thwart them Rintaro has to travel back time repeatedly and lie to a lot of people  Because if he doesnt the girls hes closest to are going to die again and this time no time machines are going to help them,Missing,,,,,,
6,"[10, 13]",117267,Burnout Paradise: The Ultimate Box - Big Surf Island Pack,"[6, 9, 12]",Missing,The Big Surf Island Pack is a downloadable premium content packs for Burnout Paradise that was made available for purchase alongside the release of the Third Burnout Store Update codenamed Eastwood on June 11 2009  It introduces the allnew Big Surf Island district to Paradise City with new discoverables events online challenges and nine new vehicles,Missing,,,,,,
7,Missing,106174,Kinect Fun Labs: Kinect Me,[12],Missing,Missing,Missing,0.0,0.0,0.84,35.0,4.0,5.0
8,Missing,106090,Kinect Fun Labs: Build A Buddy,[12],Missing,Bring your stuff to life Scan in your favorite object create a personality mix in your own voice and watch your buddy spring into action Interact with your buddy and create a video to send to your friends and family,Missing,0.0,0.0,0.8,37.0,3.0,3.0
9,Missing,106087,Kinect Fun Labs: Bobble Head,[12],Missing,Missing,Missing,0.0,0.0,0.66,37.0,3.0,3.0
10,"[9, 12]",78458,Half-Minute Hero: Super Mega Neo Climax,[12],Missing,HalfMinute Hero Super Mega Neo Climax is a port of the PSP RPGpuzzle game mashup HalfMinute Hero released on XBLA and PC It also includes a new graphical style and an added multiplayer component,Missing,4.57,13.35,31.29,75.0,26.0,47.0
11,Missing,65910,Fruit Ninja Kinect,[12],Missing,An arcade style game where the player must chop fruit with their hands and feet while avoiding bombs A Kinectrequired XBLA version of the original iOS release,Missing,0.0,0.0,7.0,64.0,8.0,2.0
12,"[13, 31]",65845,Total Miner: Forge,[12],Missing,Play Total Miner Forge and enter a world of creation construction exploration adventure and survival Play online with up to 23 other friends Play as one of 30 different avatars Over 50 NPCs for RPG worlds Explore monstrous cave systems find treasures and battle enemies Build epic creations with your friends online How high will your server rate Browse 1000s of Total Miner worlds,Missing,0.0,0.0,0.0,70.0,1.0,0.0
13,"[5, 31]",42974,F.E.A.R 3: Collector's Edition,"[6, 9, 12]",Missing,Alma returns in FEAR 3 but this time her sons Point Man and Paxton Fettel introduce divergent coop giving players distinctly different abilities affecting their own play as well as the experience of their coop partner Gamers participate in single player or coop modes as Point Man a genetically enhanced super soldier originally introduced in FEAR or they can play cooperatively as his conniving brother Paxton Fettel whose incredible telekinetic power has given him life beyond the grave The game is developed by Day 1 Studios developer of the original FEAR console games in collaboration with Monolith Studios,Missing,,,,,,
