,genres,id,name,platforms,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,"[5, 8, 33]",217546,Super Contra,[12],A port of the Arcade version of Super Contra for the Xbox Live Arcade Celebrating the 20th anniversary of Contra this newly updated version of Super Contra features enhanced graphics HD support and Coop multiplayer over Xbox LIVE Help Lance and Bill stop Red Falcon before they take over the world The Alien Wars are coming do you have what it takes to defend earth,Missing,1.02,0.0,6.5,66.0,46.0,35.0
1,Missing,23131,Wing Commander Arena,[12],Single Player Xbox Live Multiplayer 18 HD High Definition Wing Commander is back with an allnew game for Xbox Live Arcade Form a squad and destroy enemy armadas as you climb the leaderboard Featuring four modes of gameplay nine maps and the first 16player action on Xbox Live Arcade Wing Commander Arena is the perfect mix of classic arcade fun and modern multiplayer chaos,Missing,0.0,0.0,0.0,0.0,0.0,0.0
2,"[9, 13, 15, 35]",21832,Carcassonne,[12],Carcassonne starts with a single terrain tile face up and 71 others shuffled face down for the players to draw from On each turn a player draws a new terrain tile and places it adjacent to tiles that are already face up The new tile must be placed in a way that extends features on the tiles it abuts roads must connect to roads fields to fields and cities to cities  A part of a game board after several turnsAfter placing each new tile the placing player may opt to station a piece on a feature of that newlyplaced tile The placing player may not use a follower to claim any features of the tile that extend or connect features already claimed by another player However it is possible for terrain features claimed by opposing players to become shared by the subsequent placement of tiles connecting them For example two field tiles which each have a follower can become connected into a single field by another terrain tile  The game ends when the last tile has been placed At that time all features including fields score points for the players with the most followers on them The player with the most points wins the game,Missing,3.5,4.0,7.0,69.0,9.0,8.0
3,"[9, 15, 33]",17456,Bomberman Live,[12],Classic Bomberman on the Xbox Live arcade,Missing,0.0,2.0,0.0,69.0,7.0,1.0
4,[9],11055,Super Xblox 360!,[12],Rotate the sinking balls to earn a High Score Enjoy 4 game modes 4 unique powerups brand new configurations and 4 original songs Battle a friend head to head or compete with 3 others to see who is the best Bearcat Coders  Matt Harbaugh Greg Hill Kurt Prenger,Missing,,,,,,
5,[10],4916,Hot Wheels: Beat That!,"[5, 6, 8, 12, 20, 38]",Sometimes the biggest action comes in the smallest package Get behind the wheel of any of 30 cars pulled straight from the Hot Wheels lineup Race on 12 tracks built to scale  corkscrews loops shortcuts and hidden paths chokepoints and interactive elements  then battle on four different battlegrounds Put the pedal to the metal in five different gameplay modes including Race Eliminator Rampage and Battle,Missing,13.58,20.0,22.5,59.0,9.0,5.0
6,[14],5954,NCAA Football 08,"[8, 9, 11, 12]",NCAA Football 08 is a college football video game created by EA Sports the sports video gaming subsidiary of Electronic Arts It is the successor to NCAA Football 07 in the NCAA Football series It was officially announced with the launch of the NCAA 08 page on the EA Sports website on February 20 20071 EA Sports had opened up a ballot on their NCAA Football 07 site in which fans can vote on a feature to be implemented into the PlayStation 2 version making it the first console announced for the game and announcing at least one of its features2 Fans could vote for either ingame saves medical red shirts summer workouts or a lead blocker feature The option of medical red shirts was voted on and won and this option is on the Dynasty Mode on all versions of NCAA Football 08 This allows for players that are injured in the middle of the year to apply to gain another year of eligibility The game was released on July 17 2007 and the first time release on PlayStation 3 marking the eleventh installment of the NCAA Football series bearing the title NCAA Football As with NCAA Football 07 08 features limited ESPN integration,85.0,20.33,0.0,40.0,78.0,12.0,4.0
7,"[10, 33]",3777,FlatOut: Ultimate Carnage,"[6, 12]",An enhanced version of the PlayStation 2 game FlatOut 2 It increased the number of cars in a race from 8 to 12 It added 5 new single player and 2 new multiplayer modes  FlatOut Ultimate Carnage lifts destruction racing to a whole new level of bonebreaking slaughter FlatOut Ultimate Carnage is arcade destruction racing at its best and most extreme with real world physics three different game modes and offering players a wide variety of online and offline multiplayer options,78.46585892121922,15.03,22.89,28.41,79.0,85.0,77.0
8,"[2, 31]",862,Sam & Max: Save the World,"[5, 6, 12]",The characters can travel between a variety of locations in the game using their black and white 1960 DeSoto Adventurer which when selected will present the player with a list of available destinations The DeSoto is also used for several driving sequences usually involving pursuing or fleeing criminals in other vehicles In these driving sequences the player can use Sams gun the cars horn or have Max attempt to communicate with other vehicles via a megaphone In addition special inventory items may be used to complete specific puzzles within these sequences Driving sequences are also used for several minigames such as pulling innocent drivers over for fabricated felonies  In keeping with the developers heritage from the LucasArts adventure games Sam  Max Save the World is designed so that the player characters cannot die or reach a complete deadend,73.94336237397825,12.59,13.25,13.53,77.0,104.0,112.0
9,[14],5481,All-Pro Football 2K8,"[9, 12]",Imagine Rice Unitas Butkus and Singletary In their prime on the same field or maybe even the same team Imagine preparing a precision squad of mercenarieseven building your own players,70.2319563416488,12.0,0.0,0.0,66.0,7.0,1.0
10,"[10, 14]",7103,NASCAR 08,"[8, 9, 12]",NASCAR 08 is the eleventh installment of the EA Sports NASCAR series It was developed by EA Tiburon and released for PlayStation 2 PlayStation 3 and Xbox 360 This is the earliest that EA has released a NASCAR game It also marks the first time the original Xbox has been excluded from the NASCAR lineup since NASCAR 2001  Tony Stewart is on the cover marking his third appearance on the cover of an EA Sports NASCAR game The cover in the PAL region features Juan Pablo Montoya NASCARs new Car of Tomorrow as well as the current car are present in the game although the Car of Tomorrow is generic no separate manufacturers ESPNs NASCAR coverage is also integrated into the game Crew chief dialogue for the PS3 and 360 versions of the game was recorded by Chad Knaus The Whelen Modified Tour is not included in the PS3 and 360 versions of the game but is still present in the PS2 version,70.0,,,,,,
