first_release_date,id,name,platforms,summary,genres,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
1009756800,267525,Nobunaga's Ambition: Ranseiki,"[6, 8, 11]",Nobunaga no Yabō Ranseiki 信長の野望嵐世記 Nobunagas Ambition Chronicle of a World of Storms is the ninth title in the Nobunaga no Yabou series released February 2001 for Windows 98 This game returned to provincetaking battles and the a system of varying powers was introduced Ports for PlayStation 2 and Xbox were made later It was released as a japanese only launch title on February 22 2002,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1009756800,131507,Namco Museum,"[8, 11, 21]",The sixthgeneration console iteration of Namco Museum featuring PacMan PacMan Arrangement Galaga Galaga Arrangement Dig Dug Dig Dug Arrangement Pole Position Pole Position II Ms PacMan Galaxian PacAttack and PacMania,"[5, 10, 33]",Missing,Missing,2.05,20.0,0.0,70.0,12.0,6.0
1009756800,23447,ESPN NFL PrimeTime 2002,"[6, 8, 11]",Manage your team for up to 15 seasons as Chris Berman and Tom Jackson go Inside the Numbers to breakdown your games Create free agents or edit existing players with an indepth Player Editor The game includes updated 2001 season rosters for all 31 NFL teams,[14],Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1009756800,6047,Shikigami no Shiro,"[6, 8, 11, 52]",Missing,[5],Missing,Missing,nan,nan,nan,nan,nan,nan
1009497600,5754,Blood Wake,[11],Blood Wake is a naval combat video game that was released in 2001 on the Xbox as part of Microsofts initial wave of Xbox launch titles The game was developed by Stormfront Studios and published by Microsoft Game Studios  Set in an Asianthemed fictional world Blood Wake is a storydriven missionbased high seas action game in which the player controls a series of small fighting vessels Some reviewers described its gameplay as Twisted Metal on water although its missionbased story line differentiated Blood Wake from Twisted Metals arenabased gameplay,"[4, 10]",Missing,Missing,5.9,8.0,30.0,70.0,7.0,5.0
1008892800,5599,Star Wars: Obi-Wan,[11],Join the legendary Jedi Knight ObiWan Kenobi as he takes on the worst scum and villainy the galaxy has to offer in level after level of fastpaced action In Star Wars ObiWan youll call upon the Force and your powerful lightsaber as you face a mysterious new enemy an assassin droid project and a devious plot that could dramatically shift the balance of power in the universe Fight your way through an underworld trail of munitions dealers and crime lordsfrom the lowest depths of Coruscant and dusty Tatooine to the lush city of Theed The Force is in your hands,"[25, 31]",Missing,Missing,6.53,7.67,9.82,59.0,21.0,23.0
1008720000,22066,Silent Hill 2: Restless Dreams,"[6, 8, 11]",Silent Hill 2 Restless Dreams is an updated version of of Silent Hill 2 It contains all of the content of the original version and adds several pieces of new content The most significant is a new short scenario called Born from a Wish where players take control of Maria from her first moments right up to where she first appears in the main game Also included is a sixth ending to the main scenario and a minor feature that allows the player to turn off the graphical effect which makes the game look like it was shot on cheap film stock,[31],88.54621473065068,Missing,nan,nan,nan,nan,nan,nan
1007251200,83,Baldur's Gate: Dark Alliance,"[3, 6, 8, 11, 14, 21, 48, 49, 130, 169]",Baldurs Gate Dark Alliance is a revolutionary action adventure with an epic tale of intrigue fierce alliances explosive spell effects and highly detailed creatures and environments Baldurs Gate Dark Alliance is a benchmark of technology and gameplay,"[12, 25]",82.00177329217118,Missing,11.95,15.76,18.82,76.0,167.0,161.0
1008201600,5106,Fatal Frame,"[8, 9, 11]",Fatal Frame is the first game of the Fatal Frame series introducing the franchises unique premise of fighting ghosts with a special camera  Fatal Frame was the first to introduce the innovative use of an oldstyle camera as the primary weapon In addition to navigating the main characters around the mansion grounds players are able to enter Viewfinder Mode where the camera is raised and the view changes to that of the cameras frame In viewfinder mode the player is able to snap photographs of ghosts both violent and benign which is the main method of progressing through the game Items are also available some being consumable and most being key items needed to unlock doors complete tasks or solve puzzles Puzzles are encountered frequently in the game some being based on the same concept but becoming progressively more difficult The varying difficulty settings of the game Easy Normal Hard Nightmare or Fatal Xbox only determine the amount of consumable items scattered throughout the mansion and how formidable the enemies are  The main horror aspect of the game is undoubtedly the ghosts The mechanics programmed for the ghosts allow them to float ethereally through the air walls and floors and even teleport allowing them many ways to attack the player The ghosts appearances are usually inspired by their deaths or by Japanese stigmas of horror which some argue are particularily chilling  The game depending on which console it is played on offers two endings Upon completion of the game a ranking is given based on total time taken points accumulated and other categories The player is also given rewards and unlockables such as alternate costumes and camera functions depending on what difficulty was beaten how much of the Ghost List was completed and other criteria Beating the game also unlocks Battle Mode where the player is faced with fighting specific ghosts and is rewarded with points towards purchasing unlockables An option is also given where the game can be replayed with all equipment upgrades and unlockables carried over,[31],74.34908912437507,Set in 1986 The story begin with an aspiring folklorist Mafuyu Hinasaki decides one night to investigate the Himuro Mansion a place that is said to be haunted in search of renown folklorist Junsei Takamine He brings with him a special handmedown a special camera that has the power to expose things the normal eyes cant see Mafuyu enters the mansion and encounters its only inhabitants ghosts of the people who were killed there After fending off a violent ghost and seeing the power of the camera for himself Mafuyu decides to continue his search On his way however a dark presence surrounds him and Mafuyus fate is unknown  Two weeks later Mafuyus sister Miku arrives before the mansion Fearing the worst may have happened to her brother she takes it upon herself to enter the mansion and find him Inside she finds the camera that Mafuyu brought with him and continuing his investigation finds out the truth about the folklorist who went missing Takamine came to the mansion to document the grisly events that occurred there long ago In his progress he uncovers the mysterious Strangling Ritual that took place in the mansion but before he and his assistants could leave the haunted grounds they were set upon by the spirits that were killed in the aftermath of the failed ritual Miku continues deeper into the mansion determined to find the truth and her missing brother The story gets worse and worse by every room Miku enters when later on she finds out that the Shrine Maiden who is dead looks for Mafuyu too,7.51,9.18,11.81,76.0,184.0,202.0
1007337600,3974,Legends of Wrestling,"[8, 11, 21]",Legends of Wrestling throws the greatest wrestlers into one game to find out who is the true king of kings Wrestling superstars including Hulk Hogan Bret Hitman Hart and Jerry The King Lawler step back into the ring to deliver more body slams piledrivers and powerbombs to the competition Play as authentic professional wrestlers or create your own legendary fighter and then travel around the world to battle for wrestlings top titles Legends of Wrestling also features customizable ring attire and new wrestler entrances,"[4, 14]",55.0,Missing,7.06,17.34,0.0,51.0,8.0,4.0
