,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,[14],240290,FIFA 07,[12],Enhanced Xbox 360 version of FIFA 07,Missing,Missing,47.63,116.86,286.68,69.0,54.0,18.0
1,"[4, 8, 33]",87815,Super Mario War,"[3, 5, 6, 9, 11, 14, 20, 23, 38, 82, 130]",Super Mario War is an opensource crossplatform platformadventure video game and level editor released on 16 December 2006 It is based upon gameplay elements and audiovisual media that are cloned from Nintendos Super Mario series The game centers on players fighting each other by one player jumping on the other players head or by making use of items which can be picked up during gameplay,Missing,Missing,0.5,0.0,0.0,0.0,0.0,1.0
2,[14],77788,3D Ultra Mini Golf,[12],A polygonal game of minigolf that sets its holes in exotic locations like the moon,Missing,Missing,,,,,,
3,[9],74407,Buku Sudoku,"[6, 12, 14]",Play cooperatively with friends race headtohead to complete a puzzle first or try the new battle mode in which completing a line row or square will remove numbers from your opponents board,Missing,Missing,0.0,0.0,8.0,55.0,2.0,1.0
4,Missing,68015,Zegapain NOT,[12],Zegapain NOT was released on December 7 2006 in Japan Also based on the anime series Zegapain NOT is a sequel and companion to Zegapain XOR and continues the storyline of the previous game The game features a special online mode that allows for crossdisc online play enabling players with Zegapain XOR to play against players with Zegapain NOT The game has over 3000 ways to customize your character,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
5,Missing,47478,Viva Piñata: Limited Edition,[12],Attract and tame your favourite Piñatas There are more than 60 species that roam wild on Piñata Island Personalise everything from the grass at your feet to the hat on your Piñatas head Welcome to Piñata Island enjoy your stay,Missing,Missing,,,,,,
6,[5],47450,Gears of War: Limited Collector's Edition,[12],This limited edition of Gears of War is packaged in a collectible metal box along with a book entitled Destroyed Beauty which offers a detailed look at the artwork featured in the games futuristic environments Also included is a second DVD that explores the making of Gears of War with lead designer Cliff Bleszinski and his development team  Anointed by the games media as Microsofts first killer app for its Xbox 360 Epic Games Gears of War is a futuristic thirdperson shooter emphasizing tactical action over runandgun battles Players are thrust in a climactic clash between whats left of humankind and a swarming underground race called the Locust Horde The main protagonist is Marcus Fenix a once disgraced soldier looking to redeem himself by leading a ragtag squad against the monstrous threat  Since the alien army vastly outnumbers the team players must use the postapocalyptic world to their advantage such as seeking cover behind dumpsters pillars cars rubble and other objects The developer has adapted its awardwinning Unreal technology to create interactive environments with a physicsbased damage system Players for instance can shoot down structures to forge new routes or opportunities to trap the enemy Up to three squad mates will accompany Fenix in each mission with basic commands such as advance hold or freelance available to guide them  A behindtheshoulder view similar to the one employed in Capcoms Resident Evil 4 is the default perspective in Gears of War Weapons include an assortment of grenades pistols assault rifles and other longrange blasters many of which offer a means to engage enemies in melee combat The Locust Horde is not averse to lunging rushing or gnawing at soldiers so players have the opportunity to perform grisly finishing moves by quickly tapping specific button sequences during close encounters Cooperative support for two players is offered throughout the campaign and up to eight can battle each other in teamoriented modes via Xbox Live,Missing,Missing,,,,,,
7,Missing,21941,Novadrome,[12],Blast smash and crash your way to victory as you fight friends and foes alike for survival in the combatdriving multiplayer arenas of Novadrome Choose from frantic 8player gameplay or singleplayer combat driving action set in a farout alien world Play against your friends and blow them up for only 800 points 24 distinct offroad buggies to choose from 15 arenas of nonstop action and 6 event types for pure Novadrome fun,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
8,[13],21467,A-Train HX,[12],Missing,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
9,"[5, 33]",20634,Assault Heroes,"[6, 9, 12]",Assault Heroes is an arcadestyle scrolling dualjoystick shooter where the player drives 4x4s or speedboats sometimes moving around onfoot  Like most dualjoystick shooters one stick controls the movement of the player while the right stick directs your gunfire The objective of the game is to progress through each level defeating enemies and huge bosses Vehicle and player health slowly regenerate while vehicles can be instantly repaired with a special pickup item Once your vehicle is destroyed you run around on foot Youre limited to a weak machine gun but get double points for destroyed enemies Once you lose all your health you lose a life After about 10 seconds of being on foot your vehicle respawns,Missing,Missing,2.37,3.23,4.92,63.0,24.0,12.0
10,[14],9899,3D Ultra Minigolf Adventures,"[6, 12]",Whether youre a seasoned player or just a beginner get ready to tee off for a quick and fun match with four animated stylish characters Putt your way through 36 funfilled holes of minigolf on 3D designed courses with elevated greens bunkers bridges and water hazards among other crazy obstacles,Missing,Missing,4.0,4.0,4.04,63.0,6.0,6.0
11,"[8, 12, 31]",10949,Ys Origin,"[6, 46, 48, 49, 130]",700 years before the events of Ys I  II the land of Ys was on the brink of destruction Demons came in droves and forced the twin Goddesses who ruled the land to whisk their subjects away from the surface into the safe embrace of the clouds The demons were persistent however erecting a massive tower in pursuit The battle that raged upon the ground had begun ascending for a second round up above One day amidst this turmoil the Goddesses stole away into the night vanishing from Ys altogether And theres only one place they could have gone the Devils Tower  A search party of knights and sorcerers was hastily formed and dispatched to the surface in hopes of retrieving these runaway deities Among its members were apprentice knight Yunica Tovah and troubled sorcerer Hugo Fact  This is their story Or at least its how each of them remembers it  Expanding upon the gameplay elements introduced in Ys The Ark of Napishtim and further developed in Ys The Oath in Felghana Ys Origin perfects the formula by adding different styles of play and new features never before seen in the Ys universe Best described as an arcadelike platformer RPG with Metroidvania elements and a complex multifaceted narrative Ys Origin is the perfect mix of action exploration and story Screenfilling bosses with complex AI unique platforming elements innovative puzzles and a deeply involving mystery await within the wildly varied confines of this classic Ys dungeon  Come see how long you can last in the Devils Tower,80.63587080197428,Following a devastating demonic invasion the twin Goddesses use their magic to bring the inhabitants of legendary Ys safely into the sky While the demons work to construct Devils Tower and reach the humans new abode the Goddesses disappear As a mighty warrior or a cunning mage you must seek the Goddesses in Devils Tower With your swordsmanship and spells can you banish evil from the land of your ancestors,11.44,22.14,34.81,80.0,373.0,592.0
12,"[25, 31]",5086,Onechanbara: Bikini Samurai Squad,[12],Play with a friend in coop mode or switch between any of the three beautiful playable characters in singleplayer in Onechanbara Bikini Samurai Squad Each character has a variety of unique moves to master during combat to destroy enemy zombies Get blood on either sister to trigger Rage Mode and gain more power and agility to destroy enemies faster and deadlier For an added experience go to Marketplace to download additional outfits and swordflinging girls,80.0,Aya a descendent of the family known as Imichi meaning blood that goes out of control reconciles with her sister Saki and live together in peace for awhile The peace doesnt last for long as an infestation of zombies has plagued the city The sisters join together to draw their swords and rid the city of evil,5.87,31.63,44.12,62.0,11.0,11.0
13,"[2, 31]",27822,Sam & Max: Save the World - Episode 2: Situation Comedy,"[5, 6, 12]",Talk show host Myra Stump has gone berzerk Sam  Max head down to the WARP TV studio to find out why shes holding her audience hostage But getting onto Myras stage isnt going to be easy First the Freelance Police will have to prove theyre worthy of fifteen minutes of fame,79.48284479659988,Missing,,,,,,
14,"[12, 31]",6923,Blue Dragon,"[12, 49]",Hironobu Sakaguchi the Father of the Final Fantasy series and Artoon present the world of Blue Dragon on Xbox 360 Featuring the character design of Akira Toriyama the Father of Dragon Ball Z and music by Nobuo Uematsu the composer for Final Fantasy Blue Dragon is an epic roleplaying game RPG centered on five youngsters who possess miraculous strength and magical power to control shadow creatures that mirror the actions of their masters  Blue Dragon follows the story of five friends Shu Jiro Kluke Zola and Marumaro as they travel across the world to confront Nene the evil ruler of the Grand Kingdom The setting inspired separate anime and manga adaptations although these follow the story to different degrees and feature a different cast of characters The game follows a traditional roleplaying design based around exploration and turnbased combat  The gameplay of Blue Dragon uses turnbased gameplay elements seen in older Japanese roleplaying video games The game world contains two major types of areas towns in which the player can rest and purchase items and dungeonlike areas with numerous foes to be defeated,79.17324340585603,Missing,45.78,56.61,97.92,72.0,97.0,123.0
15,"[5, 13, 14]",6931,Cabela's African Safari,"[6, 8, 12, 38]",Players discover Africas untamed wild as they hunt a variety of African big game in pursuit of the ultimate hunting challenge  the feared Big Five  leopards lions elephants rhinos and Cape buffalo In Cabelas African Safari players choose from seven 10 or 14 day safaris including open safari game tracking baiting and herd hunting missions The game features over 30 exotic species of animals including sable kudu gemsbok eland waterbuck and impala,75.0,Missing,4.0,0.0,0.0,53.0,3.0,1.0
16,[4],5491,Armored Core 4,"[9, 12]",Armored Core the mech action game that defined the mech genre is back to take on nextgeneration platforms Armored Core 4 reinvigorates the brand by offering an allnew storyline new environments and online capability The 10th anniversary of the acclaimed franchise is punctuated with a leap to nextgeneration platforms that will ensure a new quality level in both gameplay and visual performance,73.21270158356172,Missing,7.68,11.32,19.18,76.0,26.0,36.0
