first_release_date,id,name,platforms,summary,genres,storyline,rating
1639440000,254665,Fortnite: Voidlander Pack,"[48, 49, 130, 167, 169]",Leave only destruction as you pass through the void In Absenz you will find the path of the Voidlander,Missing,Missing,Missing
1638921600,247510,Looking for Aliens: Collector's Edition,"[6, 48, 49, 130]",Aliens are among us Can you find traces of them on Earth the moon and the edges of the galaxy Find all the clues to prove the existence of alien civilizations and discover how making fried eggs can end up in a monster attack  This is a special Collectors Edition release full of exclusive extras you wont find in the standard version  The Collectors Edition includes  Blastoff with five exciting bonus levels  Explore the galaxy with a downloadable soundtrack and wallpapers  Tons of hidden cards to collect,"[9, 31, 32]",Missing,Missing
1639440000,228706,Assassin's Creed Valhalla: A Fated Encounter,"[6, 48, 49, 167, 169]",A Fated Encounter was a virtual representation of one of Eivor Varinsdottirs genetic memories relived by Layla Hassan in 2020 through the Portable Animus HR85 It was added via Title Update 141,"[12, 31]",The crossover sees both games receive a new free story arc update with Those Who Are Treasured in Odyssey that sees Kassandra travel to the island of Korfu to explore the aftermath of obtaining the immortalitygranting Staff of Hermes Trismegistus while A Fated Encounter in Valhalla has Eivor travel to the Isle of Skye where she encounters Kassandra,Missing
1639008000,226867,Jurassic World Evolution 2: Early Cretaceous Pack,"[6, 48, 49, 167, 169]",Breathe new life into your parks and discover a stunning array of Cretaceous animals with Jurassic World Evolution 2 Early Cretaceous Pack,"[13, 15]",Missing,Missing
1639526400,224474,Scarlet Nexus: Bond Enhancement Pack 2,"[6, 48, 49, 167, 169]",The SCARLET NEXUS Bond Enhancement Pack 2 DLC contains additional costume and weapon sets for all characters with new designs by external creators  The pack also includes new Bond Episodes new SAS abilities gained from Bond Level Expansion Bond Level EX and ways to enjoy new sides to your favorite characters that you didnt see in the main game,"[12, 31]",Missing,Missing
1640908800,222951,Shing!: Limited Edition,"[48, 130]",Missing,Missing,Missing,Missing
1638835200,216300,Dead Second,"[386, 390]",Second bullet time reaction system with high fidelity impact physics reactions Experience Intense shoot outs and gunplay unlike any game before it  Youre a righteous GUN FOR HIRE taking care of the CORRUPT and WICKED throughout the city  Governments have fallen into disarray Corporations and Private Military Contractors rule the streets  Take on a series of ASSIGNMENTS and make them pay  The DEAD SECOND is a bullet time reaction system   Defeating an enemy activates a momentary bullet time slow motion giving you a chance to dodge incoming enemy fire Chaining a quick succession of takedowns boosts your Score Time  Accuracy points  Progress through the Ranks and unlock additional Guns  Cosmetics on your way to the top of the Leaderboards,[32],Missing,Missing
1639872000,214512,ZJ the Ball Challenge: Level 1C,[48],Missing,Missing,Missing,Missing
1640476800,214511,ZJ the Ball Challenge: Level 2C,[48],Missing,Missing,Missing,Missing
1639526400,214044,Tanks vs Tanks: PvP,"[48, 167]",Tanks vs Tanks PvP is a local tank battle simulator game where you try to destroy as many enemy tanks as possible Combat your enemy with unlimited but timebased bullets Pay attention to your health and dont forget to collect extra health This is your only way of success in this war gaming,"[5, 33]",Missing,Missing
