first_release_date,genres,id,name,platforms,storyline,summary,rating
959212800,[34],274401,St. Luminous Jogakuin,[7],When his grandfather dies Kaihei inherits the post of chairman at an eccentric private girls school which emphasises the personal freedom of its students But he arrives to find that one of the students has gone missing As he investigates Melinas disappearance more students vanish strange events occur and his position is placed under increasing pressure from teachers and parents,A dating sim adaptation of the 1998 original anime by Genco,Missing
959212800,[13],198292,Menkyo wo Torou,[7],Missing,Menkyo wo Torou is a driving simulator game released on Playstation The purpose is to go to a driving school and get a drivers license In the course students answer questions such as traffic regulations in the form of quizzes Practical training for manual cars requires the operation of a halfclutch,Missing
957225600,Missing,166512,Virtual Kyoutei 2000,[7],Missing,Missing,Missing
959212800,Missing,166391,Screen,[7],You and your younger sister Maiko lost your parents in a traffic accident The two of you have since lived with your relatives at the country side Five years later you graduated a highschool and returned alone to Tokyo to attend college Your twoyear younger sister came to Tokyo two years after you hoping to attend the same college as you do,Screens basic gameplay consists of reading descriptions monologues and dialogues over the static background with ability to make occasional choices during the story Game also features CG and music galleries with character theme songs which can be unlocked as you progress the game,Missing
958003200,[34],166161,Elan Plus,"[7, 9, 38, 46]",A plan to migrate humanity to the planet Elan is created the Elan Project In order to select suitable people to join the project many boys and girls with great mental ability are gathered in the research city Alpha The protagonist is one of the best candidates and while acquiring training they interact with the other candidates  While conversing with the other candidates there arent just the usual conversation options It is also possible to choose HappyNormalSadMad emotional type responses,Elan Plus is a Strategy game developed and published by Visco which was released in Japan in 2000  It adds scenario corrections new graphics gallery mode in game load and reset functions,Missing
958262400,[31],148374,Kids Station: Asobou! Hanasou! Guru-guru Town Hanamaru-kun,[7],Missing,Kids Station Asobou Hanasou Guruguru Town Hanamarukun is based on the anime and features a big collection of different kind of minigames in which the young players can learn about maths animals shapes etc There are also some minigames about coordination timing character movement etc,Missing
957225600,Missing,137397,Shin Sedai Robot Senki - Brave Saga 2,[7],Missing,Brave Saga 2 is the sequel to Shin Sedai Robot Senki  Brave Saga Brave Saga 2 can be considered a final retale of the Yuusha series as it features virtually all Yuusha characters mecha and human alike from the previous generation,Missing
958608000,"[13, 34]",130710,Marionette Company 2 Chu!,"[6, 7, 9, 23, 38, 46]",In the game you play a student in a high school  I believe youre supposed to be the same guy from part 1 as you keep on having memories of the Marionette from the original game One day you stumble upon a pair of abandoned marionettes one called Marine and the other called Maria You take Marine under your care while a rival and alltogether obnoxious classmate called Arese takes Maria under hers Arese is under the impression that marionettes are nothing more than robots with a heart made of computer circuits but your experience with part 1 where you apparently managed to raise the original marionette to near human form has you convinced otherwise and you intend to prove Arese wrong,Marionette Company 2 is an adventure game for the Sega Dreamcast and sequel to Marionette Company,Missing
959731200,[10],92727,NGen Racing,[7],Missing,Instead of a car like in most racing games you control a Fighter Jet Plane  The game features two game modes arcade and NGEN In the arcade mode you play a serious of championships Winning a championship grants you access to a higher one In NGEN mode you start with a poor plane and have to earn money to upgrade it so you can participate in more challenging and more rewarding races You can choose between arcade or professional controls  The planes can shoot various weapons such as missiles rockets and guns at the opponents There are 38 jets to fly in on 14 different tracks  In Two player mode you can play Powerball Here each player has to try and pick up the ball and score points by flying through drones,Missing
958003200,[10],80382,Option Tuning Car Battle Spec-R,[7],Missing,Option Tuning Car Battle SpecR is the third in a series of PlayStation racing games sponsored by the Japanese magazine Option,Missing
959212800,[15],72841,Super Robot Taisen Alpha,[7],Missing,Super Robot Taisen Alpha is the second game in the series to be built from the ground up for the Playstation and is the start of the Alpha series Alpha is the first SRW to feature the highly choreographed animation that the series is known for,Missing
959212800,[31],61395,Gambling Apocalypse Kaiji,[7],Missing,PlayStation game based on Nobuyuki Fukumotos manga series about gambling,Missing
959558400,[14],45018,Grind Session,[7],Missing,Grind Session translates the spirit and thrill of hardcore boarding into arcadestyle action Gamers compete in street and tournament competitions flow on the halfpipe and freestyle it for the covers of the big skating magazines The game features eight unique 3D arenas such as Vans Triple Crown skate park and includes hundreds of tricks customizable gear and instant replay modes with different camera angles    Play your friends in such multiplayer modes as versus team play competition tech challenge SKATE and endurance Grind Session also boasts 10 different skaters with the moves of board stars Daewon Song Willie Santos Pigpen John Cardiel and Cara Beth Burside among others If you want to go your own way create a skater from scratch The games soundtrack is blessed by such hardcore artists as Man or Astroman Sonic Youth Suicidal Tendencies GZA and DJ Shadow,Missing
959212800,[14],43934,Air Hockey,[7],Missing,Air Hockey Hooockey SuperLite 1500 Series is a budget air hockey game for the PlayStation There are four characters available to either play as or to face off against The aim is to have a higher score than your opponent when the timer hits zero and to make that a little easier there are bonuses strewn across the table Some are activated upon touch while others are stored with the player until used  The only two gameplay options are 1 player versus the computer or 2 players versus each other  Strange  futuristic hockey game with cartoon graphics,Missing
