first_release_date,genres,id,name,platforms,storyline,summary,rating
1691107200,[8],274734,A Little Walk in the Woods,"[6, 48]",Missing,Missing,Missing
1691712000,Missing,270582,Dead Cells: Return to Castlevania Edition,"[48, 130, 167]",Missing,Missing,Missing
1692835200,Missing,265831,The Expanse: A Telltale Series - Episode 3: First Ones,"[6, 48, 49, 167, 169]",The trail that started with the UNN Urshinabi wreckage leads the crew of The Artemis to a mysterious abandoned station No records save for a mysterious message and whats left behind await Drummer in the depths of the station Is there something they could still salvage inside Maybe the facilitys MK Core holds some answers,Experience the exciting universe of The Expanse like never before in Telltales latest adventure The Expanse A Telltale Series Follow Cara Gee who reprises her role as Camina Drummer and explore the dangerous and uncharted edges of the Belt aboard the the Artemis From scavenging wrecked ships in a zerog environment to surviving a mutiny to combating fearsome pirates you make the difficult choices and reveal Camina Drummers resolve in this latest Telltale adventure,Missing
1691625600,Missing,265830,The Expanse: A Telltale Series - Episode 2: Hunting Grounds,"[6, 48, 49, 167, 169]",A routine scavenging mission in the Belt has turned into a deadly standoff with relentless pirates Camina Drummer as the new captain faces her first test outnumbered and outgunned the crew of The Artemis must formulate an escape plan and gather the supplies desperately needed to get away,Experience the exciting universe of The Expanse like never before in Telltales latest adventure The Expanse A Telltale Series Follow Cara Gee who reprises her role as Camina Drummer and explore the dangerous and uncharted edges of the Belt aboard the the Artemis From scavenging wrecked ships in a zerog environment to surviving a mutiny to combating fearsome pirates you make the difficult choices and reveal Camina Drummers resolve in this latest Telltale adventure,Missing
1692835200,Missing,264832,Guilty Gear: Strive - Season Pass 3,"[6, 48, 49, 167, 169]",Missing,An exciting season pass that includes 4 additional playable characters stages and season 3 pass bonus character colors as additional DLC for the Guilty Gear Strive game  Season Pass 3 includes 4 characters 2 stages and 2 color packs for the new characters The first pack unlocks 6 color variations including the ultimate edition colors and the second unlocks 3 color variations that are exclusive to the Season Pass,Missing
1692835200,Missing,264828,Guilty Gear: Strive - Season 3 Character Additional Colors,"[6, 48, 49, 167, 169]",Missing,An additional color pack including 6 colors for the 4 additional characters of GGST Season 3 total of 24 colors,Missing
1693440000,"[5, 31]",264498,Troopers,"[48, 130, 167]",Missing,A singleplayer firstperson shooter in a low poly art Play epic matches in different game modes rank up and unlock new weaponskins attachments and weapons,Missing
1693440000,"[12, 33]",264495,Arcade Archives: Cadash,"[48, 130]",Missing,Face countless dangers on your quest to save Princess Sarasa from the clutches of the evil Barrog ,Missing
1692316800,[32],264387,The Texas Chain Saw Massacre: Chainsaw Skin Variants,"[6, 48, 49, 167, 169]",Missing,Show off your twisted personality with these three new skins for Leatherfaces chainsaw Includes the Pristine Stickers and Rusty variants Slaughter with style,Missing
1693440000,Missing,264337,PowerWash Simulator: The Muckingham Files 2,"[6, 48, 49, 130, 167, 169]",Missing,Three new filthy maps have arrived in PowerWash Simulator in the latest instalment of The Muckingham Files a series of free content updates expanding the games original universe Whilst residents dish the dirt on your favourite towns antics youll be busy cleaning up their messes as youre tasked with dedirtying an Excavator a Spanish Villa and a Paintball Arena,Missing
